,num_sims,round,experiment,horizon,activator_name,base_name,nucleophile_id,solvent_name,yield
0,0.0,0.0,0.0,0.0,PFTU,1-Methylimidazole,n10,THF,0.0784
1,0.0,1.0,0.0,1.0,TCFH,1-Methylimidazole,n4,DMF,0.0862
2,0.0,2.0,0.0,2.0,HATU,"2,6-Lutidine",n3,THF,0.006500000000000001
3,0.0,3.0,0.0,3.0,PyBOP,1-Methylimidazole,n7,DMF,0.3787
4,0.0,4.0,0.0,4.0,BOP-Cl,Diisopropylethylamine,n2,THF,0.6059
5,0.0,5.0,0.0,5.0,TFFH,Diisopropylethylamine,n6,THF,0.0271
6,0.0,6.0,0.0,6.0,DPPCl,1-Methylimidazole,n3,MeCN,0.522
7,0.0,7.0,0.0,7.0,HOTU,1-Methylimidazole,n5,DMF,0.14150000000000001
8,0.0,8.0,0.0,8.0,BOP-Cl,N-methylmorpholine,n3,THF,0.5494
9,0.0,9.0,0.0,9.0,DPPCl,1-Methylimidazole,n3,THF,0.2311
10,0.0,10.0,0.0,10.0,BOP-Cl,N-methylmorpholine,n5,MeCN,0.25920000000000004
11,0.0,11.0,0.0,11.0,PyBOP,N-methylmorpholine,n7,DMF,0.2006
12,0.0,12.0,0.0,12.0,BOP-Cl,1-Methylimidazole,n4,DMF,0.061200000000000004
13,0.0,13.0,0.0,13.0,DPPCl,"2,6-Lutidine",n9,THF,0.1549
14,0.0,14.0,0.0,14.0,HOTU,1-Methylimidazole,n6,DMF,0.019299999999999998
15,0.0,15.0,0.0,15.0,TCFH,Diisopropylethylamine,n10,MeCN,0.08349999999999999
16,0.0,16.0,0.0,16.0,PFTU,1-Methylimidazole,n5,THF,0.0178
17,0.0,17.0,0.0,17.0,PyBOP,1-Methylimidazole,n1,THF,0.022400000000000003
18,0.0,18.0,0.0,18.0,TFFH,"2,6-Lutidine",n10,THF,0.12480000000000001
19,0.0,19.0,0.0,19.0,HATU,Diisopropylethylamine,n8,MeCN,0.11380000000000001
20,0.0,20.0,0.0,20.0,BOP-Cl,"2,6-Lutidine",n6,DMF,0.0091
21,0.0,21.0,0.0,21.0,DPPCl,Diisopropylethylamine,n9,DMF,0.9871
22,0.0,22.0,0.0,22.0,DPPCl,"2,6-Lutidine",n4,MeCN,0.0679
23,0.0,23.0,0.0,23.0,DPPCl,1-Methylimidazole,n1,THF,0.2065
24,0.0,24.0,0.0,24.0,DPPCl,N-methylmorpholine,n6,DMF,0.0305
25,0.0,25.0,0.0,25.0,PyBOP,"2,6-Lutidine",n2,DMF,0.2961
26,0.0,26.0,0.0,26.0,TCFH,1-Methylimidazole,n4,THF,0.1311
27,0.0,27.0,0.0,27.0,HOTU,Diisopropylethylamine,n4,THF,0.10710000000000001
28,0.0,28.0,0.0,28.0,BOP-Cl,"2,6-Lutidine",n9,DMF,0.74
29,0.0,29.0,0.0,29.0,BOP-Cl,Diisopropylethylamine,n2,DMF,0.0318
30,0.0,30.0,0.0,30.0,TFFH,"2,6-Lutidine",n6,DMF,0.0302
31,0.0,31.0,0.0,31.0,HATU,1-Methylimidazole,n8,THF,0.061399999999999996
32,0.0,32.0,0.0,32.0,PFTU,Diisopropylethylamine,n2,DMF,0.56
33,0.0,33.0,0.0,33.0,PFTU,"2,6-Lutidine",n2,MeCN,0.30219999999999997
34,0.0,34.0,0.0,34.0,PFTU,N-methylmorpholine,n5,DMF,0.028900000000000002
35,0.0,35.0,0.0,35.0,PyBOP,Diisopropylethylamine,n3,DMF,0.30269999999999997
