,num_sims,round,experiment,horizon,activator_name,base_name,nucleophile_id,solvent_name,yield
0,0.0,0.0,0.0,0.0,PFTU,1-Methylimidazole,n1,THF,0.0054
1,0.0,1.0,0.0,1.0,TCFH,N-methylmorpholine,n2,THF,0.34259999999999996
2,0.0,2.0,0.0,2.0,HATU,1-Methylimidazole,n2,DMF,0.6209
3,0.0,3.0,0.0,3.0,PyBOP,N-methylmorpholine,n2,THF,0.49670000000000003
4,0.0,4.0,0.0,4.0,BOP-Cl,"2,6-Lutidine",n10,MeCN,0.009899999999999999
5,0.0,5.0,0.0,5.0,TFFH,N-methylmorpholine,n5,MeCN,0.191
6,0.0,6.0,0.0,6.0,DPPCl,"2,6-Lutidine",n9,THF,0.1549
7,0.0,7.0,0.0,7.0,HOTU,Diisopropylethylamine,n5,DMF,0.2402
8,0.0,8.0,0.0,8.0,HATU,"2,6-Lutidine",n6,THF,0.0043
9,0.0,9.0,0.0,9.0,PyBOP,Diisopropylethylamine,n1,DMF,0.0932
10,0.0,10.0,0.0,10.0,TCFH,1-Methylimidazole,n7,THF,0.1816
11,0.0,11.0,0.0,11.0,HOTU,Diisopropylethylamine,n8,THF,0.2407
12,0.0,12.0,0.0,12.0,TFFH,N-methylmorpholine,n8,DMF,0.04769999999999999
13,0.0,13.0,0.0,13.0,DPPCl,"2,6-Lutidine",n3,DMF,0.19579999999999997
14,0.0,14.0,0.0,14.0,HATU,N-methylmorpholine,n8,DMF,0.1859
15,0.0,15.0,0.0,15.0,PyBOP,"2,6-Lutidine",n3,THF,-0.0
16,0.0,16.0,0.0,16.0,BOP-Cl,N-methylmorpholine,n3,THF,0.5494
17,0.0,17.0,0.0,17.0,BOP-Cl,Diisopropylethylamine,n10,DMF,0.0625
18,0.0,18.0,0.0,18.0,PFTU,N-methylmorpholine,n10,THF,0.2095
19,0.0,19.0,0.0,19.0,TCFH,1-Methylimidazole,n10,DMF,0.037200000000000004
20,0.0,20.0,0.0,20.0,HOTU,"2,6-Lutidine",n5,MeCN,0.0194
21,0.0,21.0,0.0,21.0,DPPCl,N-methylmorpholine,n4,DMF,0.0464
