,num_sims,round,experiment,horizon,chosen_arm,reward,cumulative_reward
0,0.0,0.0,0.0,0.0,0.0,0.3923,0.3923
1,0.0,1.0,0.0,1.0,1.0,0.3954,0.7877
2,0.0,2.0,0.0,2.0,2.0,0.2559,1.0436
3,0.0,3.0,0.0,3.0,3.0,0.022400000000000003,1.066
4,0.0,4.0,0.0,4.0,4.0,0.371,1.437
5,0.0,5.0,0.0,5.0,5.0,0.22469999999999998,1.6617
6,0.0,6.0,0.0,6.0,6.0,0.17170000000000002,1.8334
7,0.0,7.0,0.0,7.0,7.0,0.1322,1.9656
8,0.0,8.0,0.0,8.0,1.0,0.215,2.1806
9,0.0,9.0,0.0,9.0,0.0,0.0033,2.1839
10,0.0,10.0,0.0,10.0,4.0,0.5494,2.7333
11,0.0,11.0,0.0,11.0,4.0,0.37079999999999996,3.1041
12,0.0,12.0,0.0,12.0,2.0,0.0158,3.1199
13,0.0,13.0,0.0,13.0,5.0,0.2708,3.3907
14,0.0,14.0,0.0,14.0,6.0,0.19519999999999998,3.5858999999999996
15,0.0,15.0,0.0,15.0,7.0,0.0481,3.6339999999999995
16,0.0,16.0,0.0,16.0,4.0,0.1691,3.8030999999999993
17,0.0,17.0,0.0,17.0,1.0,0.3465,4.1495999999999995
18,0.0,18.0,0.0,18.0,3.0,0.142,4.2916
19,0.0,19.0,0.0,19.0,5.0,0.24789999999999998,4.539499999999999
20,0.0,20.0,0.0,20.0,1.0,0.0727,4.6122
21,0.0,21.0,0.0,21.0,0.0,0.37799999999999995,4.9902
22,0.0,22.0,0.0,22.0,6.0,0.4792,5.469399999999999
23,0.0,23.0,0.0,23.0,4.0,0.6059,6.0752999999999995
24,0.0,24.0,0.0,24.0,4.0,0.0134,6.088699999999999
25,0.0,25.0,0.0,25.0,6.0,0.3062,6.3949
26,0.0,26.0,0.0,26.0,2.0,0.0415,6.4364
27,0.0,27.0,0.0,27.0,0.0,0.1204,6.5568
28,0.0,28.0,0.0,28.0,5.0,0.1607,6.7175
29,0.0,29.0,0.0,29.0,7.0,0.11699999999999999,6.8345
30,0.0,30.0,0.0,30.0,3.0,0.1503,6.9848
31,0.0,31.0,0.0,31.0,6.0,0.4608,7.4456
32,0.0,32.0,0.0,32.0,6.0,0.0213,7.4669
33,0.0,33.0,0.0,33.0,1.0,0.0301,7.497
34,0.0,34.0,0.0,34.0,4.0,0.053,7.55
