,num_sims,round,experiment,horizon,activator_name,base_name,nucleophile_id,solvent_name,yield
0,0.0,0.0,0.0,0.0,PFTU,Diisopropylethylamine,n1,DMF,0.0149
1,0.0,1.0,0.0,1.0,TCFH,Diisopropylethylamine,n9,MeCN,0.13570000000000002
2,0.0,2.0,0.0,2.0,HATU,N-methylmorpholine,n8,MeCN,0.12279999999999999
3,0.0,3.0,0.0,3.0,PyBOP,1-Methylimidazole,n2,THF,0.45280000000000004
4,0.0,4.0,0.0,4.0,BOP-Cl,Diisopropylethylamine,n8,DMF,0.0499
5,0.0,5.0,0.0,5.0,TFFH,N-methylmorpholine,n3,THF,0.19260000000000002
6,0.0,6.0,0.0,6.0,DPPCl,N-methylmorpholine,n6,MeCN,0.0225
7,0.0,7.0,0.0,7.0,HOTU,N-methylmorpholine,n3,MeCN,0.18230000000000002
8,0.0,8.0,0.0,8.0,PyBOP,Diisopropylethylamine,n6,THF,0.0384
9,0.0,9.0,0.0,9.0,TFFH,N-methylmorpholine,n5,THF,0.0521
10,0.0,10.0,0.0,10.0,HOTU,N-methylmorpholine,n6,DMF,0.042699999999999995
11,0.0,11.0,0.0,11.0,TCFH,N-methylmorpholine,n2,THF,0.34259999999999996
12,0.0,12.0,0.0,12.0,HATU,Diisopropylethylamine,n6,THF,0.0354
13,0.0,13.0,0.0,13.0,BOP-Cl,1-Methylimidazole,n6,DMF,0.04019999999999999
14,0.0,14.0,0.0,14.0,DPPCl,Diisopropylethylamine,n9,THF,0.3014
15,0.0,15.0,0.0,15.0,PFTU,Diisopropylethylamine,n8,DMF,0.2115
16,0.0,16.0,0.0,16.0,PyBOP,Diisopropylethylamine,n1,DMF,0.0932
17,0.0,17.0,0.0,17.0,TCFH,Diisopropylethylamine,n2,DMF,0.0301
18,0.0,18.0,0.0,18.0,DPPCl,"2,6-Lutidine",n6,THF,0.0192
19,0.0,19.0,0.0,19.0,TFFH,"2,6-Lutidine",n7,DMF,0.0321
20,0.0,20.0,0.0,20.0,PFTU,N-methylmorpholine,n8,THF,0.0097
21,0.0,21.0,0.0,21.0,HOTU,1-Methylimidazole,n8,DMF,0.011699999999999999
22,0.0,22.0,0.0,22.0,HATU,1-Methylimidazole,n10,MeCN,0.1917
23,0.0,23.0,0.0,23.0,PyBOP,Diisopropylethylamine,n10,MeCN,0.4252
24,0.0,24.0,0.0,24.0,PyBOP,"2,6-Lutidine",n9,MeCN,0.1159
25,0.0,25.0,0.0,25.0,BOP-Cl,Diisopropylethylamine,n9,MeCN,0.2433
26,0.0,26.0,0.0,26.0,TCFH,N-methylmorpholine,n4,DMF,0.0239
27,0.0,27.0,0.0,27.0,HATU,1-Methylimidazole,n2,MeCN,0.6235
28,0.0,28.0,0.0,28.0,HATU,N-methylmorpholine,n10,MeCN,0.0087
29,0.0,29.0,0.0,29.0,DPPCl,N-methylmorpholine,n3,DMF,0.5028
30,0.0,30.0,0.0,30.0,DPPCl,"2,6-Lutidine",n9,MeCN,0.2349
31,0.0,31.0,0.0,31.0,BOP-Cl,"2,6-Lutidine",n1,MeCN,0.0724
32,0.0,32.0,0.0,32.0,PyBOP,N-methylmorpholine,n7,DMF,0.2006
33,0.0,33.0,0.0,33.0,TFFH,Diisopropylethylamine,n5,THF,0.1038
34,0.0,34.0,0.0,34.0,DPPCl,1-Methylimidazole,n2,THF,0.4608
35,0.0,35.0,0.0,35.0,DPPCl,N-methylmorpholine,n8,DMF,0.353
36,0.0,36.0,0.0,36.0,HOTU,1-Methylimidazole,n10,DMF,0.0696
37,0.0,37.0,0.0,37.0,PFTU,N-methylmorpholine,n9,THF,0.015
38,0.0,38.0,0.0,38.0,DPPCl,1-Methylimidazole,n5,THF,0.0726
39,0.0,39.0,0.0,39.0,HATU,"2,6-Lutidine",n6,MeCN,0.0212
40,0.0,40.0,0.0,40.0,TCFH,Diisopropylethylamine,n7,DMF,0.40270000000000006
41,0.0,41.0,0.0,41.0,TCFH,"2,6-Lutidine",n6,DMF,0.0291
42,0.0,42.0,0.0,42.0,PyBOP,Diisopropylethylamine,n5,THF,0.0165
43,0.0,43.0,0.0,43.0,BOP-Cl,Diisopropylethylamine,n4,MeCN,0.1946
44,0.0,44.0,0.0,44.0,DPPCl,1-Methylimidazole,n8,MeCN,0.1993
45,0.0,45.0,0.0,45.0,TFFH,N-methylmorpholine,n2,DMF,0.5695
46,0.0,46.0,0.0,46.0,TFFH,"2,6-Lutidine",n7,MeCN,0.031
47,0.0,47.0,0.0,47.0,HOTU,1-Methylimidazole,n2,MeCN,0.5919
48,0.0,48.0,0.0,48.0,HOTU,1-Methylimidazole,n6,THF,0.0197
49,0.0,49.0,0.0,49.0,HATU,Diisopropylethylamine,n9,MeCN,0.43729999999999997
50,0.0,50.0,0.0,50.0,HATU,"2,6-Lutidine",n5,DMF,0.022099999999999998
51,0.0,51.0,0.0,51.0,DPPCl,1-Methylimidazole,n6,THF,0.034
52,0.0,52.0,0.0,52.0,TFFH,"2,6-Lutidine",n4,DMF,0.086
53,0.0,53.0,0.0,53.0,PyBOP,1-Methylimidazole,n2,MeCN,0.6375
54,0.0,54.0,0.0,54.0,PyBOP,Diisopropylethylamine,n3,MeCN,0.45159999999999995
55,0.0,55.0,0.0,55.0,PyBOP,"2,6-Lutidine",n7,MeCN,0.07440000000000001
56,0.0,56.0,0.0,56.0,TCFH,Diisopropylethylamine,n8,DMF,0.215
57,0.0,57.0,0.0,57.0,BOP-Cl,N-methylmorpholine,n1,THF,0.3836
58,0.0,58.0,0.0,58.0,BOP-Cl,Diisopropylethylamine,n9,THF,0.37229999999999996
59,0.0,59.0,0.0,59.0,BOP-Cl,"2,6-Lutidine",n9,MeCN,0.0703
60,0.0,60.0,0.0,60.0,PyBOP,N-methylmorpholine,n7,MeCN,0.1263
61,0.0,61.0,0.0,61.0,PFTU,1-Methylimidazole,n6,THF,0.0192
62,0.0,62.0,0.0,62.0,HOTU,Diisopropylethylamine,n10,THF,0.0932
63,0.0,63.0,0.0,63.0,TCFH,N-methylmorpholine,n2,MeCN,0.5213
64,0.0,64.0,0.0,64.0,TCFH,N-methylmorpholine,n2,DMF,0.0766
65,0.0,65.0,0.0,65.0,PyBOP,N-methylmorpholine,n5,DMF,0.016399999999999998
