,num_sims,round,experiment,horizon,activator_name,base_name,nucleophile_id,solvent_name,yield
0,0.0,0.0,0.0,0.0,PFTU,Diisopropylethylamine,n1,MeCN,0.0341
1,0.0,1.0,0.0,1.0,TCFH,"2,6-Lutidine",n9,THF,0.7442
2,0.0,2.0,0.0,2.0,HATU,Diisopropylethylamine,n9,THF,0.3427
3,0.0,3.0,0.0,3.0,PyBOP,1-Methylimidazole,n5,MeCN,0.0352
4,0.0,4.0,0.0,4.0,BOP-Cl,Diisopropylethylamine,n3,MeCN,0.015300000000000001
5,0.0,5.0,0.0,5.0,TFFH,"2,6-Lutidine",n7,THF,0.0024
6,0.0,6.0,0.0,6.0,DPPCl,1-Methylimidazole,n7,MeCN,0.39740000000000003
7,0.0,7.0,0.0,7.0,HOTU,"2,6-Lutidine",n4,THF,0.08539999999999999
8,0.0,8.0,0.0,8.0,TCFH,Diisopropylethylamine,n10,THF,0.41950000000000004
9,0.0,9.0,0.0,9.0,DPPCl,N-methylmorpholine,n4,THF,0.048499999999999995
10,0.0,10.0,0.0,10.0,HATU,"2,6-Lutidine",n4,THF,0.0246
11,0.0,11.0,0.0,11.0,HOTU,1-Methylimidazole,n8,MeCN,0.1368
12,0.0,12.0,0.0,12.0,PyBOP,Diisopropylethylamine,n1,DMF,0.0932
13,0.0,13.0,0.0,13.0,PFTU,1-Methylimidazole,n8,DMF,0.29350000000000004
14,0.0,14.0,0.0,14.0,BOP-Cl,N-methylmorpholine,n9,DMF,0.2097
15,0.0,15.0,0.0,15.0,TFFH,1-Methylimidazole,n6,DMF,0.0158
16,0.0,16.0,0.0,16.0,TCFH,1-Methylimidazole,n3,DMF,0.5342
17,0.0,17.0,0.0,17.0,TCFH,Diisopropylethylamine,n4,MeCN,0.4277
18,0.0,18.0,0.0,18.0,DPPCl,1-Methylimidazole,n7,THF,0.7003
19,0.0,19.0,0.0,19.0,HATU,Diisopropylethylamine,n10,MeCN,0.43799999999999994
20,0.0,20.0,0.0,20.0,PFTU,1-Methylimidazole,n6,THF,0.0192
21,0.0,21.0,0.0,21.0,DPPCl,1-Methylimidazole,n6,THF,0.034
22,0.0,22.0,0.0,22.0,TCFH,"2,6-Lutidine",n2,MeCN,0.34600000000000003
23,0.0,23.0,0.0,23.0,BOP-Cl,N-methylmorpholine,n10,DMF,0.1557
24,0.0,24.0,0.0,24.0,HOTU,N-methylmorpholine,n6,MeCN,0.044500000000000005
25,0.0,25.0,0.0,25.0,PyBOP,"2,6-Lutidine",n3,DMF,0.047
26,0.0,26.0,0.0,26.0,TFFH,Diisopropylethylamine,n10,MeCN,0.0077
27,0.0,27.0,0.0,27.0,HATU,N-methylmorpholine,n4,DMF,0.2268
28,0.0,28.0,0.0,28.0,TCFH,N-methylmorpholine,n8,DMF,0.20920000000000002
29,0.0,29.0,0.0,29.0,DPPCl,1-Methylimidazole,n1,THF,0.2065
30,0.0,30.0,0.0,30.0,BOP-Cl,Diisopropylethylamine,n3,DMF,0.0418
31,0.0,31.0,0.0,31.0,PFTU,"2,6-Lutidine",n9,MeCN,0.0116
32,0.0,32.0,0.0,32.0,TCFH,"2,6-Lutidine",n2,THF,0.3962
33,0.0,33.0,0.0,33.0,HATU,Diisopropylethylamine,n4,DMF,0.0926
34,0.0,34.0,0.0,34.0,HOTU,Diisopropylethylamine,n5,THF,0.0723
35,0.0,35.0,0.0,35.0,PyBOP,"2,6-Lutidine",n5,MeCN,0.0055000000000000005
36,0.0,36.0,0.0,36.0,TCFH,"2,6-Lutidine",n3,MeCN,0.0521
37,0.0,37.0,0.0,37.0,DPPCl,1-Methylimidazole,n4,MeCN,0.0392
38,0.0,38.0,0.0,38.0,TFFH,"2,6-Lutidine",n9,DMF,0.22329999999999997
39,0.0,39.0,0.0,39.0,HATU,"2,6-Lutidine",n5,THF,0.0038
40,0.0,40.0,0.0,40.0,BOP-Cl,Diisopropylethylamine,n9,MeCN,0.2433
41,0.0,41.0,0.0,41.0,TCFH,Diisopropylethylamine,n7,DMF,0.40270000000000006
42,0.0,42.0,0.0,42.0,PFTU,N-methylmorpholine,n4,THF,0.0159
43,0.0,43.0,0.0,43.0,HOTU,1-Methylimidazole,n1,MeCN,0.0587
44,0.0,44.0,0.0,44.0,TFFH,N-methylmorpholine,n7,DMF,0.10220000000000001
45,0.0,45.0,0.0,45.0,TCFH,"2,6-Lutidine",n8,DMF,0.2419
46,0.0,46.0,0.0,46.0,DPPCl,Diisopropylethylamine,n10,THF,0.0594
47,0.0,47.0,0.0,47.0,PyBOP,N-methylmorpholine,n3,THF,0.0040999999999999995
48,0.0,48.0,0.0,48.0,BOP-Cl,Diisopropylethylamine,n9,THF,0.37229999999999996
49,0.0,49.0,0.0,49.0,TCFH,"2,6-Lutidine",n4,DMF,0.2
