,num_sims,round,experiment,horizon,chosen_arm,reward,cumulative_reward
0,0.0,0.0,0.0,0.0,0.0,0.0341,0.0341
1,0.0,1.0,0.0,1.0,1.0,0.7442,0.7783
2,0.0,2.0,0.0,2.0,2.0,0.3427,1.121
3,0.0,3.0,0.0,3.0,3.0,0.0352,1.1562
4,0.0,4.0,0.0,4.0,4.0,0.015300000000000001,1.1715
5,0.0,5.0,0.0,5.0,5.0,0.0024,1.1739
6,0.0,6.0,0.0,6.0,6.0,0.39740000000000003,1.5713
7,0.0,7.0,0.0,7.0,7.0,0.08539999999999999,1.6566999999999998
8,0.0,8.0,0.0,8.0,1.0,0.41950000000000004,2.0762
9,0.0,9.0,0.0,9.0,6.0,0.048499999999999995,2.1247000000000003
10,0.0,10.0,0.0,10.0,2.0,0.0246,2.1493
11,0.0,11.0,0.0,11.0,7.0,0.1368,2.2861000000000002
12,0.0,12.0,0.0,12.0,3.0,0.0932,2.3793
13,0.0,13.0,0.0,13.0,0.0,0.29350000000000004,2.6728
14,0.0,14.0,0.0,14.0,4.0,0.2097,2.8825000000000003
15,0.0,15.0,0.0,15.0,5.0,0.0158,2.8983000000000003
16,0.0,16.0,0.0,16.0,1.0,0.5342,3.4325
17,0.0,17.0,0.0,17.0,1.0,0.4277,3.8602000000000003
18,0.0,18.0,0.0,18.0,6.0,0.7003,4.5605
19,0.0,19.0,0.0,19.0,2.0,0.43799999999999994,4.9985
20,0.0,20.0,0.0,20.0,0.0,0.0192,5.0177
21,0.0,21.0,0.0,21.0,6.0,0.034,5.051699999999999
22,0.0,22.0,0.0,22.0,1.0,0.34600000000000003,5.3976999999999995
23,0.0,23.0,0.0,23.0,4.0,0.1557,5.5534
24,0.0,24.0,0.0,24.0,7.0,0.044500000000000005,5.5979
25,0.0,25.0,0.0,25.0,3.0,0.047,5.6449
26,0.0,26.0,0.0,26.0,5.0,0.0077,5.6526
27,0.0,27.0,0.0,27.0,2.0,0.2268,5.8793999999999995
28,0.0,28.0,0.0,28.0,1.0,0.20920000000000002,6.0886
29,0.0,29.0,0.0,29.0,6.0,0.2065,6.2951
30,0.0,30.0,0.0,30.0,4.0,0.0418,6.3369
31,0.0,31.0,0.0,31.0,0.0,0.0116,6.3485
32,0.0,32.0,0.0,32.0,1.0,0.3962,6.7447
33,0.0,33.0,0.0,33.0,2.0,0.0926,6.8373
34,0.0,34.0,0.0,34.0,7.0,0.0723,6.9096
35,0.0,35.0,0.0,35.0,3.0,0.0055000000000000005,6.9151
36,0.0,36.0,0.0,36.0,1.0,0.0521,6.9672
37,0.0,37.0,0.0,37.0,6.0,0.0392,7.0064
38,0.0,38.0,0.0,38.0,5.0,0.22329999999999997,7.2297
39,0.0,39.0,0.0,39.0,2.0,0.0038,7.2335
40,0.0,40.0,0.0,40.0,4.0,0.2433,7.4768
41,0.0,41.0,0.0,41.0,1.0,0.40270000000000006,7.8795
42,0.0,42.0,0.0,42.0,0.0,0.0159,7.8954
43,0.0,43.0,0.0,43.0,7.0,0.0587,7.9541
44,0.0,44.0,0.0,44.0,5.0,0.10220000000000001,8.0563
45,0.0,45.0,0.0,45.0,1.0,0.2419,8.2982
46,0.0,46.0,0.0,46.0,6.0,0.0594,8.3576
47,0.0,47.0,0.0,47.0,3.0,0.0040999999999999995,8.361699999999999
48,0.0,48.0,0.0,48.0,4.0,0.37229999999999996,8.733999999999998
49,0.0,49.0,0.0,49.0,1.0,0.2,8.933999999999997
50,0.0,50.0,0.0,50.0,2.0,0.3122,9.246199999999998
51,0.0,51.0,0.0,51.0,4.0,0.2958,9.541999999999998
52,0.0,52.0,0.0,52.0,7.0,0.0953,9.637299999999998
53,0.0,53.0,0.0,53.0,0.0,0.5997,10.236999999999998
54,0.0,54.0,0.0,54.0,0.0,0.1208,10.357799999999997
55,0.0,55.0,0.0,55.0,6.0,0.38280000000000003,10.740599999999997
56,0.0,56.0,0.0,56.0,5.0,0.061900000000000004,10.802499999999997
57,0.0,57.0,0.0,57.0,1.0,0.1164,10.918899999999997
58,0.0,58.0,0.0,58.0,2.0,0.06,10.978899999999998
59,0.0,59.0,0.0,59.0,4.0,0.74,11.718899999999998
60,0.0,60.0,0.0,60.0,4.0,0.034,11.752899999999999
61,0.0,61.0,0.0,61.0,6.0,0.0739,11.826799999999999
62,0.0,62.0,0.0,62.0,3.0,0.11900000000000001,11.945799999999998
63,0.0,63.0,0.0,63.0,1.0,0.2798,12.225599999999998
64,0.0,64.0,0.0,64.0,0.0,0.2539,12.479499999999998
65,0.0,65.0,0.0,65.0,4.0,0.5494,13.028899999999998
66,0.0,66.0,0.0,66.0,7.0,0.032,13.060899999999998
67,0.0,67.0,0.0,67.0,4.0,0.1285,13.1894
68,0.0,68.0,0.0,68.0,2.0,0.0158,13.2052
69,0.0,69.0,0.0,69.0,1.0,0.1067,13.3119
70,0.0,70.0,0.0,70.0,5.0,0.18960000000000002,13.5015
71,0.0,71.0,0.0,71.0,6.0,0.1808,13.6823
72,0.0,72.0,0.0,72.0,0.0,0.4645,14.146799999999999
73,0.0,73.0,0.0,73.0,0.0,0.07919999999999999,14.225999999999999
74,0.0,74.0,0.0,74.0,3.0,0.1887,14.4147
75,0.0,75.0,0.0,75.0,4.0,0.4672,14.8819
76,0.0,76.0,0.0,76.0,1.0,0.6812,15.5631
77,0.0,77.0,0.0,77.0,1.0,0.2028,15.7659
78,0.0,78.0,0.0,78.0,4.0,0.10800000000000001,15.8739
79,0.0,79.0,0.0,79.0,6.0,0.5572,16.4311
80,0.0,80.0,0.0,80.0,6.0,0.2585,16.689600000000002
81,0.0,81.0,0.0,81.0,5.0,0.2708,16.960400000000003
82,0.0,82.0,0.0,82.0,2.0,0.1917,17.152100000000004
83,0.0,83.0,0.0,83.0,1.0,0.0351,17.187200000000004
84,0.0,84.0,0.0,84.0,7.0,0.0203,17.207500000000003
85,0.0,85.0,0.0,85.0,3.0,0.0086,17.216100000000004
86,0.0,86.0,0.0,86.0,6.0,0.6772,17.893300000000004
87,0.0,87.0,0.0,87.0,6.0,0.0192,17.912500000000005
88,0.0,88.0,0.0,88.0,0.0,0.0895,18.002000000000006
89,0.0,89.0,0.0,89.0,5.0,0.015,18.017000000000007
90,0.0,90.0,0.0,90.0,4.0,0.26489999999999997,18.281900000000007
91,0.0,91.0,0.0,91.0,2.0,0.096,18.377900000000007
92,0.0,92.0,0.0,92.0,1.0,0.031200000000000002,18.409100000000006
93,0.0,93.0,0.0,93.0,6.0,0.14550000000000002,18.554600000000004
94,0.0,94.0,0.0,94.0,4.0,0.0329,18.587500000000006
95,0.0,95.0,0.0,95.0,0.0,0.0277,18.615200000000005
96,1.0,0.0,0.0,0.0,0.0,0.042300000000000004,0.042300000000000004
97,1.0,1.0,0.0,1.0,1.0,0.0079,0.05020000000000001
98,1.0,2.0,0.0,2.0,2.0,0.055,0.10520000000000002
99,1.0,3.0,0.0,3.0,3.0,0.0484,0.15360000000000001
100,1.0,4.0,0.0,4.0,4.0,0.1137,0.2673
101,1.0,5.0,0.0,5.0,5.0,0.2827,0.55
102,1.0,6.0,0.0,6.0,6.0,0.1993,0.7493000000000001
103,1.0,7.0,0.0,7.0,7.0,0.0288,0.7781000000000001
104,1.0,8.0,0.0,8.0,5.0,0.06,0.8381000000000001
105,1.0,9.0,0.0,9.0,6.0,0.1161,0.9542
106,1.0,10.0,0.0,10.0,4.0,0.07429999999999999,1.0285
107,1.0,11.0,0.0,11.0,2.0,0.0058,1.0343
108,1.0,12.0,0.0,12.0,3.0,0.1954,1.2297
109,1.0,13.0,0.0,13.0,0.0,0.1517,1.3814
110,1.0,14.0,0.0,14.0,7.0,0.253,1.6343999999999999
111,1.0,15.0,0.0,15.0,1.0,0.14800000000000002,1.7824
112,1.0,16.0,0.0,16.0,5.0,0.015,1.7973999999999999
113,1.0,17.0,0.0,17.0,6.0,0.1092,1.9065999999999999
114,1.0,18.0,0.0,18.0,7.0,0.1818,2.0884
115,1.0,19.0,0.0,19.0,3.0,0.022400000000000003,2.1108000000000002
116,1.0,20.0,0.0,20.0,0.0,0.2115,2.3223000000000003
117,1.0,21.0,0.0,21.0,4.0,0.3836,2.7059
118,1.0,22.0,0.0,22.0,1.0,0.3367,3.0426
119,1.0,23.0,0.0,23.0,2.0,0.2151,3.2577000000000003
120,1.0,24.0,0.0,24.0,4.0,0.2945,3.5522
121,1.0,25.0,0.0,25.0,1.0,0.030899999999999997,3.5831
122,1.0,26.0,0.0,26.0,7.0,0.2402,3.8233
123,1.0,27.0,0.0,27.0,6.0,0.3774,4.2007
