,num_sims,round,experiment,horizon,activator_name,base_name,nucleophile_id,solvent_name,yield
0,0.0,0.0,0.0,0.0,PFTU,1-Methylimidazole,n2,DMF,0.47659999999999997
1,0.0,1.0,0.0,1.0,TCFH,"2,6-Lutidine",n10,THF,0.058499999999999996
2,0.0,2.0,0.0,2.0,HATU,1-Methylimidazole,n5,THF,0.022099999999999998
3,0.0,3.0,0.0,3.0,PyBOP,1-Methylimidazole,n6,DMF,0.024399999999999998
4,0.0,4.0,0.0,4.0,BOP-Cl,Diisopropylethylamine,n9,THF,0.37229999999999996
5,0.0,5.0,0.0,5.0,TFFH,"2,6-Lutidine",n8,MeCN,0.014499999999999999
6,0.0,6.0,0.0,6.0,DPPCl,Diisopropylethylamine,n9,THF,0.3014
7,0.0,7.0,0.0,7.0,HOTU,1-Methylimidazole,n5,MeCN,0.09369999999999999
8,0.0,8.0,0.0,8.0,PFTU,N-methylmorpholine,n5,THF,0.0069
9,0.0,9.0,0.0,9.0,BOP-Cl,N-methylmorpholine,n5,MeCN,0.25920000000000004
10,0.0,10.0,0.0,10.0,DPPCl,N-methylmorpholine,n1,DMF,0.40130000000000005
11,0.0,11.0,0.0,11.0,DPPCl,"2,6-Lutidine",n4,DMF,0.041299999999999996
12,0.0,12.0,0.0,12.0,BOP-Cl,Diisopropylethylamine,n4,MeCN,0.1946
13,0.0,13.0,0.0,13.0,HOTU,"2,6-Lutidine",n4,MeCN,0.12689999999999999
14,0.0,14.0,0.0,14.0,TCFH,"2,6-Lutidine",n9,DMF,0.256
15,0.0,15.0,0.0,15.0,PFTU,1-Methylimidazole,n10,MeCN,0.0645
16,0.0,16.0,0.0,16.0,PyBOP,Diisopropylethylamine,n4,MeCN,0.12710000000000002
17,0.0,17.0,0.0,17.0,HATU,1-Methylimidazole,n9,DMF,0.49979999999999997
18,0.0,18.0,0.0,18.0,HATU,"2,6-Lutidine",n2,THF,0.37520000000000003
19,0.0,19.0,0.0,19.0,TFFH,1-Methylimidazole,n8,THF,0.18960000000000002
20,0.0,20.0,0.0,20.0,HATU,Diisopropylethylamine,n8,THF,0.1481
21,0.0,21.0,0.0,21.0,TCFH,"2,6-Lutidine",n3,MeCN,0.0521
22,0.0,22.0,0.0,22.0,BOP-Cl,1-Methylimidazole,n7,THF,0.7503
23,0.0,23.0,0.0,23.0,BOP-Cl,1-Methylimidazole,n10,MeCN,0.0134
24,0.0,24.0,0.0,24.0,DPPCl,1-Methylimidazole,n8,DMF,0.245
25,0.0,25.0,0.0,25.0,HOTU,Diisopropylethylamine,n8,MeCN,0.1793
26,0.0,26.0,0.0,26.0,TFFH,1-Methylimidazole,n3,DMF,0.4775
27,0.0,27.0,0.0,27.0,TFFH,"2,6-Lutidine",n4,THF,0.1043
28,0.0,28.0,0.0,28.0,PyBOP,1-Methylimidazole,n9,MeCN,0.1476
29,0.0,29.0,0.0,29.0,PFTU,1-Methylimidazole,n2,THF,0.5997
30,0.0,30.0,0.0,30.0,PFTU,N-methylmorpholine,n7,DMF,0.1517
31,0.0,31.0,0.0,31.0,HATU,N-methylmorpholine,n2,THF,0.6575
32,0.0,32.0,0.0,32.0,HATU,"2,6-Lutidine",n1,DMF,0.009300000000000001
33,0.0,33.0,0.0,33.0,DPPCl,"2,6-Lutidine",n10,MeCN,0.1092
34,0.0,34.0,0.0,34.0,BOP-Cl,1-Methylimidazole,n1,THF,0.4202
35,0.0,35.0,0.0,35.0,HOTU,Diisopropylethylamine,n3,MeCN,0.1025
36,0.0,36.0,0.0,36.0,TCFH,N-methylmorpholine,n10,DMF,0.1164
37,0.0,37.0,0.0,37.0,BOP-Cl,1-Methylimidazole,n1,MeCN,0.28190000000000004
38,0.0,38.0,0.0,38.0,PyBOP,1-Methylimidazole,n3,THF,0.15259999999999999
39,0.0,39.0,0.0,39.0,TFFH,Diisopropylethylamine,n10,DMF,0.013600000000000001
40,0.0,40.0,0.0,40.0,PFTU,1-Methylimidazole,n6,THF,0.0192
41,0.0,41.0,0.0,41.0,HATU,1-Methylimidazole,n1,MeCN,0.0415
42,0.0,42.0,0.0,42.0,DPPCl,N-methylmorpholine,n2,THF,0.6073
43,0.0,43.0,0.0,43.0,DPPCl,"2,6-Lutidine",n10,DMF,0.0088
44,0.0,44.0,0.0,44.0,BOP-Cl,"2,6-Lutidine",n10,DMF,0.0421
45,0.0,45.0,0.0,45.0,HOTU,Diisopropylethylamine,n10,MeCN,0.3353
46,0.0,46.0,0.0,46.0,TCFH,Diisopropylethylamine,n5,MeCN,0.0536
47,0.0,47.0,0.0,47.0,PyBOP,1-Methylimidazole,n4,THF,0.1954
48,0.0,48.0,0.0,48.0,HOTU,Diisopropylethylamine,n4,DMF,0.1091
49,0.0,49.0,0.0,49.0,TFFH,1-Methylimidazole,n7,THF,0.40619999999999995
50,0.0,50.0,0.0,50.0,PFTU,"2,6-Lutidine",n1,THF,0.0018
51,0.0,51.0,0.0,51.0,TFFH,N-methylmorpholine,n6,MeCN,0.028999999999999998
52,0.0,52.0,0.0,52.0,HATU,Diisopropylethylamine,n7,THF,0.4131
53,0.0,53.0,0.0,53.0,BOP-Cl,1-Methylimidazole,n4,DMF,0.061200000000000004
54,0.0,54.0,0.0,54.0,DPPCl,"2,6-Lutidine",n9,DMF,0.1997
55,0.0,55.0,0.0,55.0,PyBOP,N-methylmorpholine,n3,THF,0.0040999999999999995
56,0.0,56.0,0.0,56.0,HATU,"2,6-Lutidine",n3,DMF,0.1189
57,0.0,57.0,0.0,57.0,TCFH,1-Methylimidazole,n2,THF,0.6117
58,0.0,58.0,0.0,58.0,TCFH,"2,6-Lutidine",n9,MeCN,0.3439
59,0.0,59.0,0.0,59.0,TCFH,Diisopropylethylamine,n5,DMF,0.0169
60,0.0,60.0,0.0,60.0,HOTU,"2,6-Lutidine",n3,MeCN,0.0382
61,0.0,61.0,0.0,61.0,DPPCl,1-Methylimidazole,n2,THF,0.4608
62,0.0,62.0,0.0,62.0,PFTU,"2,6-Lutidine",n4,DMF,0.03
63,0.0,63.0,0.0,63.0,BOP-Cl,"2,6-Lutidine",n7,DMF,0.8142
64,0.0,64.0,0.0,64.0,BOP-Cl,N-methylmorpholine,n6,MeCN,0.019299999999999998
65,0.0,65.0,0.0,65.0,DPPCl,N-methylmorpholine,n9,THF,0.5638000000000001
66,0.0,66.0,0.0,66.0,DPPCl,1-Methylimidazole,n9,THF,0.2793
67,0.0,67.0,0.0,67.0,TFFH,"2,6-Lutidine",n7,DMF,0.0321
68,0.0,68.0,0.0,68.0,HATU,1-Methylimidazole,n2,MeCN,0.6235
69,0.0,69.0,0.0,69.0,HATU,Diisopropylethylamine,n1,MeCN,0.2849
70,0.0,70.0,0.0,70.0,PyBOP,Diisopropylethylamine,n3,DMF,0.30269999999999997
71,0.0,71.0,0.0,71.0,BOP-Cl,"2,6-Lutidine",n2,THF,0.0604
72,0.0,72.0,0.0,72.0,DPPCl,1-Methylimidazole,n3,MeCN,0.522
73,0.0,73.0,0.0,73.0,HATU,1-Methylimidazole,n3,MeCN,0.2052
74,0.0,74.0,0.0,74.0,TCFH,N-methylmorpholine,n5,MeCN,0.1148
75,0.0,75.0,0.0,75.0,DPPCl,Diisopropylethylamine,n1,DMF,0.37729999999999997
76,0.0,76.0,0.0,76.0,HOTU,Diisopropylethylamine,n4,MeCN,0.1883
77,0.0,77.0,0.0,77.0,PyBOP,1-Methylimidazole,n7,THF,0.1795
78,0.0,78.0,0.0,78.0,DPPCl,N-methylmorpholine,n3,THF,0.49670000000000003
79,0.0,79.0,0.0,79.0,PFTU,"2,6-Lutidine",n2,THF,0.37799999999999995
80,0.0,80.0,0.0,80.0,DPPCl,Diisopropylethylamine,n8,DMF,0.1292
81,0.0,81.0,0.0,81.0,TFFH,Diisopropylethylamine,n6,MeCN,0.0126
82,0.0,82.0,0.0,82.0,HATU,1-Methylimidazole,n10,THF,0.2235
83,0.0,83.0,0.0,83.0,PFTU,Diisopropylethylamine,n4,THF,0.011699999999999999
84,0.0,84.0,0.0,84.0,BOP-Cl,"2,6-Lutidine",n6,DMF,0.0091
85,0.0,85.0,0.0,85.0,HOTU,1-Methylimidazole,n1,DMF,0.0281
86,0.0,86.0,0.0,86.0,PyBOP,Diisopropylethylamine,n1,DMF,0.0932
87,0.0,87.0,0.0,87.0,TCFH,N-methylmorpholine,n2,THF,0.34259999999999996
88,0.0,88.0,0.0,88.0,HATU,N-methylmorpholine,n3,DMF,0.2559
89,0.0,89.0,0.0,89.0,DPPCl,Diisopropylethylamine,n1,MeCN,0.3145
90,0.0,90.0,0.0,90.0,TCFH,1-Methylimidazole,n3,MeCN,0.33899999999999997
91,0.0,91.0,0.0,91.0,DPPCl,1-Methylimidazole,n1,THF,0.2065
92,0.0,92.0,0.0,92.0,TCFH,"2,6-Lutidine",n1,MeCN,0.0757
93,0.0,93.0,0.0,93.0,HATU,1-Methylimidazole,n9,THF,0.3208
94,0.0,94.0,0.0,94.0,TFFH,Diisopropylethylamine,n3,THF,0.2494
95,0.0,95.0,0.0,95.0,BOP-Cl,Diisopropylethylamine,n9,DMF,0.11359999999999999
96,0.0,96.0,0.0,96.0,PFTU,Diisopropylethylamine,n5,DMF,0.29309999999999997
97,0.0,97.0,0.0,97.0,PyBOP,1-Methylimidazole,n10,DMF,0.2613
98,0.0,98.0,0.0,98.0,HOTU,Diisopropylethylamine,n9,DMF,0.2882
99,0.0,99.0,0.0,99.0,HATU,N-methylmorpholine,n4,MeCN,0.1158
100,0.0,100.0,0.0,100.0,DPPCl,"2,6-Lutidine",n8,MeCN,0.3257
101,0.0,101.0,0.0,101.0,PFTU,"2,6-Lutidine",n5,DMF,0.013300000000000001
102,0.0,102.0,0.0,102.0,TFFH,1-Methylimidazole,n5,DMF,0.26940000000000003
103,0.0,103.0,0.0,103.0,HOTU,"2,6-Lutidine",n5,MeCN,0.0194
104,0.0,104.0,0.0,104.0,PyBOP,1-Methylimidazole,n2,DMF,0.6374
105,0.0,105.0,0.0,105.0,PyBOP,"2,6-Lutidine",n2,DMF,0.2961
106,0.0,106.0,0.0,106.0,PyBOP,"2,6-Lutidine",n10,DMF,0.0137
107,0.0,107.0,0.0,107.0,BOP-Cl,"2,6-Lutidine",n8,MeCN,0.0581
108,0.0,108.0,0.0,108.0,TCFH,N-methylmorpholine,n10,THF,0.0197
109,0.0,109.0,0.0,109.0,DPPCl,Diisopropylethylamine,n5,THF,0.38280000000000003
110,0.0,110.0,0.0,110.0,TFFH,1-Methylimidazole,n4,THF,0.061900000000000004
111,0.0,111.0,0.0,111.0,HATU,N-methylmorpholine,n9,THF,0.5212
112,0.0,112.0,0.0,112.0,DPPCl,1-Methylimidazole,n10,DMF,0.0646
113,0.0,113.0,0.0,113.0,HATU,1-Methylimidazole,n1,THF,0.0262
114,0.0,114.0,0.0,114.0,PFTU,"2,6-Lutidine",n3,DMF,0.0264
115,0.0,115.0,0.0,115.0,BOP-Cl,1-Methylimidazole,n8,THF,0.3502
116,0.0,116.0,0.0,116.0,HOTU,"2,6-Lutidine",n8,MeCN,0.2546
117,0.0,117.0,0.0,117.0,PyBOP,Diisopropylethylamine,n2,MeCN,0.4635
118,0.0,118.0,0.0,118.0,PyBOP,"2,6-Lutidine",n1,MeCN,0.1184
119,0.0,119.0,0.0,119.0,TCFH,"2,6-Lutidine",n3,DMF,0.045599999999999995
120,0.0,120.0,0.0,120.0,DPPCl,N-methylmorpholine,n7,DMF,0.6772
121,0.0,121.0,0.0,121.0,DPPCl,1-Methylimidazole,n5,DMF,0.1161
122,0.0,122.0,0.0,122.0,BOP-Cl,Diisopropylethylamine,n8,THF,0.29350000000000004
123,0.0,123.0,0.0,123.0,TFFH,Diisopropylethylamine,n2,THF,0.45520000000000005
124,0.0,124.0,0.0,124.0,HATU,"2,6-Lutidine",n6,DMF,0.0104
125,0.0,125.0,0.0,125.0,TFFH,"2,6-Lutidine",n5,THF,0.0116
126,0.0,126.0,0.0,126.0,HOTU,"2,6-Lutidine",n9,MeCN,0.1322
127,0.0,127.0,0.0,127.0,DPPCl,1-Methylimidazole,n5,MeCN,0.2585
128,0.0,128.0,0.0,128.0,BOP-Cl,"2,6-Lutidine",n5,DMF,0.2808
129,0.0,129.0,0.0,129.0,PFTU,N-methylmorpholine,n1,THF,0.0025
130,0.0,130.0,0.0,130.0,PyBOP,N-methylmorpholine,n7,MeCN,0.1263
131,0.0,131.0,0.0,131.0,DPPCl,1-Methylimidazole,n7,MeCN,0.39740000000000003
132,0.0,132.0,0.0,132.0,TCFH,1-Methylimidazole,n6,MeCN,0.0246
133,0.0,133.0,0.0,133.0,BOP-Cl,Diisopropylethylamine,n5,THF,0.4672
134,0.0,134.0,0.0,134.0,HATU,1-Methylimidazole,n6,THF,0.030299999999999997
135,0.0,135.0,0.0,135.0,BOP-Cl,1-Methylimidazole,n4,MeCN,0.0692
136,0.0,136.0,0.0,136.0,DPPCl,"2,6-Lutidine",n8,THF,0.3397
137,0.0,137.0,0.0,137.0,HOTU,N-methylmorpholine,n1,THF,0.0159
138,0.0,138.0,0.0,138.0,TFFH,Diisopropylethylamine,n2,MeCN,0.24789999999999998
139,0.0,139.0,0.0,139.0,DPPCl,1-Methylimidazole,n3,DMF,0.3062
140,0.0,140.0,0.0,140.0,PyBOP,N-methylmorpholine,n3,MeCN,0.053399999999999996
141,0.0,141.0,0.0,141.0,TFFH,"2,6-Lutidine",n9,MeCN,0.1607
142,0.0,142.0,0.0,142.0,DPPCl,"2,6-Lutidine",n2,MeCN,0.5572
143,0.0,143.0,0.0,143.0,DPPCl,"2,6-Lutidine",n3,DMF,0.19579999999999997
144,0.0,144.0,0.0,144.0,PFTU,Diisopropylethylamine,n1,THF,0.0018
145,0.0,145.0,0.0,145.0,BOP-Cl,"2,6-Lutidine",n10,MeCN,0.009899999999999999
146,0.0,146.0,0.0,146.0,HATU,1-Methylimidazole,n4,DMF,0.1304
147,0.0,147.0,0.0,147.0,TCFH,1-Methylimidazole,n4,THF,0.1311
148,0.0,148.0,0.0,148.0,DPPCl,"2,6-Lutidine",n10,THF,0.024
149,0.0,149.0,0.0,149.0,HOTU,1-Methylimidazole,n2,MeCN,0.5919
150,1.0,0.0,0.0,0.0,PFTU,Diisopropylethylamine,n2,THF,0.2711
151,1.0,1.0,0.0,1.0,TCFH,1-Methylimidazole,n9,MeCN,0.5225
152,1.0,2.0,0.0,2.0,HATU,Diisopropylethylamine,n9,THF,0.3427
153,1.0,3.0,0.0,3.0,PyBOP,1-Methylimidazole,n2,THF,0.45280000000000004
