,num_sims,round,experiment,horizon,chosen_arm,reward,cumulative_reward
0,0.0,0.0,0.0,0.0,0.0,0.47659999999999997,0.47659999999999997
1,0.0,1.0,0.0,1.0,1.0,0.058499999999999996,0.5350999999999999
2,0.0,2.0,0.0,2.0,2.0,0.022099999999999998,0.5571999999999999
3,0.0,3.0,0.0,3.0,3.0,0.024399999999999998,0.5815999999999999
4,0.0,4.0,0.0,4.0,4.0,0.37229999999999996,0.9538999999999999
5,0.0,5.0,0.0,5.0,5.0,0.014499999999999999,0.9683999999999998
6,0.0,6.0,0.0,6.0,6.0,0.3014,1.2697999999999998
7,0.0,7.0,0.0,7.0,7.0,0.09369999999999999,1.3634999999999997
8,0.0,8.0,0.0,8.0,0.0,0.0069,1.3703999999999996
9,0.0,9.0,0.0,9.0,4.0,0.25920000000000004,1.6295999999999997
10,0.0,10.0,0.0,10.0,6.0,0.40130000000000005,2.0309
11,0.0,11.0,0.0,11.0,6.0,0.041299999999999996,2.0722
12,0.0,12.0,0.0,12.0,4.0,0.1946,2.2668
13,0.0,13.0,0.0,13.0,7.0,0.12689999999999999,2.3937
14,0.0,14.0,0.0,14.0,1.0,0.256,2.6497
15,0.0,15.0,0.0,15.0,0.0,0.0645,2.7142
16,0.0,16.0,0.0,16.0,3.0,0.12710000000000002,2.8413
17,0.0,17.0,0.0,17.0,2.0,0.49979999999999997,3.3411
18,0.0,18.0,0.0,18.0,2.0,0.37520000000000003,3.7163
19,0.0,19.0,0.0,19.0,5.0,0.18960000000000002,3.9059
20,0.0,20.0,0.0,20.0,2.0,0.1481,4.054
21,0.0,21.0,0.0,21.0,1.0,0.0521,4.1061000000000005
22,0.0,22.0,0.0,22.0,4.0,0.7503,4.856400000000001
23,0.0,23.0,0.0,23.0,4.0,0.0134,4.869800000000001
24,0.0,24.0,0.0,24.0,6.0,0.245,5.114800000000001
25,0.0,25.0,0.0,25.0,7.0,0.1793,5.2941
26,0.0,26.0,0.0,26.0,5.0,0.4775,5.7716
27,0.0,27.0,0.0,27.0,5.0,0.1043,5.875900000000001
28,0.0,28.0,0.0,28.0,3.0,0.1476,6.0235
29,0.0,29.0,0.0,29.0,0.0,0.5997,6.623200000000001
30,0.0,30.0,0.0,30.0,0.0,0.1517,6.774900000000001
31,0.0,31.0,0.0,31.0,2.0,0.6575,7.4324
32,0.0,32.0,0.0,32.0,2.0,0.009300000000000001,7.4417
33,0.0,33.0,0.0,33.0,6.0,0.1092,7.5509
34,0.0,34.0,0.0,34.0,4.0,0.4202,7.971100000000001
35,0.0,35.0,0.0,35.0,7.0,0.1025,8.0736
36,0.0,36.0,0.0,36.0,1.0,0.1164,8.190000000000001
37,0.0,37.0,0.0,37.0,4.0,0.28190000000000004,8.471900000000002
38,0.0,38.0,0.0,38.0,3.0,0.15259999999999999,8.624500000000001
39,0.0,39.0,0.0,39.0,5.0,0.013600000000000001,8.638100000000001
40,0.0,40.0,0.0,40.0,0.0,0.0192,8.657300000000001
41,0.0,41.0,0.0,41.0,2.0,0.0415,8.6988
42,0.0,42.0,0.0,42.0,6.0,0.6073,9.3061
43,0.0,43.0,0.0,43.0,6.0,0.0088,9.314900000000002
44,0.0,44.0,0.0,44.0,4.0,0.0421,9.357000000000001
45,0.0,45.0,0.0,45.0,7.0,0.3353,9.692300000000001
46,0.0,46.0,0.0,46.0,1.0,0.0536,9.7459
47,0.0,47.0,0.0,47.0,3.0,0.1954,9.9413
48,0.0,48.0,0.0,48.0,7.0,0.1091,10.0504
49,0.0,49.0,0.0,49.0,5.0,0.40619999999999995,10.4566
50,0.0,50.0,0.0,50.0,0.0,0.0018,10.4584
51,0.0,51.0,0.0,51.0,5.0,0.028999999999999998,10.4874
52,0.0,52.0,0.0,52.0,2.0,0.4131,10.9005
53,0.0,53.0,0.0,53.0,4.0,0.061200000000000004,10.961699999999999
54,0.0,54.0,0.0,54.0,6.0,0.1997,11.161399999999999
55,0.0,55.0,0.0,55.0,3.0,0.0040999999999999995,11.165499999999998
