,num_sims,round,experiment,horizon,activator_name,base_name,nucleophile_id,solvent_name,yield
0,0.0,0.0,0.0,0.0,PFTU,N-methylmorpholine,n10,THF,0.2095
1,0.0,1.0,0.0,1.0,TCFH,1-Methylimidazole,n3,MeCN,0.33899999999999997
2,0.0,2.0,0.0,2.0,HATU,N-methylmorpholine,n6,MeCN,0.048499999999999995
3,0.0,3.0,0.0,3.0,PyBOP,1-Methylimidazole,n5,DMF,0.0542
4,0.0,4.0,0.0,4.0,BOP-Cl,Diisopropylethylamine,n4,DMF,0.034
5,0.0,5.0,0.0,5.0,TFFH,N-methylmorpholine,n4,DMF,0.053399999999999996
6,0.0,6.0,0.0,6.0,DPPCl,"2,6-Lutidine",n8,MeCN,0.3257
7,0.0,7.0,0.0,7.0,HOTU,1-Methylimidazole,n7,MeCN,0.0
8,0.0,8.0,0.0,8.0,TCFH,Diisopropylethylamine,n6,DMF,0.0405
9,0.0,9.0,0.0,9.0,DPPCl,Diisopropylethylamine,n5,DMF,0.4092
10,0.0,10.0,0.0,10.0,PFTU,Diisopropylethylamine,n2,DMF,0.56
11,0.0,11.0,0.0,11.0,PyBOP,1-Methylimidazole,n9,MeCN,0.1476
12,0.0,12.0,0.0,12.0,TFFH,Diisopropylethylamine,n7,DMF,0.35719999999999996
13,0.0,13.0,0.0,13.0,PFTU,Diisopropylethylamine,n5,MeCN,0.043
14,0.0,14.0,0.0,14.0,HATU,Diisopropylethylamine,n3,DMF,0.5109
15,0.0,15.0,0.0,15.0,DPPCl,1-Methylimidazole,n6,MeCN,0.0236
16,0.0,16.0,0.0,16.0,BOP-Cl,N-methylmorpholine,n10,THF,0.0091
17,0.0,17.0,0.0,17.0,HOTU,"2,6-Lutidine",n1,MeCN,0.0046
18,0.0,18.0,0.0,18.0,HATU,1-Methylimidazole,n2,DMF,0.6209
19,0.0,19.0,0.0,19.0,HATU,N-methylmorpholine,n5,MeCN,0.055
20,0.0,20.0,0.0,20.0,TFFH,Diisopropylethylamine,n9,DMF,0.2961
21,0.0,21.0,0.0,21.0,TCFH,Diisopropylethylamine,n7,DMF,0.40270000000000006
22,0.0,22.0,0.0,22.0,PFTU,Diisopropylethylamine,n4,THF,0.011699999999999999
23,0.0,23.0,0.0,23.0,PyBOP,"2,6-Lutidine",n9,DMF,0.30519999999999997
24,0.0,24.0,0.0,24.0,TCFH,1-Methylimidazole,n1,DMF,0.3921
25,0.0,25.0,0.0,25.0,DPPCl,Diisopropylethylamine,n3,THF,0.5415
26,0.0,26.0,0.0,26.0,TFFH,N-methylmorpholine,n3,DMF,0.1949
27,0.0,27.0,0.0,27.0,DPPCl,N-methylmorpholine,n6,MeCN,0.0225
28,0.0,28.0,0.0,28.0,HATU,N-methylmorpholine,n10,DMF,0.1957
29,0.0,29.0,0.0,29.0,TCFH,1-Methylimidazole,n6,THF,0.031200000000000002
30,0.0,30.0,0.0,30.0,BOP-Cl,"2,6-Lutidine",n7,MeCN,0.1245
