,num_sims,round,experiment,horizon,chosen_arm,reward,cumulative_reward
0,0.0,0.0,0.0,0.0,5.0,0.016200000000000003,0.016200000000000003
1,0.0,1.0,0.0,1.0,5.0,0.1038,0.12000000000000001
2,0.0,2.0,0.0,2.0,3.0,0.2961,0.41609999999999997
3,0.0,3.0,0.0,3.0,3.0,0.0345,0.4506
4,0.0,4.0,0.0,4.0,3.0,0.30269999999999997,0.7533
5,0.0,5.0,0.0,5.0,3.0,0.0737,0.827
6,0.0,6.0,0.0,6.0,3.0,0.022400000000000003,0.8493999999999999
7,0.0,7.0,0.0,7.0,3.0,0.1765,1.0259
8,0.0,8.0,0.0,8.0,3.0,0.13369999999999999,1.1596
9,0.0,9.0,0.0,9.0,3.0,0.1845,1.3441
10,0.0,10.0,0.0,10.0,3.0,0.1741,1.5182
11,0.0,11.0,0.0,11.0,3.0,0.0705,1.5887
12,0.0,12.0,0.0,12.0,3.0,0.2211,1.8098
13,0.0,13.0,0.0,13.0,3.0,0.0276,1.8374000000000001
14,0.0,14.0,0.0,14.0,2.0,0.0262,1.8636000000000001
15,0.0,15.0,0.0,15.0,3.0,0.1263,1.9899000000000002
16,0.0,16.0,0.0,16.0,3.0,0.4252,2.4151000000000002
17,0.0,17.0,0.0,17.0,1.0,0.23739999999999997,2.6525000000000003
18,0.0,18.0,0.0,18.0,1.0,0.2028,2.8553
19,0.0,19.0,0.0,19.0,0.0,0.0682,2.9235
20,0.0,20.0,0.0,20.0,1.0,0.1268,3.0503
21,0.0,21.0,0.0,21.0,1.0,0.0352,3.0855
22,0.0,22.0,0.0,22.0,3.0,0.1795,3.265
23,0.0,23.0,0.0,23.0,3.0,0.0484,3.3134
24,0.0,24.0,0.0,24.0,3.0,0.21789999999999998,3.5313
25,0.0,25.0,0.0,25.0,3.0,0.1116,3.6429
26,0.0,26.0,0.0,26.0,3.0,0.0352,3.6781
27,0.0,27.0,0.0,27.0,3.0,0.0086,3.6867
28,0.0,28.0,0.0,28.0,1.0,0.0246,3.7113
29,0.0,29.0,0.0,29.0,3.0,0.5588000000000001,4.2701
30,0.0,30.0,0.0,30.0,3.0,0.0053,4.2754
31,0.0,31.0,0.0,31.0,3.0,0.34950000000000003,4.6249
32,0.0,32.0,0.0,32.0,3.0,0.12710000000000002,4.752000000000001
33,0.0,33.0,0.0,33.0,3.0,0.0165,4.7685
34,0.0,34.0,0.0,34.0,3.0,0.0176,4.7861
35,0.0,35.0,0.0,35.0,3.0,0.3357,5.1218
36,0.0,36.0,0.0,36.0,3.0,0.0384,5.160200000000001
37,0.0,37.0,0.0,37.0,3.0,0.0874,5.2476
38,0.0,38.0,0.0,38.0,3.0,0.6375,5.8851
39,0.0,39.0,0.0,39.0,3.0,0.4635,6.3486
40,0.0,40.0,0.0,40.0,3.0,0.07440000000000001,6.423
41,0.0,41.0,0.0,41.0,3.0,0.1954,6.6184
42,0.0,42.0,0.0,42.0,3.0,0.1433,6.7617
43,0.0,43.0,0.0,43.0,3.0,0.11900000000000001,6.8807
44,0.0,44.0,0.0,44.0,3.0,0.2933,7.174
45,0.0,45.0,0.0,45.0,3.0,0.2006,7.3746
46,0.0,46.0,0.0,46.0,3.0,0.024900000000000002,7.3995
47,0.0,47.0,0.0,47.0,6.0,0.5415,7.941
48,0.0,48.0,0.0,48.0,6.0,0.1161,8.0571
49,0.0,49.0,0.0,49.0,6.0,0.1832,8.2403
50,0.0,50.0,0.0,50.0,6.0,0.8558,9.0961
51,0.0,51.0,0.0,51.0,6.0,0.2576,9.3537
52,0.0,52.0,0.0,52.0,6.0,0.1451,9.4988
53,0.0,53.0,0.0,53.0,6.0,0.1549,9.653699999999999
54,0.0,54.0,0.0,54.0,6.0,0.0092,9.662899999999999
55,0.0,55.0,0.0,55.0,6.0,0.37729999999999997,10.040199999999999
56,0.0,56.0,0.0,56.0,6.0,0.4033,10.443499999999998
57,0.0,57.0,0.0,57.0,6.0,0.7003,11.143799999999999
58,0.0,58.0,0.0,58.0,6.0,0.0679,11.211699999999999
59,0.0,59.0,0.0,59.0,6.0,0.4738,11.6855
60,0.0,60.0,0.0,60.0,7.0,0.0159,11.7014
61,0.0,61.0,0.0,61.0,6.0,0.3987,12.1001
62,0.0,62.0,0.0,62.0,6.0,0.5184000000000001,12.6185
63,0.0,63.0,0.0,63.0,6.0,0.026699999999999998,12.645199999999999
64,0.0,64.0,0.0,64.0,6.0,0.1348,12.78
65,0.0,65.0,0.0,65.0,6.0,0.7091,13.489099999999999
66,0.0,66.0,0.0,66.0,6.0,0.5942000000000001,14.0833
67,0.0,67.0,0.0,67.0,6.0,0.321,14.4043
68,0.0,68.0,0.0,68.0,6.0,0.048499999999999995,14.4528
69,0.0,69.0,0.0,69.0,6.0,0.016200000000000003,14.469
70,0.0,70.0,0.0,70.0,6.0,0.5366,15.0056
71,0.0,71.0,0.0,71.0,6.0,0.0373,15.0429
72,0.0,72.0,0.0,72.0,6.0,0.49670000000000003,15.5396
73,0.0,73.0,0.0,73.0,6.0,0.0747,15.6143
74,0.0,74.0,0.0,74.0,6.0,0.2311,15.8454
75,0.0,75.0,0.0,75.0,6.0,0.0236,15.869
76,0.0,76.0,0.0,76.0,6.0,0.059000000000000004,15.927999999999999
77,0.0,77.0,0.0,77.0,6.0,0.0739,16.0019
78,0.0,78.0,0.0,78.0,6.0,0.6969,16.6988
79,0.0,79.0,0.0,79.0,6.0,0.48960000000000004,17.188399999999998
80,0.0,80.0,0.0,80.0,6.0,0.1521,17.3405
81,0.0,81.0,0.0,81.0,2.0,0.2732,17.613699999999998
82,0.0,82.0,0.0,82.0,6.0,0.6081,18.221799999999998
83,0.0,83.0,0.0,83.0,6.0,0.45880000000000004,18.6806
84,0.0,84.0,0.0,84.0,6.0,0.3014,18.982
85,0.0,85.0,0.0,85.0,6.0,0.3442,19.3262
86,0.0,86.0,0.0,86.0,6.0,0.38280000000000003,19.709
87,0.0,87.0,0.0,87.0,6.0,0.3397,20.0487
88,0.0,88.0,0.0,88.0,6.0,0.3588,20.4075
89,0.0,89.0,0.0,89.0,6.0,0.0548,20.4623
90,0.0,90.0,0.0,90.0,6.0,0.2738,20.7361
91,0.0,91.0,0.0,91.0,6.0,0.0552,20.7913
