,num_sims,round,experiment,horizon,activator_name,base_name,nucleophile_id,solvent_name,yield
0,0.0,0.0,0.0,0.0,BOP-Cl,1-Methylimidazole,n3,MeCN,0.35609999999999997
1,0.0,1.0,0.0,1.0,BOP-Cl,1-Methylimidazole,n4,THF,0.063
2,0.0,2.0,0.0,2.0,TFFH,"2,6-Lutidine",n3,DMF,0.18530000000000002
3,0.0,3.0,0.0,3.0,DPPCl,Diisopropylethylamine,n8,THF,0.19519999999999998
4,0.0,4.0,0.0,4.0,HOTU,N-methylmorpholine,n10,THF,0.16699999999999998
5,0.0,5.0,0.0,5.0,PFTU,N-methylmorpholine,n7,MeCN,0.042300000000000004
6,0.0,6.0,0.0,6.0,HOTU,1-Methylimidazole,n8,THF,0.3071
7,0.0,7.0,0.0,7.0,TCFH,Diisopropylethylamine,n5,THF,0.0727
8,0.0,8.0,0.0,8.0,HATU,N-methylmorpholine,n6,DMF,0.018600000000000002
9,0.0,9.0,0.0,9.0,PFTU,Diisopropylethylamine,n6,DMF,0.032400000000000005
10,0.0,10.0,0.0,10.0,HOTU,"2,6-Lutidine",n2,MeCN,0.5637
11,0.0,11.0,0.0,11.0,PyBOP,Diisopropylethylamine,n9,DMF,0.21789999999999998
12,0.0,12.0,0.0,12.0,HATU,1-Methylimidazole,n9,DMF,0.49979999999999997
13,0.0,13.0,0.0,13.0,BOP-Cl,Diisopropylethylamine,n6,DMF,0.0377
14,0.0,14.0,0.0,14.0,DPPCl,Diisopropylethylamine,n2,DMF,0.4033
15,0.0,15.0,0.0,15.0,HOTU,1-Methylimidazole,n2,DMF,0.5596
16,0.0,16.0,0.0,16.0,TCFH,Diisopropylethylamine,n3,THF,0.054000000000000006
17,0.0,17.0,0.0,17.0,TFFH,Diisopropylethylamine,n9,THF,0.2636
18,0.0,18.0,0.0,18.0,DPPCl,1-Methylimidazole,n9,MeCN,0.40490000000000004
19,0.0,19.0,0.0,19.0,HOTU,1-Methylimidazole,n4,THF,0.1352
20,0.0,20.0,0.0,20.0,TFFH,1-Methylimidazole,n10,MeCN,0.0085
21,0.0,21.0,0.0,21.0,BOP-Cl,Diisopropylethylamine,n8,THF,0.29350000000000004
22,0.0,22.0,0.0,22.0,PyBOP,N-methylmorpholine,n9,THF,0.2072
23,0.0,23.0,0.0,23.0,DPPCl,Diisopropylethylamine,n6,THF,0.0213
24,0.0,24.0,0.0,24.0,HATU,Diisopropylethylamine,n10,THF,0.0653
25,0.0,25.0,0.0,25.0,PyBOP,1-Methylimidazole,n1,DMF,0.018799999999999997
26,0.0,26.0,0.0,26.0,TCFH,1-Methylimidazole,n5,THF,0.5543
27,0.0,27.0,0.0,27.0,TFFH,"2,6-Lutidine",n7,DMF,0.0321
28,0.0,28.0,0.0,28.0,HOTU,"2,6-Lutidine",n9,DMF,0.2825
29,0.0,29.0,0.0,29.0,HOTU,1-Methylimidazole,n1,THF,0.058499999999999996
30,0.0,30.0,0.0,30.0,DPPCl,Diisopropylethylamine,n2,MeCN,0.3268
31,0.0,31.0,0.0,31.0,PFTU,N-methylmorpholine,n6,THF,0.0183
32,0.0,32.0,0.0,32.0,DPPCl,N-methylmorpholine,n3,DMF,0.5028
33,0.0,33.0,0.0,33.0,HOTU,"2,6-Lutidine",n4,THF,0.08539999999999999
34,0.0,34.0,0.0,34.0,HOTU,1-Methylimidazole,n7,THF,0.1547
35,0.0,35.0,0.0,35.0,BOP-Cl,Diisopropylethylamine,n3,DMF,0.0418
36,0.0,36.0,0.0,36.0,HATU,Diisopropylethylamine,n1,THF,0.02
37,0.0,37.0,0.0,37.0,TCFH,1-Methylimidazole,n7,MeCN,0.18109999999999998
38,0.0,38.0,0.0,38.0,TCFH,Diisopropylethylamine,n8,MeCN,0.0984
39,0.0,39.0,0.0,39.0,HATU,N-methylmorpholine,n7,DMF,0.5536
40,0.0,40.0,0.0,40.0,HOTU,1-Methylimidazole,n10,THF,0.024700000000000003
41,0.0,41.0,0.0,41.0,PFTU,"2,6-Lutidine",n4,MeCN,0.0127
42,0.0,42.0,0.0,42.0,DPPCl,"2,6-Lutidine",n5,MeCN,0.1808
43,0.0,43.0,0.0,43.0,BOP-Cl,"2,6-Lutidine",n7,MeCN,0.1245
44,0.0,44.0,0.0,44.0,TCFH,1-Methylimidazole,n8,DMF,0.1559
45,0.0,45.0,0.0,45.0,DPPCl,"2,6-Lutidine",n8,MeCN,0.3257
46,0.0,46.0,0.0,46.0,HOTU,"2,6-Lutidine",n1,DMF,0.0252
47,0.0,47.0,0.0,47.0,HOTU,1-Methylimidazole,n1,DMF,0.0281
48,0.0,48.0,0.0,48.0,TCFH,1-Methylimidazole,n6,DMF,0.026000000000000002
49,0.0,49.0,0.0,49.0,HATU,"2,6-Lutidine",n3,DMF,0.1189
50,0.0,50.0,0.0,50.0,DPPCl,"2,6-Lutidine",n3,MeCN,0.3442
51,0.0,51.0,0.0,51.0,HATU,"2,6-Lutidine",n10,MeCN,0.1759
52,0.0,52.0,0.0,52.0,TFFH,N-methylmorpholine,n2,DMF,0.5695
53,0.0,53.0,0.0,53.0,TFFH,1-Methylimidazole,n10,DMF,0.02
54,0.0,54.0,0.0,54.0,BOP-Cl,1-Methylimidazole,n5,THF,0.1285
55,0.0,55.0,0.0,55.0,TCFH,1-Methylimidazole,n9,MeCN,0.5225
56,0.0,56.0,0.0,56.0,PFTU,Diisopropylethylamine,n9,THF,0.0229
57,0.0,57.0,0.0,57.0,TFFH,1-Methylimidazole,n8,THF,0.18960000000000002
58,0.0,58.0,0.0,58.0,HATU,"2,6-Lutidine",n8,MeCN,0.2732
59,0.0,59.0,0.0,59.0,TCFH,"2,6-Lutidine",n4,THF,0.0542
60,0.0,60.0,0.0,60.0,DPPCl,N-methylmorpholine,n5,THF,0.18030000000000002
61,0.0,61.0,0.0,61.0,HATU,1-Methylimidazole,n7,DMF,0.5537
62,0.0,62.0,0.0,62.0,PyBOP,Diisopropylethylamine,n10,MeCN,0.4252
63,0.0,63.0,0.0,63.0,PyBOP,1-Methylimidazole,n10,DMF,0.2613
64,0.0,64.0,0.0,64.0,HOTU,1-Methylimidazole,n2,MeCN,0.5919
65,0.0,65.0,0.0,65.0,HATU,N-methylmorpholine,n8,THF,0.0525
66,0.0,66.0,0.0,66.0,PyBOP,1-Methylimidazole,n2,THF,0.45280000000000004
67,0.0,67.0,0.0,67.0,DPPCl,1-Methylimidazole,n7,THF,0.7003
68,0.0,68.0,0.0,68.0,PyBOP,Diisopropylethylamine,n1,MeCN,0.13369999999999999
69,0.0,69.0,0.0,69.0,DPPCl,1-Methylimidazole,n6,THF,0.034
70,0.0,70.0,0.0,70.0,PyBOP,"2,6-Lutidine",n2,MeCN,0.6222
71,0.0,71.0,0.0,71.0,PyBOP,1-Methylimidazole,n6,DMF,0.024399999999999998
72,0.0,72.0,0.0,72.0,PyBOP,"2,6-Lutidine",n3,MeCN,0.0123
73,0.0,73.0,0.0,73.0,HOTU,1-Methylimidazole,n3,THF,0.2306
74,0.0,74.0,0.0,74.0,TFFH,Diisopropylethylamine,n3,THF,0.2494
75,0.0,75.0,0.0,75.0,DPPCl,"2,6-Lutidine",n5,THF,0.1451
76,0.0,76.0,0.0,76.0,PyBOP,"2,6-Lutidine",n2,THF,0.5918
77,0.0,77.0,0.0,77.0,TFFH,Diisopropylethylamine,n4,THF,0.1954
78,0.0,78.0,0.0,78.0,DPPCl,1-Methylimidazole,n1,DMF,0.1409
79,0.0,79.0,0.0,79.0,HOTU,1-Methylimidazole,n6,DMF,0.019299999999999998
80,0.0,80.0,0.0,80.0,HATU,"2,6-Lutidine",n6,DMF,0.0104
81,0.0,81.0,0.0,81.0,TFFH,1-Methylimidazole,n2,THF,0.5803
82,0.0,82.0,0.0,82.0,DPPCl,Diisopropylethylamine,n9,DMF,0.9871
83,0.0,83.0,0.0,83.0,BOP-Cl,"2,6-Lutidine",n5,THF,0.0148
84,0.0,84.0,0.0,84.0,TCFH,Diisopropylethylamine,n10,MeCN,0.08349999999999999
85,0.0,85.0,0.0,85.0,PyBOP,Diisopropylethylamine,n5,MeCN,0.2189
86,0.0,86.0,0.0,86.0,TFFH,1-Methylimidazole,n3,THF,0.4534
87,0.0,87.0,0.0,87.0,PyBOP,"2,6-Lutidine",n8,MeCN,0.1484
88,0.0,88.0,0.0,88.0,DPPCl,N-methylmorpholine,n1,THF,0.4792
89,0.0,89.0,0.0,89.0,PyBOP,1-Methylimidazole,n1,MeCN,0.0184
