,num_sims,round,experiment,horizon,chosen_arm,reward,cumulative_reward
0,0.0,0.0,0.0,0.0,4.0,0.5521,0.5521
1,0.0,1.0,0.0,1.0,4.0,0.2958,0.8479000000000001
2,0.0,2.0,0.0,2.0,7.0,0.0426,0.8905000000000001
3,0.0,3.0,0.0,3.0,5.0,0.46340000000000003,1.3539
4,0.0,4.0,0.0,4.0,2.0,0.4131,1.7670000000000001
5,0.0,5.0,0.0,5.0,0.0,0.0377,1.8047000000000002
6,0.0,6.0,0.0,6.0,6.0,0.2827,2.0874
7,0.0,7.0,0.0,7.0,0.0,0.0183,2.1057
8,0.0,8.0,0.0,8.0,5.0,0.0254,2.1311
9,0.0,9.0,0.0,9.0,0.0,0.0097,2.1408
10,0.0,10.0,0.0,10.0,2.0,0.0043,2.1451000000000002
11,0.0,11.0,0.0,11.0,1.0,0.0209,2.1660000000000004
12,0.0,12.0,0.0,12.0,1.0,0.4876,2.6536000000000004
13,0.0,13.0,0.0,13.0,2.0,0.0787,2.7323000000000004
14,0.0,14.0,0.0,14.0,3.0,0.0482,2.7805000000000004
15,0.0,15.0,0.0,15.0,0.0,0.0069,2.7874000000000003
16,0.0,16.0,0.0,16.0,6.0,0.0464,2.8338
17,0.0,17.0,0.0,17.0,5.0,0.2827,3.1165000000000003
18,0.0,18.0,0.0,18.0,5.0,0.015,3.1315000000000004
19,0.0,19.0,0.0,19.0,1.0,0.0636,3.1951000000000005
20,0.0,20.0,0.0,20.0,7.0,0.044500000000000005,3.2396000000000007
21,0.0,21.0,0.0,21.0,7.0,0.0784,3.3180000000000005
22,0.0,22.0,0.0,22.0,3.0,0.0286,3.3466000000000005
23,0.0,23.0,0.0,23.0,4.0,0.29350000000000004,3.6401000000000003
24,0.0,24.0,0.0,24.0,4.0,0.3502,3.9903000000000004
25,0.0,25.0,0.0,25.0,3.0,0.018799999999999997,4.0091
26,0.0,26.0,0.0,26.0,4.0,0.6288,4.6379
27,0.0,27.0,0.0,27.0,2.0,0.6213000000000001,5.2592
28,0.0,28.0,0.0,28.0,1.0,0.0239,5.2831
29,0.0,29.0,0.0,29.0,4.0,0.0377,5.3208
30,0.0,30.0,0.0,30.0,2.0,0.2181,5.5389
31,0.0,31.0,0.0,31.0,3.0,0.1741,5.713
32,0.0,32.0,0.0,32.0,4.0,0.4447,6.1577
33,0.0,33.0,0.0,33.0,6.0,0.041299999999999996,6.199
34,0.0,34.0,0.0,34.0,4.0,0.2097,6.4087
35,0.0,35.0,0.0,35.0,7.0,0.1793,6.587999999999999
36,0.0,36.0,0.0,36.0,2.0,0.0435,6.631499999999999
37,0.0,37.0,0.0,37.0,5.0,0.023,6.654499999999999
38,0.0,38.0,0.0,38.0,5.0,0.1038,6.758299999999998
39,0.0,39.0,0.0,39.0,4.0,0.0604,6.818699999999998
40,0.0,40.0,0.0,40.0,7.0,0.039900000000000005,6.858599999999998
41,0.0,41.0,0.0,41.0,5.0,0.0126,6.871199999999998
42,0.0,42.0,0.0,42.0,2.0,0.49979999999999997,7.370999999999998
43,0.0,43.0,0.0,43.0,1.0,0.5225,7.893499999999998
44,0.0,44.0,0.0,44.0,3.0,0.1776,8.071099999999998
45,0.0,45.0,0.0,45.0,4.0,0.5365,8.607599999999998
46,0.0,46.0,0.0,46.0,5.0,0.2636,8.871199999999998
47,0.0,47.0,0.0,47.0,4.0,0.0248,8.895999999999999
48,0.0,48.0,0.0,48.0,4.0,0.021099999999999997,8.9171
49,0.0,49.0,0.0,49.0,0.0,0.0576,8.9747
50,0.0,50.0,0.0,50.0,1.0,0.20920000000000002,9.1839
51,0.0,51.0,0.0,51.0,1.0,0.030899999999999997,9.2148
52,0.0,52.0,0.0,52.0,2.0,0.5537,9.7685
53,0.0,53.0,0.0,53.0,2.0,0.3556,10.1241
54,0.0,54.0,0.0,54.0,2.0,0.6334000000000001,10.7575
55,0.0,55.0,0.0,55.0,2.0,0.12279999999999999,10.8803
56,0.0,56.0,0.0,56.0,2.0,0.0635,10.9438
57,0.0,57.0,0.0,57.0,1.0,0.1075,11.0513
58,0.0,58.0,0.0,58.0,5.0,0.0946,11.1459
59,0.0,59.0,0.0,59.0,6.0,0.2733,11.4192
60,0.0,60.0,0.0,60.0,6.0,0.19519999999999998,11.6144
61,0.0,61.0,0.0,61.0,2.0,0.0462,11.6606
62,0.0,62.0,0.0,62.0,2.0,0.2415,11.9021
63,0.0,63.0,0.0,63.0,5.0,0.17859999999999998,12.0807
64,0.0,64.0,0.0,64.0,2.0,0.2569,12.3376
65,0.0,65.0,0.0,65.0,2.0,0.0087,12.3463
66,0.0,66.0,0.0,66.0,4.0,0.07429999999999999,12.420599999999999
67,0.0,67.0,0.0,67.0,6.0,0.0365,12.457099999999999
68,0.0,68.0,0.0,68.0,6.0,0.0552,12.512299999999998
69,0.0,69.0,0.0,69.0,4.0,0.0499,12.562199999999997
70,0.0,70.0,0.0,70.0,4.0,0.1906,12.752799999999997
71,0.0,71.0,0.0,71.0,6.0,0.3014,13.054199999999996
72,0.0,72.0,0.0,72.0,1.0,0.0904,13.144599999999997
73,0.0,73.0,0.0,73.0,1.0,0.2028,13.347399999999997
74,0.0,74.0,0.0,74.0,4.0,0.0418,13.389199999999997
75,0.0,75.0,0.0,75.0,0.0,0.0219,13.411099999999998
76,0.0,76.0,0.0,76.0,7.0,0.3652,13.776299999999997
77,0.0,77.0,0.0,77.0,5.0,0.031,13.807299999999998
78,0.0,78.0,0.0,78.0,6.0,0.18030000000000002,13.987599999999999
79,0.0,79.0,0.0,79.0,7.0,0.4357,14.4233
80,0.0,80.0,0.0,80.0,3.0,0.0123,14.435599999999999
81,0.0,81.0,0.0,81.0,7.0,0.4578,14.8934
82,0.0,82.0,0.0,82.0,3.0,0.45280000000000004,15.3462
83,0.0,83.0,0.0,83.0,2.0,0.305,15.6512
84,0.0,84.0,0.0,84.0,4.0,0.019299999999999998,15.670499999999999
85,0.0,85.0,0.0,85.0,3.0,0.6591,16.3296
86,0.0,86.0,0.0,86.0,6.0,0.5415,16.8711
87,0.0,87.0,0.0,87.0,1.0,0.7442,17.615299999999998
88,0.0,88.0,0.0,88.0,5.0,0.5717,18.186999999999998
89,0.0,89.0,0.0,89.0,1.0,0.0106,18.197599999999998
90,0.0,90.0,0.0,90.0,3.0,0.1184,18.316
91,0.0,91.0,0.0,91.0,1.0,0.1268,18.4428
92,0.0,92.0,0.0,92.0,1.0,0.0351,18.477899999999998
93,0.0,93.0,0.0,93.0,2.0,0.0212,18.4991
94,0.0,94.0,0.0,94.0,4.0,0.061200000000000004,18.560299999999998
95,0.0,95.0,0.0,95.0,5.0,0.12480000000000001,18.6851
96,0.0,96.0,0.0,96.0,0.0,0.0042,18.6893
97,0.0,97.0,0.0,97.0,5.0,0.016200000000000003,18.7055
98,0.0,98.0,0.0,98.0,7.0,0.0496,18.755100000000002
99,0.0,99.0,0.0,99.0,5.0,0.1808,18.935900000000004
100,0.0,100.0,0.0,100.0,4.0,0.053,18.988900000000005
101,0.0,101.0,0.0,101.0,2.0,0.0246,19.013500000000004
102,0.0,102.0,0.0,102.0,4.0,0.34729999999999994,19.360800000000005
103,0.0,103.0,0.0,103.0,7.0,0.0197,19.380500000000005
104,0.0,104.0,0.0,104.0,3.0,0.2006,19.581100000000006
105,0.0,105.0,0.0,105.0,5.0,0.22469999999999998,19.805800000000005
106,0.0,106.0,0.0,106.0,3.0,0.2994,20.105200000000004
107,0.0,107.0,0.0,107.0,6.0,0.6081,20.713300000000004
108,0.0,108.0,0.0,108.0,6.0,0.40490000000000004,21.118200000000005
109,0.0,109.0,0.0,109.0,6.0,0.5146999999999999,21.632900000000006
110,0.0,110.0,0.0,110.0,0.0,0.0042,21.637100000000007
111,0.0,111.0,0.0,111.0,2.0,0.0735,21.710600000000007
112,0.0,112.0,0.0,112.0,1.0,0.34600000000000003,22.056600000000007
113,0.0,113.0,0.0,113.0,6.0,0.0225,22.079100000000007
114,0.0,114.0,0.0,114.0,2.0,0.19940000000000002,22.278500000000008
115,0.0,115.0,0.0,115.0,1.0,0.026000000000000002,22.304500000000008
116,0.0,116.0,0.0,116.0,2.0,0.1481,22.452600000000007
117,0.0,117.0,0.0,117.0,5.0,0.0024,22.45500000000001
118,0.0,118.0,0.0,118.0,4.0,0.4083,22.86330000000001
119,0.0,119.0,0.0,119.0,7.0,0.0696,22.93290000000001
120,0.0,120.0,0.0,120.0,3.0,0.07440000000000001,23.00730000000001
121,0.0,121.0,0.0,121.0,1.0,0.2158,23.223100000000013
122,0.0,122.0,0.0,122.0,4.0,0.0722,23.29530000000001
123,0.0,123.0,0.0,123.0,2.0,0.1859,23.481200000000012
124,0.0,124.0,0.0,124.0,3.0,0.0509,23.53210000000001
125,0.0,125.0,0.0,125.0,1.0,0.20989999999999998,23.74200000000001
126,0.0,126.0,0.0,126.0,3.0,0.0705,23.81250000000001
127,0.0,127.0,0.0,127.0,7.0,0.253,24.06550000000001
128,0.0,128.0,0.0,128.0,7.0,0.3353,24.40080000000001
129,0.0,129.0,0.0,129.0,4.0,0.2733,24.67410000000001
130,0.0,130.0,0.0,130.0,2.0,0.25420000000000004,24.92830000000001
131,0.0,131.0,0.0,131.0,6.0,0.2738,25.202100000000012
132,0.0,132.0,0.0,132.0,7.0,0.013999999999999999,25.21610000000001
133,0.0,133.0,0.0,133.0,2.0,0.0038,25.21990000000001
134,0.0,134.0,0.0,134.0,3.0,0.0086,25.22850000000001
135,0.0,135.0,0.0,135.0,3.0,0.1815,25.41000000000001
136,0.0,136.0,0.0,136.0,6.0,0.0298,25.439800000000012
137,0.0,137.0,0.0,137.0,1.0,0.9614,26.401200000000014
138,0.0,138.0,0.0,138.0,4.0,0.0148,26.416000000000015
139,0.0,139.0,0.0,139.0,6.0,0.2757,26.691700000000015
140,0.0,140.0,0.0,140.0,5.0,0.16570000000000001,26.857400000000016
141,0.0,141.0,0.0,141.0,6.0,0.5572,27.414600000000018
142,0.0,142.0,0.0,142.0,7.0,0.6406999999999999,28.055300000000017
143,0.0,143.0,0.0,143.0,6.0,0.0192,28.074500000000018
144,0.0,144.0,0.0,144.0,4.0,0.3554,28.429900000000018
145,0.0,145.0,0.0,145.0,1.0,0.1148,28.544700000000017
146,0.0,146.0,0.0,146.0,7.0,0.0281,28.572800000000015
147,0.0,147.0,0.0,147.0,3.0,0.039,28.611800000000017
148,0.0,148.0,0.0,148.0,5.0,0.191,28.802800000000016
149,0.0,149.0,0.0,149.0,6.0,0.2585,29.061300000000017
150,1.0,0.0,0.0,0.0,5.0,0.0688,0.0688
151,1.0,1.0,0.0,1.0,1.0,0.426,0.4948
152,1.0,2.0,0.0,2.0,7.0,0.5732,1.068
153,1.0,3.0,0.0,3.0,0.0,0.004,1.072
154,1.0,4.0,0.0,4.0,2.0,0.226,1.298
155,1.0,5.0,0.0,5.0,6.0,0.024,1.322
156,1.0,6.0,0.0,6.0,3.0,0.10099999999999999,1.423
157,1.0,7.0,0.0,7.0,7.0,0.0281,1.4511
158,1.0,8.0,0.0,8.0,4.0,0.0692,1.5203
159,1.0,9.0,0.0,9.0,2.0,0.0262,1.5465
160,1.0,10.0,0.0,10.0,1.0,0.20989999999999998,1.7564
