,num_sims,round,experiment,horizon,activator_name,base_name,nucleophile_id,solvent_name,yield
0,0.0,0.0,0.0,0.0,HOTU,Diisopropylethylamine,n3,THF,0.0
1,0.0,1.0,0.0,1.0,BOP-Cl,1-Methylimidazole,n7,MeCN,0.5015
2,0.0,2.0,0.0,2.0,PFTU,N-methylmorpholine,n8,MeCN,0.0235
3,0.0,3.0,0.0,3.0,PyBOP,Diisopropylethylamine,n4,MeCN,0.12710000000000002
4,0.0,4.0,0.0,4.0,HATU,1-Methylimidazole,n3,DMF,0.3035
5,0.0,5.0,0.0,5.0,PFTU,1-Methylimidazole,n4,DMF,0.0636
6,0.0,6.0,0.0,6.0,HOTU,"2,6-Lutidine",n1,MeCN,0.0046
7,0.0,7.0,0.0,7.0,BOP-Cl,N-methylmorpholine,n3,DMF,0.0722
8,0.0,8.0,0.0,8.0,BOP-Cl,1-Methylimidazole,n5,DMF,0.19039999999999999
9,0.0,9.0,0.0,9.0,HATU,Diisopropylethylamine,n10,DMF,0.0518
10,0.0,10.0,0.0,10.0,TFFH,Diisopropylethylamine,n4,THF,0.1954
11,0.0,11.0,0.0,11.0,TFFH,Diisopropylethylamine,n1,THF,0.0946
12,0.0,12.0,0.0,12.0,DPPCl,N-methylmorpholine,n8,MeCN,0.36219999999999997
13,0.0,13.0,0.0,13.0,PyBOP,Diisopropylethylamine,n8,THF,0.1845
14,0.0,14.0,0.0,14.0,HATU,Diisopropylethylamine,n3,MeCN,0.32899999999999996
15,0.0,15.0,0.0,15.0,HATU,N-methylmorpholine,n6,DMF,0.018600000000000002
16,0.0,16.0,0.0,16.0,PyBOP,N-methylmorpholine,n1,MeCN,0.0043
17,0.0,17.0,0.0,17.0,TFFH,Diisopropylethylamine,n8,THF,0.0768
18,0.0,18.0,0.0,18.0,TCFH,Diisopropylethylamine,n2,THF,0.1674
19,0.0,19.0,0.0,19.0,DPPCl,1-Methylimidazole,n10,MeCN,0.1348
20,0.0,20.0,0.0,20.0,PyBOP,1-Methylimidazole,n1,DMF,0.018799999999999997
21,0.0,21.0,0.0,21.0,HOTU,1-Methylimidazole,n10,DMF,0.0696
22,0.0,22.0,0.0,22.0,DPPCl,Diisopropylethylamine,n10,THF,0.0594
23,0.0,23.0,0.0,23.0,BOP-Cl,N-methylmorpholine,n6,DMF,0.013300000000000001
24,0.0,24.0,0.0,24.0,DPPCl,N-methylmorpholine,n1,THF,0.4792
25,0.0,25.0,0.0,25.0,DPPCl,Diisopropylethylamine,n5,DMF,0.4092
26,0.0,26.0,0.0,26.0,TFFH,Diisopropylethylamine,n7,THF,0.16449999999999998
27,0.0,27.0,0.0,27.0,PFTU,"2,6-Lutidine",n3,MeCN,0.0070999999999999995
28,0.0,28.0,0.0,28.0,PyBOP,Diisopropylethylamine,n9,DMF,0.21789999999999998
29,0.0,29.0,0.0,29.0,DPPCl,1-Methylimidazole,n7,MeCN,0.39740000000000003
30,0.0,30.0,0.0,30.0,TCFH,N-methylmorpholine,n4,THF,0.23739999999999997
31,0.0,31.0,0.0,31.0,BOP-Cl,1-Methylimidazole,n8,DMF,0.2958
32,0.0,32.0,0.0,32.0,TCFH,Diisopropylethylamine,n10,THF,0.41950000000000004
33,0.0,33.0,0.0,33.0,TCFH,"2,6-Lutidine",n6,THF,0.1659
34,0.0,34.0,0.0,34.0,HOTU,1-Methylimidazole,n5,MeCN,0.09369999999999999
35,0.0,35.0,0.0,35.0,TCFH,N-methylmorpholine,n3,DMF,0.0
36,0.0,36.0,0.0,36.0,DPPCl,Diisopropylethylamine,n1,DMF,0.37729999999999997
37,0.0,37.0,0.0,37.0,BOP-Cl,"2,6-Lutidine",n1,MeCN,0.0724
38,0.0,38.0,0.0,38.0,PFTU,1-Methylimidazole,n10,THF,0.0784
39,0.0,39.0,0.0,39.0,DPPCl,N-methylmorpholine,n6,THF,0.0146
40,0.0,40.0,0.0,40.0,HATU,1-Methylimidazole,n8,THF,0.061399999999999996
41,0.0,41.0,0.0,41.0,TCFH,"2,6-Lutidine",n7,DMF,0.3954
42,0.0,42.0,0.0,42.0,DPPCl,1-Methylimidazole,n9,DMF,0.5268999999999999
43,0.0,43.0,0.0,43.0,PFTU,1-Methylimidazole,n8,THF,0.0424
44,0.0,44.0,0.0,44.0,DPPCl,1-Methylimidazole,n10,THF,0.2738
45,0.0,45.0,0.0,45.0,DPPCl,"2,6-Lutidine",n9,THF,0.1549
46,0.0,46.0,0.0,46.0,TCFH,Diisopropylethylamine,n8,MeCN,0.0984
47,0.0,47.0,0.0,47.0,DPPCl,1-Methylimidazole,n3,THF,0.2311
48,0.0,48.0,0.0,48.0,BOP-Cl,"2,6-Lutidine",n4,THF,0.07429999999999999
49,0.0,49.0,0.0,49.0,TCFH,Diisopropylethylamine,n5,MeCN,0.0536
50,0.0,50.0,0.0,50.0,DPPCl,Diisopropylethylamine,n1,MeCN,0.3145
51,0.0,51.0,0.0,51.0,DPPCl,"2,6-Lutidine",n5,THF,0.1451
52,0.0,52.0,0.0,52.0,HATU,Diisopropylethylamine,n5,MeCN,0.3556
53,0.0,53.0,0.0,53.0,DPPCl,N-methylmorpholine,n7,THF,0.665
54,0.0,54.0,0.0,54.0,DPPCl,Diisopropylethylamine,n7,DMF,0.2757
55,0.0,55.0,0.0,55.0,DPPCl,Diisopropylethylamine,n2,THF,0.5697
56,0.0,56.0,0.0,56.0,TCFH,1-Methylimidazole,n1,DMF,0.3921
57,0.0,57.0,0.0,57.0,DPPCl,N-methylmorpholine,n2,MeCN,0.6081
58,0.0,58.0,0.0,58.0,BOP-Cl,"2,6-Lutidine",n4,DMF,0.114
59,0.0,59.0,0.0,59.0,HATU,N-methylmorpholine,n4,MeCN,0.1158
60,0.0,60.0,0.0,60.0,DPPCl,1-Methylimidazole,n1,DMF,0.1409
61,0.0,61.0,0.0,61.0,DPPCl,1-Methylimidazole,n5,THF,0.0726
62,0.0,62.0,0.0,62.0,PFTU,N-methylmorpholine,n6,THF,0.0183
63,0.0,63.0,0.0,63.0,DPPCl,Diisopropylethylamine,n1,THF,0.5184000000000001
64,0.0,64.0,0.0,64.0,TFFH,"2,6-Lutidine",n4,MeCN,0.0495
65,0.0,65.0,0.0,65.0,DPPCl,"2,6-Lutidine",n1,THF,0.14550000000000002
66,0.0,66.0,0.0,66.0,DPPCl,Diisopropylethylamine,n6,THF,0.0213
67,0.0,67.0,0.0,67.0,DPPCl,N-methylmorpholine,n5,MeCN,0.1155
68,0.0,68.0,0.0,68.0,DPPCl,N-methylmorpholine,n9,DMF,0.7091
69,0.0,69.0,0.0,69.0,DPPCl,N-methylmorpholine,n6,DMF,0.0305
70,0.0,70.0,0.0,70.0,HATU,"2,6-Lutidine",n4,DMF,0.25420000000000004
71,0.0,71.0,0.0,71.0,PyBOP,"2,6-Lutidine",n8,THF,0.1433
72,0.0,72.0,0.0,72.0,HOTU,1-Methylimidazole,n2,THF,0.5941
73,0.0,73.0,0.0,73.0,PyBOP,1-Methylimidazole,n9,DMF,0.2829
74,0.0,74.0,0.0,74.0,DPPCl,Diisopropylethylamine,n8,THF,0.19519999999999998
75,0.0,75.0,0.0,75.0,DPPCl,Diisopropylethylamine,n5,THF,0.38280000000000003
76,0.0,76.0,0.0,76.0,TFFH,N-methylmorpholine,n5,DMF,0.17859999999999998
77,0.0,77.0,0.0,77.0,TCFH,Diisopropylethylamine,n2,MeCN,0.183
78,0.0,78.0,0.0,78.0,DPPCl,"2,6-Lutidine",n7,DMF,0.5352
79,0.0,79.0,0.0,79.0,TCFH,1-Methylimidazole,n6,DMF,0.026000000000000002
80,1.0,0.0,0.0,0.0,PyBOP,N-methylmorpholine,n3,MeCN,0.053399999999999996
81,1.0,1.0,0.0,1.0,TFFH,1-Methylimidazole,n9,MeCN,0.5277000000000001
82,1.0,2.0,0.0,2.0,PyBOP,N-methylmorpholine,n1,THF,0.08560000000000001
83,1.0,3.0,0.0,3.0,TFFH,"2,6-Lutidine",n4,MeCN,0.0495
84,1.0,4.0,0.0,4.0,BOP-Cl,N-methylmorpholine,n2,DMF,0.0721
85,1.0,5.0,0.0,5.0,BOP-Cl,N-methylmorpholine,n6,MeCN,0.019299999999999998
86,1.0,6.0,0.0,6.0,HOTU,N-methylmorpholine,n6,THF,0.0583
87,1.0,7.0,0.0,7.0,DPPCl,"2,6-Lutidine",n4,MeCN,0.0679
88,1.0,8.0,0.0,8.0,HATU,N-methylmorpholine,n5,MeCN,0.055
89,1.0,9.0,0.0,9.0,PFTU,N-methylmorpholine,n9,DMF,0.0377
90,1.0,10.0,0.0,10.0,PyBOP,N-methylmorpholine,n1,DMF,0.0053
91,1.0,11.0,0.0,11.0,TFFH,Diisopropylethylamine,n1,DMF,0.20170000000000002
92,1.0,12.0,0.0,12.0,DPPCl,1-Methylimidazole,n1,DMF,0.1409
93,1.0,13.0,0.0,13.0,PFTU,Diisopropylethylamine,n2,MeCN,0.414
94,1.0,14.0,0.0,14.0,TCFH,Diisopropylethylamine,n10,THF,0.41950000000000004
95,1.0,15.0,0.0,15.0,HOTU,Diisopropylethylamine,n9,MeCN,0.0784
96,1.0,16.0,0.0,16.0,PFTU,Diisopropylethylamine,n3,DMF,0.2539
97,1.0,17.0,0.0,17.0,TCFH,"2,6-Lutidine",n9,THF,0.7442
98,1.0,18.0,0.0,18.0,DPPCl,Diisopropylethylamine,n3,DMF,0.2576
99,1.0,19.0,0.0,19.0,TCFH,Diisopropylethylamine,n5,DMF,0.0169
100,1.0,20.0,0.0,20.0,HATU,N-methylmorpholine,n9,DMF,0.3122
101,1.0,21.0,0.0,21.0,TCFH,Diisopropylethylamine,n6,THF,0.044199999999999996
102,1.0,22.0,0.0,22.0,TFFH,1-Methylimidazole,n10,DMF,0.02
103,1.0,23.0,0.0,23.0,TFFH,"2,6-Lutidine",n6,THF,0.0278
104,1.0,24.0,0.0,24.0,TCFH,N-methylmorpholine,n3,MeCN,0.3367
105,1.0,25.0,0.0,25.0,HATU,1-Methylimidazole,n7,THF,0.0808
106,1.0,26.0,0.0,26.0,BOP-Cl,"2,6-Lutidine",n1,MeCN,0.0724
107,1.0,27.0,0.0,27.0,TCFH,N-methylmorpholine,n4,DMF,0.0239
108,1.0,28.0,0.0,28.0,HATU,N-methylmorpholine,n6,MeCN,0.048499999999999995
109,1.0,29.0,0.0,29.0,DPPCl,Diisopropylethylamine,n9,THF,0.3014
110,1.0,30.0,0.0,30.0,HATU,1-Methylimidazole,n9,THF,0.3208
111,1.0,31.0,0.0,31.0,TFFH,N-methylmorpholine,n3,MeCN,0.27949999999999997
112,1.0,32.0,0.0,32.0,HOTU,Diisopropylethylamine,n3,DMF,0.20920000000000002
113,1.0,33.0,0.0,33.0,HATU,1-Methylimidazole,n3,MeCN,0.2052
114,1.0,34.0,0.0,34.0,PFTU,Diisopropylethylamine,n3,MeCN,0.1108
115,1.0,35.0,0.0,35.0,TCFH,"2,6-Lutidine",n2,MeCN,0.34600000000000003
116,1.0,36.0,0.0,36.0,TCFH,"2,6-Lutidine",n6,DMF,0.0291
117,1.0,37.0,0.0,37.0,DPPCl,N-methylmorpholine,n8,THF,0.3425
118,1.0,38.0,0.0,38.0,PFTU,"2,6-Lutidine",n4,MeCN,0.0127
119,1.0,39.0,0.0,39.0,HATU,1-Methylimidazole,n2,DMF,0.6209
120,1.0,40.0,0.0,40.0,TCFH,Diisopropylethylamine,n5,THF,0.0727
121,1.0,41.0,0.0,41.0,HATU,Diisopropylethylamine,n7,MeCN,0.2627
122,1.0,42.0,0.0,42.0,PyBOP,N-methylmorpholine,n4,MeCN,0.1106
123,1.0,43.0,0.0,43.0,PFTU,1-Methylimidazole,n4,THF,0.045599999999999995
124,1.0,44.0,0.0,44.0,DPPCl,1-Methylimidazole,n5,THF,0.0726
125,1.0,45.0,0.0,45.0,DPPCl,1-Methylimidazole,n9,MeCN,0.40490000000000004
126,1.0,46.0,0.0,46.0,TCFH,"2,6-Lutidine",n5,MeCN,0.1405
127,1.0,47.0,0.0,47.0,DPPCl,1-Methylimidazole,n9,THF,0.2793
128,1.0,48.0,0.0,48.0,TFFH,N-methylmorpholine,n6,MeCN,0.028999999999999998
129,1.0,49.0,0.0,49.0,HOTU,Diisopropylethylamine,n3,MeCN,0.1025
130,1.0,50.0,0.0,50.0,TCFH,Diisopropylethylamine,n1,THF,0.1691
131,1.0,51.0,0.0,51.0,TCFH,1-Methylimidazole,n7,MeCN,0.18109999999999998
132,1.0,52.0,0.0,52.0,PyBOP,"2,6-Lutidine",n4,DMF,0.1759
133,1.0,53.0,0.0,53.0,TFFH,"2,6-Lutidine",n5,MeCN,0.0688
134,1.0,54.0,0.0,54.0,PyBOP,"2,6-Lutidine",n3,DMF,0.047
135,1.0,55.0,0.0,55.0,HOTU,N-methylmorpholine,n1,DMF,0.0382
136,1.0,56.0,0.0,56.0,BOP-Cl,N-methylmorpholine,n7,MeCN,0.7943000000000001
137,1.0,57.0,0.0,57.0,HATU,Diisopropylethylamine,n2,THF,0.6628000000000001
138,1.0,58.0,0.0,58.0,HATU,"2,6-Lutidine",n9,DMF,0.364
139,1.0,59.0,0.0,59.0,BOP-Cl,"2,6-Lutidine",n8,MeCN,0.0581
140,1.0,60.0,0.0,60.0,DPPCl,"2,6-Lutidine",n2,THF,0.5366
141,1.0,61.0,0.0,61.0,PyBOP,"2,6-Lutidine",n8,DMF,0.34149999999999997
142,1.0,62.0,0.0,62.0,BOP-Cl,N-methylmorpholine,n3,DMF,0.0722
143,1.0,63.0,0.0,63.0,DPPCl,"2,6-Lutidine",n9,MeCN,0.2349
144,1.0,64.0,0.0,64.0,HOTU,N-methylmorpholine,n7,THF,0.31679999999999997
145,1.0,65.0,0.0,65.0,PFTU,Diisopropylethylamine,n4,MeCN,0.1285
146,1.0,66.0,0.0,66.0,HATU,N-methylmorpholine,n2,MeCN,0.6213000000000001
147,1.0,67.0,0.0,67.0,TCFH,N-methylmorpholine,n1,DMF,0.09949999999999999
148,1.0,68.0,0.0,68.0,PyBOP,1-Methylimidazole,n8,MeCN,0.1776
149,1.0,69.0,0.0,69.0,BOP-Cl,"2,6-Lutidine",n1,DMF,0.4742
150,1.0,70.0,0.0,70.0,DPPCl,1-Methylimidazole,n3,MeCN,0.522
151,1.0,71.0,0.0,71.0,BOP-Cl,"2,6-Lutidine",n7,THF,0.039
152,1.0,72.0,0.0,72.0,DPPCl,Diisopropylethylamine,n7,THF,0.4888
153,1.0,73.0,0.0,73.0,DPPCl,Diisopropylethylamine,n10,THF,0.0594
154,1.0,74.0,0.0,74.0,HATU,Diisopropylethylamine,n8,DMF,0.1128
155,1.0,75.0,0.0,75.0,HATU,Diisopropylethylamine,n10,MeCN,0.43799999999999994
156,1.0,76.0,0.0,76.0,HATU,Diisopropylethylamine,n10,THF,0.0653
157,1.0,77.0,0.0,77.0,DPPCl,Diisopropylethylamine,n7,DMF,0.2757
158,1.0,78.0,0.0,78.0,PyBOP,1-Methylimidazole,n2,MeCN,0.6375
159,1.0,79.0,0.0,79.0,DPPCl,N-methylmorpholine,n6,MeCN,0.0225
160,2.0,0.0,0.0,0.0,PFTU,1-Methylimidazole,n8,MeCN,0.08070000000000001
161,2.0,1.0,0.0,1.0,BOP-Cl,"2,6-Lutidine",n2,DMF,0.2733
162,2.0,2.0,0.0,2.0,PFTU,Diisopropylethylamine,n1,THF,0.0018
163,2.0,3.0,0.0,3.0,TCFH,1-Methylimidazole,n9,DMF,0.9614
164,2.0,4.0,0.0,4.0,HATU,Diisopropylethylamine,n4,MeCN,0.096
165,2.0,5.0,0.0,5.0,TFFH,1-Methylimidazole,n4,MeCN,0.0676
166,2.0,6.0,0.0,6.0,TCFH,Diisopropylethylamine,n4,DMF,0.0414
167,2.0,7.0,0.0,7.0,DPPCl,"2,6-Lutidine",n1,MeCN,0.2733
168,2.0,8.0,0.0,8.0,HOTU,Diisopropylethylamine,n9,DMF,0.2882
169,2.0,9.0,0.0,9.0,BOP-Cl,"2,6-Lutidine",n8,DMF,0.3956
170,2.0,10.0,0.0,10.0,DPPCl,"2,6-Lutidine",n2,MeCN,0.5572
171,2.0,11.0,0.0,11.0,DPPCl,"2,6-Lutidine",n3,MeCN,0.3442
172,2.0,12.0,0.0,12.0,PyBOP,"2,6-Lutidine",n2,MeCN,0.6222
173,2.0,13.0,0.0,13.0,PyBOP,N-methylmorpholine,n6,THF,0.024900000000000002
174,2.0,14.0,0.0,14.0,TFFH,Diisopropylethylamine,n3,MeCN,0.1144
175,2.0,15.0,0.0,15.0,TFFH,N-methylmorpholine,n9,MeCN,0.22469999999999998
176,2.0,16.0,0.0,16.0,TCFH,N-methylmorpholine,n9,MeCN,0.9642000000000001
177,2.0,17.0,0.0,17.0,TCFH,1-Methylimidazole,n7,MeCN,0.18109999999999998
178,2.0,18.0,0.0,18.0,DPPCl,"2,6-Lutidine",n2,THF,0.5366
179,2.0,19.0,0.0,19.0,BOP-Cl,"2,6-Lutidine",n2,THF,0.0604
180,2.0,20.0,0.0,20.0,TCFH,Diisopropylethylamine,n6,MeCN,0.0636
181,2.0,21.0,0.0,21.0,DPPCl,1-Methylimidazole,n8,DMF,0.245
182,2.0,22.0,0.0,22.0,HOTU,N-methylmorpholine,n3,DMF,0.3796
183,2.0,23.0,0.0,23.0,HOTU,"2,6-Lutidine",n5,MeCN,0.0194
184,2.0,24.0,0.0,24.0,PyBOP,1-Methylimidazole,n10,DMF,0.2613
