,num_sims,round,experiment,horizon,chosen_arm,reward,cumulative_reward
0,0.0,0.0,0.0,0.0,1.0,0.0197,0.0197
1,0.0,1.0,0.0,1.0,2.0,0.0045000000000000005,0.0242
2,0.0,2.0,0.0,2.0,6.0,0.2827,0.3069
3,0.0,3.0,0.0,3.0,3.0,0.016399999999999998,0.32330000000000003
4,0.0,4.0,0.0,4.0,5.0,0.16449999999999998,0.4878
5,0.0,5.0,0.0,5.0,3.0,0.053399999999999996,0.5412
6,0.0,6.0,0.0,6.0,6.0,0.0236,0.5648
7,0.0,7.0,0.0,7.0,0.0,0.56,1.1248
8,0.0,8.0,0.0,8.0,0.0,0.0018,1.1266
9,0.0,9.0,0.0,9.0,1.0,0.0352,1.1618
10,0.0,10.0,0.0,10.0,0.0,0.2908,1.4526
11,0.0,11.0,0.0,11.0,3.0,0.1263,1.5789
12,0.0,12.0,0.0,12.0,5.0,0.20989999999999998,1.7888
13,0.0,13.0,0.0,13.0,6.0,0.1549,1.9437
14,0.0,14.0,0.0,14.0,4.0,0.6058,2.5495
15,0.0,15.0,0.0,15.0,2.0,0.6575,3.207
16,0.0,16.0,0.0,16.0,1.0,0.037200000000000004,3.2441999999999998
17,0.0,17.0,0.0,17.0,2.0,0.036699999999999997,3.2809
18,0.0,18.0,0.0,18.0,4.0,0.084,3.3649
19,0.0,19.0,0.0,19.0,7.0,0.0194,3.3843
20,0.0,20.0,0.0,20.0,1.0,0.426,3.8103000000000002
21,0.0,21.0,0.0,21.0,5.0,0.04769999999999999,3.858
22,0.0,22.0,0.0,22.0,7.0,0.3147,4.1727
23,0.0,23.0,0.0,23.0,4.0,0.109,4.2817
24,0.0,24.0,0.0,24.0,5.0,0.0688,4.3505
25,0.0,25.0,0.0,25.0,5.0,0.0126,4.3631
26,0.0,26.0,0.0,26.0,1.0,0.08349999999999999,4.4466
27,0.0,27.0,0.0,27.0,2.0,0.2321,4.6787
28,0.0,28.0,0.0,28.0,7.0,0.2656,4.9443
29,0.0,29.0,0.0,29.0,0.0,0.47659999999999997,5.4209000000000005
30,0.0,30.0,0.0,30.0,4.0,0.0626,5.4835
31,0.0,31.0,0.0,31.0,0.0,0.003,5.4865
32,0.0,32.0,0.0,32.0,2.0,0.2732,5.7597000000000005
33,0.0,33.0,0.0,33.0,4.0,0.29350000000000004,6.0532
34,0.0,34.0,0.0,34.0,0.0,0.0895,6.1427000000000005
35,0.0,35.0,0.0,35.0,3.0,0.5622,6.7049
36,0.0,36.0,0.0,36.0,3.0,0.0384,6.7433000000000005
37,0.0,37.0,0.0,37.0,2.0,0.2366,6.979900000000001
38,0.0,38.0,0.0,38.0,7.0,0.0587,7.038600000000001
39,0.0,39.0,0.0,39.0,1.0,0.183,7.2216000000000005
40,0.0,40.0,0.0,40.0,2.0,0.0262,7.247800000000001
41,0.0,41.0,0.0,41.0,3.0,0.1636,7.4114
42,0.0,42.0,0.0,42.0,4.0,0.1691,7.580500000000001
43,0.0,43.0,0.0,43.0,6.0,0.0192,7.5997
44,0.0,44.0,0.0,44.0,5.0,0.19260000000000002,7.7923
45,0.0,45.0,0.0,45.0,1.0,0.6309,8.4232
46,0.0,46.0,0.0,46.0,0.0,0.0033,8.426499999999999
47,0.0,47.0,0.0,47.0,2.0,0.43799999999999994,8.8645
48,0.0,48.0,0.0,48.0,6.0,0.2793,9.143799999999999
49,0.0,49.0,0.0,49.0,4.0,0.74,9.883799999999999
50,0.0,50.0,0.0,50.0,3.0,0.2006,10.084399999999999
51,0.0,51.0,0.0,51.0,4.0,0.1557,10.240099999999998
52,0.0,52.0,0.0,52.0,7.0,0.019299999999999998,10.259399999999998
53,0.0,53.0,0.0,53.0,0.0,0.045599999999999995,10.304999999999998
54,0.0,54.0,0.0,54.0,7.0,0.16620000000000001,10.471199999999998
55,0.0,55.0,0.0,55.0,7.0,0.3274,10.798599999999999
56,0.0,56.0,0.0,56.0,2.0,0.1759,10.974499999999999
57,0.0,57.0,0.0,57.0,4.0,0.7503,11.724799999999998
58,0.0,58.0,0.0,58.0,4.0,0.1555,11.880299999999998
59,0.0,59.0,0.0,59.0,1.0,0.23420000000000002,12.114499999999998
60,0.0,60.0,0.0,60.0,0.0,0.3678,12.482299999999999
61,0.0,61.0,0.0,61.0,1.0,0.34600000000000003,12.828299999999999
62,0.0,62.0,0.0,62.0,4.0,0.07429999999999999,12.902599999999998
63,0.0,63.0,0.0,63.0,2.0,0.049699999999999994,12.952299999999997
64,0.0,64.0,0.0,64.0,6.0,0.7003,13.652599999999998
65,0.0,65.0,0.0,65.0,0.0,0.1208,13.773399999999997
66,0.0,66.0,0.0,66.0,4.0,0.009899999999999999,13.783299999999997
67,0.0,67.0,0.0,67.0,1.0,0.1311,13.914399999999997
68,0.0,68.0,0.0,68.0,4.0,0.5494,14.463799999999997
69,0.0,69.0,0.0,69.0,4.0,0.2097,14.673499999999997
70,0.0,70.0,0.0,70.0,4.0,0.033,14.706499999999997
71,0.0,71.0,0.0,71.0,6.0,0.36219999999999997,15.068699999999996
72,0.0,72.0,0.0,72.0,1.0,0.16760000000000003,15.236299999999996
73,0.0,73.0,0.0,73.0,4.0,0.2741,15.510399999999997
74,0.0,74.0,0.0,74.0,4.0,0.6059,16.116299999999995
75,0.0,75.0,0.0,75.0,6.0,0.0092,16.125499999999995
76,0.0,76.0,0.0,76.0,3.0,0.0197,16.145199999999996
77,0.0,77.0,0.0,77.0,4.0,0.015300000000000001,16.160499999999995
78,0.0,78.0,0.0,78.0,6.0,0.4792,16.639699999999994
79,0.0,79.0,0.0,79.0,7.0,0.0159,16.655599999999993
80,0.0,80.0,0.0,80.0,4.0,0.114,16.769599999999993
81,0.0,81.0,0.0,81.0,1.0,0.5225,17.292099999999994
82,0.0,82.0,0.0,82.0,4.0,0.0724,17.364499999999992
83,0.0,83.0,0.0,83.0,0.0,0.4509,17.815399999999993
84,0.0,84.0,0.0,84.0,6.0,0.0169,17.832299999999993
85,0.0,85.0,0.0,85.0,1.0,0.20989999999999998,18.042199999999994
86,0.0,86.0,0.0,86.0,1.0,0.0,18.042199999999994
87,0.0,87.0,0.0,87.0,7.0,0.11699999999999999,18.159199999999995
88,0.0,88.0,0.0,88.0,5.0,0.0321,18.191299999999995
89,0.0,89.0,0.0,89.0,1.0,0.0542,18.245499999999996
90,0.0,90.0,0.0,90.0,6.0,0.6772,18.922699999999995
91,0.0,91.0,0.0,91.0,6.0,0.2757,19.198399999999996
92,0.0,92.0,0.0,92.0,3.0,0.1815,19.379899999999996
93,0.0,93.0,0.0,93.0,4.0,0.053,19.432899999999997
94,0.0,94.0,0.0,94.0,6.0,0.46340000000000003,19.896299999999997
95,0.0,95.0,0.0,95.0,6.0,0.2738,20.170099999999998
96,0.0,96.0,0.0,96.0,6.0,0.0548,20.224899999999998
97,0.0,97.0,0.0,97.0,4.0,0.8142,21.039099999999998
98,0.0,98.0,0.0,98.0,2.0,0.0415,21.080599999999997
99,0.0,99.0,0.0,99.0,4.0,0.0703,21.150899999999996
100,0.0,100.0,0.0,100.0,0.0,0.0421,21.192999999999998
101,0.0,101.0,0.0,101.0,0.0,0.175,21.368
102,0.0,102.0,0.0,102.0,4.0,0.1285,21.496499999999997
103,0.0,103.0,0.0,103.0,5.0,0.07690000000000001,21.573399999999996
104,0.0,104.0,0.0,104.0,6.0,0.048499999999999995,21.621899999999997
105,0.0,105.0,0.0,105.0,4.0,0.013500000000000002,21.635399999999997
106,0.0,106.0,0.0,106.0,4.0,0.6844,22.319799999999997
107,0.0,107.0,0.0,107.0,5.0,0.031,22.350799999999996
108,0.0,108.0,0.0,108.0,1.0,0.031200000000000002,22.381999999999994
109,0.0,109.0,0.0,109.0,4.0,0.1946,22.576599999999996
110,0.0,110.0,0.0,110.0,0.0,0.0341,22.610699999999994
111,0.0,111.0,0.0,111.0,1.0,0.7494,23.360099999999996
112,0.0,112.0,0.0,112.0,1.0,0.4799,23.839999999999996
113,0.0,113.0,0.0,113.0,2.0,0.096,23.935999999999996
114,0.0,114.0,0.0,114.0,4.0,0.35609999999999997,24.292099999999998
115,0.0,115.0,0.0,115.0,4.0,0.2688,24.560899999999997
116,0.0,116.0,0.0,116.0,4.0,0.48219999999999996,25.043099999999995
117,0.0,117.0,0.0,117.0,0.0,0.0229,25.065999999999995
118,0.0,118.0,0.0,118.0,4.0,0.1069,25.172899999999995
119,0.0,119.0,0.0,119.0,1.0,0.07,25.242899999999995
120,0.0,120.0,0.0,120.0,1.0,0.2,25.442899999999995
121,0.0,121.0,0.0,121.0,6.0,0.245,25.687899999999996
122,0.0,122.0,0.0,122.0,3.0,0.08560000000000001,25.773499999999995
123,0.0,123.0,0.0,123.0,4.0,0.3169,26.090399999999995
124,0.0,124.0,0.0,124.0,6.0,0.3062,26.396599999999996
125,0.0,125.0,0.0,125.0,3.0,0.3787,26.775299999999994
126,0.0,126.0,0.0,126.0,3.0,0.2189,26.994199999999996
127,0.0,127.0,0.0,127.0,4.0,0.6288,27.622999999999998
128,0.0,128.0,0.0,128.0,6.0,0.1832,27.806199999999997
129,0.0,129.0,0.0,129.0,4.0,0.0421,27.8483
130,0.0,130.0,0.0,130.0,6.0,0.1348,27.983099999999997
131,0.0,131.0,0.0,131.0,6.0,0.40130000000000005,28.384399999999996
132,0.0,132.0,0.0,132.0,4.0,0.1671,28.551499999999997
133,0.0,133.0,0.0,133.0,6.0,0.3987,28.9502
134,0.0,134.0,0.0,134.0,4.0,0.28190000000000004,29.2321
135,0.0,135.0,0.0,135.0,4.0,0.6336999999999999,29.8658
136,0.0,136.0,0.0,136.0,6.0,0.0365,29.9023
137,0.0,137.0,0.0,137.0,4.0,0.5365,30.4388
138,0.0,138.0,0.0,138.0,6.0,0.37929999999999997,30.8181
139,0.0,139.0,0.0,139.0,4.0,0.2733,31.0914
140,0.0,140.0,0.0,140.0,6.0,0.0747,31.1661
141,0.0,141.0,0.0,141.0,6.0,0.38280000000000003,31.5489
142,0.0,142.0,0.0,142.0,4.0,0.04019999999999999,31.5891
143,0.0,143.0,0.0,143.0,0.0,0.0361,31.6252
144,0.0,144.0,0.0,144.0,6.0,0.45880000000000004,32.083999999999996
145,0.0,145.0,0.0,145.0,6.0,0.0726,32.1566
146,0.0,146.0,0.0,146.0,6.0,0.6081,32.7647
147,0.0,147.0,0.0,147.0,6.0,0.5352,33.2999
148,0.0,148.0,0.0,148.0,0.0,0.0111,33.311
149,0.0,149.0,0.0,149.0,4.0,0.6081,33.9191
150,1.0,0.0,0.0,0.0,4.0,0.29760000000000003,0.29760000000000003
151,1.0,1.0,0.0,1.0,3.0,0.009399999999999999,0.30700000000000005
152,1.0,2.0,0.0,2.0,3.0,0.053399999999999996,0.36040000000000005
153,1.0,3.0,0.0,3.0,7.0,0.4578,0.8182
154,1.0,4.0,0.0,4.0,6.0,0.3868,1.205
155,1.0,5.0,0.0,5.0,5.0,0.0101,1.2151
156,1.0,6.0,0.0,6.0,0.0,0.0636,1.2787000000000002
157,1.0,7.0,0.0,7.0,7.0,0.5861,1.8648000000000002
158,1.0,8.0,0.0,8.0,6.0,0.6969,2.5617
159,1.0,9.0,0.0,9.0,7.0,0.1322,2.6939
160,1.0,10.0,0.0,10.0,1.0,0.2829,2.9768000000000003
161,1.0,11.0,0.0,11.0,6.0,0.19519999999999998,3.172
162,1.0,12.0,0.0,12.0,7.0,0.0504,3.2224000000000004
163,1.0,13.0,0.0,13.0,0.0,0.0235,3.2459000000000002
164,1.0,14.0,0.0,14.0,1.0,0.1164,3.3623000000000003
165,1.0,15.0,0.0,15.0,0.0,0.56,3.9223000000000003
166,1.0,16.0,0.0,16.0,6.0,0.0146,3.9369000000000005
167,1.0,17.0,0.0,17.0,3.0,0.34950000000000003,4.2864
168,1.0,18.0,0.0,18.0,2.0,0.49979999999999997,4.7862
169,1.0,19.0,0.0,19.0,4.0,0.6059,5.3921
170,1.0,20.0,0.0,20.0,2.0,0.2138,5.6059
171,1.0,21.0,0.0,21.0,1.0,0.0757,5.6816
172,1.0,22.0,0.0,22.0,2.0,0.3556,6.0372
173,1.0,23.0,0.0,23.0,6.0,0.0365,6.0737000000000005
174,1.0,24.0,0.0,24.0,2.0,0.006500000000000001,6.0802000000000005
175,1.0,25.0,0.0,25.0,5.0,0.061900000000000004,6.1421
176,1.0,26.0,0.0,26.0,4.0,0.48219999999999996,6.6243
177,1.0,27.0,0.0,27.0,4.0,0.37079999999999996,6.9951
178,1.0,28.0,0.0,28.0,0.0,0.3851,7.3802
