,num_sims,round,experiment,horizon,chosen_arm,reward,cumulative_reward
0,0.0,0.0,0.0,0.0,0.0,0.0183,0.0183
1,0.0,1.0,0.0,1.0,1.0,0.2028,0.22110000000000002
2,0.0,2.0,0.0,2.0,2.0,0.0181,0.23920000000000002
3,0.0,3.0,0.0,3.0,3.0,0.1159,0.3551
4,0.0,4.0,0.0,4.0,4.0,0.115,0.4701
5,0.0,5.0,0.0,5.0,5.0,0.0604,0.5305
6,0.0,6.0,0.0,6.0,6.0,0.0092,0.5397
7,0.0,7.0,0.0,7.0,7.0,0.024700000000000003,0.5644
8,0.0,8.0,0.0,8.0,1.0,0.031200000000000002,0.5956
9,0.0,9.0,0.0,9.0,3.0,0.0705,0.6661
10,0.0,10.0,0.0,10.0,4.0,0.29760000000000003,0.9637
11,0.0,11.0,0.0,11.0,5.0,0.5127,1.4764
12,0.0,12.0,0.0,12.0,7.0,0.1793,1.6557
13,0.0,13.0,0.0,13.0,0.0,0.56,2.2157
14,0.0,14.0,0.0,14.0,2.0,0.38789999999999997,2.6036
15,0.0,15.0,0.0,15.0,6.0,0.1866,2.7902
16,0.0,16.0,0.0,16.0,0.0,0.252,3.0422000000000002
17,0.0,17.0,0.0,17.0,5.0,0.013600000000000001,3.0558
18,0.0,18.0,0.0,18.0,4.0,0.0724,3.1282
19,0.0,19.0,0.0,19.0,2.0,0.096,3.2242
20,0.0,20.0,0.0,20.0,1.0,0.14800000000000002,3.3722000000000003
21,0.0,21.0,0.0,21.0,7.0,0.0139,3.3861000000000003
22,0.0,22.0,0.0,22.0,6.0,0.008199999999999999,3.3943000000000003
23,0.0,23.0,0.0,23.0,3.0,0.1263,3.5206000000000004
24,0.0,24.0,0.0,24.0,0.0,0.1204,3.6410000000000005
25,0.0,25.0,0.0,25.0,5.0,0.026099999999999998,3.6671000000000005
26,0.0,26.0,0.0,26.0,2.0,0.0629,3.7300000000000004
27,0.0,27.0,0.0,27.0,4.0,0.4083,4.1383
28,0.0,28.0,0.0,28.0,1.0,0.3614,4.4997
29,0.0,29.0,0.0,29.0,3.0,0.1561,4.6558
30,0.0,30.0,0.0,30.0,7.0,0.3274,4.9832
31,0.0,31.0,0.0,31.0,6.0,0.1521,5.1353
32,0.0,32.0,0.0,32.0,0.0,0.2908,5.4261
33,0.0,33.0,0.0,33.0,4.0,0.04019999999999999,5.4662999999999995
34,0.0,34.0,0.0,34.0,1.0,0.2798,5.746099999999999
35,0.0,35.0,0.0,35.0,5.0,0.1038,5.849899999999999
36,0.0,36.0,0.0,36.0,2.0,0.5109,6.360799999999999
37,0.0,37.0,0.0,37.0,7.0,0.5448,6.9056
38,0.0,38.0,0.0,38.0,3.0,0.053399999999999996,6.959
39,0.0,39.0,0.0,39.0,0.0,0.0377,6.9967
40,0.0,40.0,0.0,40.0,6.0,0.0236,7.0203
41,0.0,41.0,0.0,41.0,7.0,0.3353,7.3556
42,0.0,42.0,0.0,42.0,2.0,0.06,7.4155999999999995
43,0.0,43.0,0.0,43.0,1.0,0.0542,7.469799999999999
44,0.0,44.0,0.0,44.0,4.0,0.033,7.5028
45,0.0,45.0,0.0,45.0,5.0,0.46340000000000003,7.9662
46,0.0,46.0,0.0,46.0,7.0,0.019299999999999998,7.9855
47,0.0,47.0,0.0,47.0,0.0,0.0127,7.9982
48,0.0,48.0,0.0,48.0,3.0,0.1776,8.1758
49,0.0,49.0,0.0,49.0,5.0,0.016200000000000003,8.192
50,0.0,50.0,0.0,50.0,2.0,0.19,8.382
51,0.0,51.0,0.0,51.0,6.0,0.5146999999999999,8.8967
52,0.0,52.0,0.0,52.0,1.0,0.0984,8.995099999999999
53,0.0,53.0,0.0,53.0,4.0,0.3956,9.390699999999999
54,0.0,54.0,0.0,54.0,6.0,0.016200000000000003,9.406899999999998
55,0.0,55.0,0.0,55.0,7.0,0.0696,9.476499999999998
56,0.0,56.0,0.0,56.0,3.0,0.009399999999999999,9.485899999999997
57,0.0,57.0,0.0,57.0,4.0,0.0044,9.490299999999998
58,0.0,58.0,0.0,58.0,2.0,0.006500000000000001,9.496799999999999
59,0.0,59.0,0.0,59.0,0.0,0.0195,9.5163
60,0.0,60.0,0.0,60.0,5.0,0.26940000000000003,9.785699999999999
61,0.0,61.0,0.0,61.0,1.0,0.26649999999999996,10.0522
62,0.0,62.0,0.0,62.0,6.0,0.5584,10.6106
63,0.0,63.0,0.0,63.0,7.0,0.253,10.8636
64,0.0,64.0,0.0,64.0,6.0,0.0146,10.8782
65,0.0,65.0,0.0,65.0,5.0,0.0302,10.9084
66,0.0,66.0,0.0,66.0,1.0,0.6117,11.520100000000001
67,0.0,67.0,0.0,67.0,3.0,0.0053,11.525400000000001
68,0.0,68.0,0.0,68.0,4.0,0.0604,11.5858
69,0.0,69.0,0.0,69.0,1.0,0.2952,11.881
70,0.0,70.0,0.0,70.0,2.0,0.022099999999999998,11.9031
71,0.0,71.0,0.0,71.0,0.0,0.0219,11.925
72,0.0,72.0,0.0,72.0,7.0,0.0587,11.9837
73,0.0,73.0,0.0,73.0,1.0,0.33899999999999997,12.322700000000001
74,0.0,74.0,0.0,74.0,5.0,0.0126,12.335300000000002
75,0.0,75.0,0.0,75.0,6.0,0.0088,12.344100000000003
76,0.0,76.0,0.0,76.0,4.0,0.1555,12.499600000000003
77,0.0,77.0,0.0,77.0,2.0,0.6202000000000001,13.119800000000003
78,0.0,78.0,0.0,78.0,1.0,0.2829,13.402700000000003
79,0.0,79.0,0.0,79.0,3.0,0.2114,13.614100000000002
80,0.0,80.0,0.0,80.0,0.0,0.17190000000000003,13.786000000000003
81,0.0,81.0,0.0,81.0,2.0,0.0518,13.837800000000003
82,0.0,82.0,0.0,82.0,7.0,0.08539999999999999,13.923200000000003
83,0.0,83.0,0.0,83.0,1.0,0.2158,14.139000000000003
84,0.0,84.0,0.0,84.0,4.0,0.3759,14.514900000000003
85,0.0,85.0,0.0,85.0,3.0,0.15259999999999999,14.667500000000002
86,0.0,86.0,0.0,86.0,5.0,0.0849,14.752400000000002
87,0.0,87.0,0.0,87.0,0.0,0.4509,15.203300000000002
88,0.0,88.0,0.0,88.0,6.0,0.1092,15.312500000000002
89,0.0,89.0,0.0,89.0,2.0,0.2321,15.544600000000003
90,0.0,90.0,0.0,90.0,4.0,0.3502,15.894800000000002
91,0.0,91.0,0.0,91.0,0.0,0.5997,16.494500000000002
92,0.0,92.0,0.0,92.0,0.0,0.0762,16.570700000000002
93,0.0,93.0,0.0,93.0,7.0,0.25429999999999997,16.825000000000003
94,0.0,94.0,0.0,94.0,1.0,0.1067,16.931700000000003
95,0.0,95.0,0.0,95.0,4.0,0.1957,17.1274
96,1.0,0.0,0.0,0.0,0.0,0.0111,0.0111
97,1.0,1.0,0.0,1.0,1.0,0.26649999999999996,0.27759999999999996
98,1.0,2.0,0.0,2.0,2.0,0.1158,0.39339999999999997
99,1.0,3.0,0.0,3.0,3.0,0.13369999999999999,0.5270999999999999
100,1.0,4.0,0.0,4.0,4.0,0.0318,0.5589
101,1.0,5.0,0.0,5.0,5.0,0.0045000000000000005,0.5633999999999999
102,1.0,6.0,0.0,6.0,6.0,0.3062,0.8695999999999999
103,1.0,7.0,0.0,7.0,7.0,0.14150000000000001,1.0110999999999999
104,1.0,8.0,0.0,8.0,6.0,0.0679,1.079
105,1.0,9.0,0.0,9.0,1.0,0.0159,1.0949
106,1.0,10.0,0.0,10.0,7.0,0.0046,1.0995
107,1.0,11.0,0.0,11.0,3.0,0.1815,1.281
108,1.0,12.0,0.0,12.0,2.0,0.04,1.321
109,1.0,13.0,0.0,13.0,4.0,0.6288,1.9498
110,1.0,14.0,0.0,14.0,0.0,0.0256,1.9754
111,1.0,15.0,0.0,15.0,5.0,0.0688,2.0442
112,1.0,16.0,0.0,16.0,4.0,0.033,2.0772
113,1.0,17.0,0.0,17.0,6.0,0.36219999999999997,2.4394
114,1.0,18.0,0.0,18.0,3.0,0.009399999999999999,2.4488
115,1.0,19.0,0.0,19.0,1.0,0.08349999999999999,2.5322999999999998
116,1.0,20.0,0.0,20.0,2.0,0.6202000000000001,3.1525
117,1.0,21.0,0.0,21.0,7.0,0.253,3.4055
118,1.0,22.0,0.0,22.0,5.0,0.0024,3.4079
119,1.0,23.0,0.0,23.0,0.0,0.0178,3.4257
120,1.0,24.0,0.0,24.0,2.0,0.2559,3.6816
121,1.0,25.0,0.0,25.0,6.0,0.0146,3.6962
122,1.0,26.0,0.0,26.0,4.0,0.0091,3.7053000000000003
123,1.0,27.0,0.0,27.0,7.0,0.5821000000000001,4.2874
