,num_sims,round,experiment,horizon,chosen_arm,reward,cumulative_reward
0,0.0,0.0,0.0,0.0,0.0,0.1204,0.1204
1,0.0,1.0,0.0,1.0,1.0,0.36939999999999995,0.48979999999999996
2,0.0,2.0,0.0,2.0,2.0,0.12179999999999999,0.6115999999999999
3,0.0,3.0,0.0,3.0,3.0,0.0053,0.6168999999999999
4,0.0,4.0,0.0,4.0,4.0,0.37079999999999996,0.9876999999999998
5,0.0,5.0,0.0,5.0,5.0,0.4775,1.4651999999999998
6,0.0,6.0,0.0,6.0,6.0,0.1549,1.6200999999999999
7,0.0,7.0,0.0,7.0,7.0,0.013999999999999999,1.6340999999999999
8,0.0,8.0,0.0,8.0,5.0,0.22329999999999997,1.8574
9,0.0,9.0,0.0,9.0,4.0,0.0499,1.9073
10,0.0,10.0,0.0,10.0,1.0,0.0766,1.9839
11,0.0,11.0,0.0,11.0,6.0,0.1993,2.1832
12,0.0,12.0,0.0,12.0,2.0,0.030299999999999997,2.2135
13,0.0,13.0,0.0,13.0,0.0,0.026699999999999998,2.2401999999999997
14,0.0,14.0,0.0,14.0,5.0,0.3232,2.5633999999999997
15,0.0,15.0,0.0,15.0,7.0,0.6685,3.2318999999999996
16,0.0,16.0,0.0,16.0,7.0,0.0723,3.3041999999999994
17,0.0,17.0,0.0,17.0,3.0,0.0177,3.3218999999999994
18,0.0,18.0,0.0,18.0,5.0,0.0676,3.3894999999999995
19,0.0,19.0,0.0,19.0,1.0,0.1405,3.5299999999999994
20,0.0,20.0,0.0,20.0,4.0,0.0625,3.5924999999999994
21,0.0,21.0,0.0,21.0,6.0,0.665,4.257499999999999
22,0.0,22.0,0.0,22.0,6.0,0.6081,4.8656
23,0.0,23.0,0.0,23.0,6.0,0.3868,5.2524
24,0.0,24.0,0.0,24.0,6.0,0.3145,5.5668999999999995
25,0.0,25.0,0.0,25.0,7.0,0.2656,5.8325
26,0.0,26.0,0.0,26.0,6.0,0.0739,5.9064
27,0.0,27.0,0.0,27.0,5.0,0.023,5.929399999999999
28,0.0,28.0,0.0,28.0,1.0,0.1268,6.0562
29,0.0,29.0,0.0,29.0,2.0,0.0926,6.1488
30,0.0,30.0,0.0,30.0,0.0,0.043,6.1918
31,0.0,31.0,0.0,31.0,7.0,0.4357,6.6274999999999995
32,0.0,32.0,0.0,32.0,7.0,0.1317,6.7592
33,0.0,33.0,0.0,33.0,4.0,0.19039999999999999,6.9496
34,0.0,34.0,0.0,34.0,6.0,0.3588,7.308400000000001
35,0.0,35.0,0.0,35.0,3.0,0.1184,7.426800000000001
36,0.0,36.0,0.0,36.0,6.0,0.5028,7.929600000000001
37,0.0,37.0,0.0,37.0,6.0,0.35119999999999996,8.280800000000001
38,0.0,38.0,0.0,38.0,6.0,0.4738,8.754600000000002
39,0.0,39.0,0.0,39.0,6.0,0.8558,9.610400000000002
40,0.0,40.0,0.0,40.0,6.0,0.0092,9.619600000000002
41,0.0,41.0,0.0,41.0,1.0,0.031200000000000002,9.650800000000002
42,0.0,42.0,0.0,42.0,7.0,0.1818,9.832600000000003
43,0.0,43.0,0.0,43.0,5.0,0.46340000000000003,10.296000000000003
44,0.0,44.0,0.0,44.0,5.0,0.2961,10.592100000000002
45,0.0,45.0,0.0,45.0,4.0,0.0581,10.650200000000002
46,0.0,46.0,0.0,46.0,6.0,0.1409,10.791100000000002
47,0.0,47.0,0.0,47.0,2.0,0.0256,10.816700000000003
48,0.0,48.0,0.0,48.0,5.0,0.061900000000000004,10.878600000000002
49,0.0,49.0,0.0,49.0,0.0,0.0341,10.912700000000003
50,0.0,50.0,0.0,50.0,6.0,0.40130000000000005,11.314000000000004
51,0.0,51.0,0.0,51.0,7.0,0.10710000000000001,11.421100000000004
52,0.0,52.0,0.0,52.0,6.0,0.2576,11.678700000000005
53,0.0,53.0,0.0,53.0,3.0,0.0137,11.692400000000005
54,0.0,54.0,0.0,54.0,6.0,0.5697,12.262100000000004
55,0.0,55.0,0.0,55.0,6.0,0.321,12.583100000000004
56,0.0,56.0,0.0,56.0,6.0,0.19579999999999997,12.778900000000004
57,0.0,57.0,0.0,57.0,1.0,0.0757,12.854600000000003
58,0.0,58.0,0.0,58.0,5.0,0.5127,13.367300000000004
59,0.0,59.0,0.0,59.0,5.0,0.26940000000000003,13.636700000000003
60,0.0,60.0,0.0,60.0,4.0,0.3554,13.992100000000002
61,0.0,61.0,0.0,61.0,4.0,0.021099999999999997,14.013200000000003
62,0.0,62.0,0.0,62.0,7.0,0.19640000000000002,14.209600000000004
63,0.0,63.0,0.0,63.0,5.0,0.2827,14.492300000000004
64,0.0,64.0,0.0,64.0,6.0,0.3268,14.819100000000004
65,0.0,65.0,0.0,65.0,6.0,0.3442,15.163300000000005
66,0.0,66.0,0.0,66.0,5.0,0.0321,15.195400000000005
67,0.0,67.0,0.0,67.0,6.0,0.0088,15.204200000000005
68,0.0,68.0,0.0,68.0,2.0,0.4732,15.677400000000006
69,0.0,69.0,0.0,69.0,2.0,0.055,15.732400000000005
70,0.0,70.0,0.0,70.0,7.0,0.5941,16.326500000000006
