,num_sims,round,experiment,horizon,electrophile_id,ligand_name,nucleophile_id,yield
0,0.0,0.0,0.0,0.0,e9,A-caPhos,nI,0.0018
1,0.0,1.0,0.0,1.0,e1,BrettPhos,nE,0.0034000000000000002
2,0.0,2.0,0.0,2.0,e7,CX-FBu,nE,0.0
3,0.0,3.0,0.0,3.0,e2,CX-PICy,nC,0.40270000000000006
4,0.0,4.0,0.0,4.0,e9,Cy-DavePhos,nI,0.637
5,0.0,5.0,0.0,5.0,e2,Cy-vBRIDP,nI,0.669
6,0.0,6.0,0.0,6.0,e5,Kwong,nB,0.2397
7,0.0,7.0,0.0,7.0,e9,MeO-KITPHOS,nG,0.3152
8,0.0,8.0,0.0,8.0,e4,P(o-Anis)3,nI,0.0178
9,0.0,9.0,0.0,9.0,e1,Et-PhenCar-Phos,nB,0.0634
10,0.0,10.0,0.0,10.0,e9,JackiePhos,nA,0.4703
11,0.0,11.0,0.0,11.0,e7,"P(3,5-CF3-Ph)3",nA,0.1534
12,0.0,12.0,0.0,12.0,e5,P(fur)3,nI,0.9523
13,0.0,13.0,0.0,13.0,e4,Ph-PhenCar-Phos,nE,0.0
14,0.0,14.0,0.0,14.0,e7,PPh2Me,nI,0.09390000000000001
15,0.0,15.0,0.0,15.0,e7,PPhtBu2,nB,0.0414
16,0.0,16.0,0.0,16.0,e3,tBPh-CPhos,nB,0.18100000000000002
17,0.0,17.0,0.0,17.0,e3,PPhMe2,nG,0.38439999999999996
18,0.0,18.0,0.0,18.0,e2,Cy-BippyPhos,nI,0.6635
19,0.0,19.0,0.0,19.0,e2,PCy3 HBF4,nB,0.017
20,0.0,20.0,0.0,20.0,e7,CgMe-PPh,nA,0.584
21,0.0,21.0,0.0,21.0,e2,PPh3,nB,0.044000000000000004
22,0.0,22.0,0.0,22.0,e3,X-Phos,nG,0.6595
23,0.0,23.0,0.0,23.0,e2,PnBu3 HBF4,nD,0.892
24,0.0,24.0,0.0,24.0,e10,P(fur)3,nF,0.9440000000000001
25,0.0,25.0,0.0,25.0,e7,P(fur)3,nA,0.2095
26,0.0,26.0,0.0,26.0,e10,PnBu3 HBF4,nE,0.0662
27,0.0,27.0,0.0,27.0,e9,Cy-vBRIDP,nG,0.4852
28,0.0,28.0,0.0,28.0,e5,Cy-BippyPhos,nI,0.8695
29,0.0,29.0,0.0,29.0,e5,Cy-BippyPhos,nA,0.7461
30,0.0,30.0,0.0,30.0,e4,X-Phos,nA,0.0
31,0.0,31.0,0.0,31.0,e2,Cy-BippyPhos,nD,0.9081999999999999
32,0.0,32.0,0.0,32.0,e9,Cy-BippyPhos,nF,0.9525
33,0.0,33.0,0.0,33.0,e5,Cy-BippyPhos,nG,0.46950000000000003
34,0.0,34.0,0.0,34.0,e10,Cy-DavePhos,nA,0.65
35,0.0,35.0,0.0,35.0,e5,CgMe-PPh,nB,0.2316
36,0.0,36.0,0.0,36.0,e7,Cy-BippyPhos,nE,0.030899999999999997
37,0.0,37.0,0.0,37.0,e3,P(fur)3,nC,0.4068
38,0.0,38.0,0.0,38.0,e1,Cy-DavePhos,nE,0.0545
39,0.0,39.0,0.0,39.0,e3,JackiePhos,nG,0.6855
40,0.0,40.0,0.0,40.0,e10,JackiePhos,nF,0.872
41,0.0,41.0,0.0,41.0,e10,JackiePhos,nD,0.9654
42,0.0,42.0,0.0,42.0,e4,JackiePhos,nE,0.0
43,0.0,43.0,0.0,43.0,e9,Cy-vBRIDP,nC,0.35960000000000003
44,0.0,44.0,0.0,44.0,e9,CX-PICy,nA,0.2647
45,0.0,45.0,0.0,45.0,e1,PPhMe2,nA,0.0554
46,0.0,46.0,0.0,46.0,e2,MeO-KITPHOS,nD,0.8443999999999999
47,0.0,47.0,0.0,47.0,e9,MeO-KITPHOS,nC,0.3586
48,0.0,48.0,0.0,48.0,e2,P(fur)3,nE,0.1346
49,0.0,49.0,0.0,49.0,e4,PnBu3 HBF4,nA,0.0
50,0.0,50.0,0.0,50.0,e1,Kwong,nE,0.0596
51,0.0,51.0,0.0,51.0,e5,Cy-BippyPhos,nE,0.2838
52,0.0,52.0,0.0,52.0,e10,tBPh-CPhos,nC,0.7173
53,0.0,53.0,0.0,53.0,e9,tBPh-CPhos,nE,0.21660000000000001
54,0.0,54.0,0.0,54.0,e7,"P(3,5-CF3-Ph)3",nC,0.3736
55,0.0,55.0,0.0,55.0,e5,CgMe-PPh,nC,0.7569
56,0.0,56.0,0.0,56.0,e3,CgMe-PPh,nD,0.6920999999999999
57,0.0,57.0,0.0,57.0,e1,CgMe-PPh,nF,0.1659
58,0.0,58.0,0.0,58.0,e3,MeO-KITPHOS,nD,0.4526
59,0.0,59.0,0.0,59.0,e7,Cy-vBRIDP,nA,0.4673
60,0.0,60.0,0.0,60.0,e2,JackiePhos,nE,0.1408
61,0.0,61.0,0.0,61.0,e9,PPh2Me,nG,0.34490000000000004
62,0.0,62.0,0.0,62.0,e5,Et-PhenCar-Phos,nA,0.7315999999999999
63,0.0,63.0,0.0,63.0,e9,Et-PhenCar-Phos,nA,0.4843
64,0.0,64.0,0.0,64.0,e7,PPh3,nC,0.8399
65,0.0,65.0,0.0,65.0,e7,PPh3,nE,0.0016
66,0.0,66.0,0.0,66.0,e9,PPhtBu2,nA,0.18760000000000002
67,0.0,67.0,0.0,67.0,e10,CX-PICy,nF,0.8273999999999999
68,0.0,68.0,0.0,68.0,e2,CX-PICy,nE,0.1492
69,0.0,69.0,0.0,69.0,e1,Cy-DavePhos,nD,0.0664
70,0.0,70.0,0.0,70.0,e9,X-Phos,nG,0.478
71,0.0,71.0,0.0,71.0,e3,P(o-Anis)3,nD,0.086
