,num_sims,round,experiment,horizon,electrophile_id,ligand_name,nucleophile_id,yield
0,0.0,0.0,0.0,0.0,e2,A-caPhos,nF,0.0751
1,0.0,1.0,0.0,1.0,e9,BrettPhos,nF,0.1743
2,0.0,2.0,0.0,2.0,e9,CX-FBu,nA,0.0203
3,0.0,3.0,0.0,3.0,e2,CX-PICy,nF,0.33630000000000004
4,0.0,4.0,0.0,4.0,e2,Cy-DavePhos,nI,0.6901
5,0.0,5.0,0.0,5.0,e3,Cy-vBRIDP,nA,0.6292
6,0.0,6.0,0.0,6.0,e3,Kwong,nB,0.16949999999999998
7,0.0,7.0,0.0,7.0,e2,MeO-KITPHOS,nB,0.2737
8,0.0,8.0,0.0,8.0,e3,P(o-Anis)3,nG,0.21559999999999999
9,0.0,9.0,0.0,9.0,e4,Et-PhenCar-Phos,nG,0.0217
10,0.0,10.0,0.0,10.0,e5,JackiePhos,nD,0.7675
11,0.0,11.0,0.0,11.0,e1,"P(3,5-CF3-Ph)3",nF,0.015700000000000002
12,0.0,12.0,0.0,12.0,e3,P(fur)3,nC,0.4068
13,0.0,13.0,0.0,13.0,e5,Ph-PhenCar-Phos,nG,0.009899999999999999
14,0.0,14.0,0.0,14.0,e7,PPh2Me,nA,0.2702
15,0.0,15.0,0.0,15.0,e1,PPhtBu2,nC,0.0
16,0.0,16.0,0.0,16.0,e10,tBPh-CPhos,nB,0.368
17,0.0,17.0,0.0,17.0,e5,PPhMe2,nC,0.7045
18,0.0,18.0,0.0,18.0,e10,Cy-BippyPhos,nA,0.7956
19,0.0,19.0,0.0,19.0,e7,PCy3 HBF4,nG,0.0218
20,0.0,20.0,0.0,20.0,e5,CgMe-PPh,nD,0.8018000000000001
21,0.0,21.0,0.0,21.0,e10,PPh3,nE,0.022000000000000002
22,0.0,22.0,0.0,22.0,e10,X-Phos,nE,0.057300000000000004
23,0.0,23.0,0.0,23.0,e4,PnBu3 HBF4,nA,0.0
24,0.0,24.0,0.0,24.0,e1,CgMe-PPh,nF,0.1659
25,0.0,25.0,0.0,25.0,e2,Cy-BippyPhos,nI,0.6635
26,0.0,26.0,0.0,26.0,e10,JackiePhos,nC,0.6976
27,0.0,27.0,0.0,27.0,e7,PPhMe2,nE,0.015300000000000001
28,0.0,28.0,0.0,28.0,e10,Cy-DavePhos,nD,0.9086
29,0.0,29.0,0.0,29.0,e4,Cy-DavePhos,nD,0.028300000000000002
30,0.0,30.0,0.0,30.0,e1,JackiePhos,nE,0.084
31,0.0,31.0,0.0,31.0,e9,Cy-BippyPhos,nB,0.162
32,0.0,32.0,0.0,32.0,e4,Cy-vBRIDP,nE,0.0
33,0.0,33.0,0.0,33.0,e3,Cy-DavePhos,nD,0.6586
34,0.0,34.0,0.0,34.0,e5,Cy-DavePhos,nA,0.73
35,0.0,35.0,0.0,35.0,e3,Cy-DavePhos,nF,0.7761
36,0.0,36.0,0.0,36.0,e5,Cy-DavePhos,nG,0.43170000000000003
37,0.0,37.0,0.0,37.0,e2,Cy-DavePhos,nE,0.171
38,0.0,38.0,0.0,38.0,e5,Cy-BippyPhos,nG,0.46950000000000003
39,0.0,39.0,0.0,39.0,e4,JackiePhos,nA,0.0
40,0.0,40.0,0.0,40.0,e9,CgMe-PPh,nB,0.1549
41,0.0,41.0,0.0,41.0,e3,P(fur)3,nG,0.1679
42,0.0,42.0,0.0,42.0,e1,Cy-BippyPhos,nE,0.09140000000000001
43,0.0,43.0,0.0,43.0,e3,Cy-DavePhos,nB,0.1655
44,0.0,44.0,0.0,44.0,e5,tBPh-CPhos,nE,0.24359999999999998
45,0.0,45.0,0.0,45.0,e4,Cy-DavePhos,nC,0.332
46,0.0,46.0,0.0,46.0,e9,CX-PICy,nA,0.2647
47,0.0,47.0,0.0,47.0,e2,Cy-DavePhos,nB,0.3404
48,0.0,48.0,0.0,48.0,e4,Cy-DavePhos,nF,0.1294
49,0.0,49.0,0.0,49.0,e2,Cy-BippyPhos,nB,0.33799999999999997
50,0.0,50.0,0.0,50.0,e2,PPhMe2,nG,0.1848
51,0.0,51.0,0.0,51.0,e2,MeO-KITPHOS,nI,0.6523
52,0.0,52.0,0.0,52.0,e1,MeO-KITPHOS,nG,0.0264
53,0.0,53.0,0.0,53.0,e5,Cy-BippyPhos,nF,0.5754
54,0.0,54.0,0.0,54.0,e4,Cy-BippyPhos,nA,0.0011
55,0.0,55.0,0.0,55.0,e4,PPh2Me,nF,0.0588
56,0.0,56.0,0.0,56.0,e7,Cy-DavePhos,nG,0.2397
57,0.0,57.0,0.0,57.0,e1,CgMe-PPh,nA,0.7061
58,0.0,58.0,0.0,58.0,e10,CgMe-PPh,nD,0.9706999999999999
59,0.0,59.0,0.0,59.0,e7,CgMe-PPh,nI,0.6049
60,0.0,60.0,0.0,60.0,e4,CgMe-PPh,nB,0.0070999999999999995
61,0.0,61.0,0.0,61.0,e9,CgMe-PPh,nD,0.6583
62,0.0,62.0,0.0,62.0,e9,CgMe-PPh,nE,0.1574
63,0.0,63.0,0.0,63.0,e4,CgMe-PPh,nD,0.031400000000000004
64,0.0,64.0,0.0,64.0,e4,JackiePhos,nF,0.1454
65,0.0,65.0,0.0,65.0,e1,CgMe-PPh,nI,0.3212
66,0.0,66.0,0.0,66.0,e5,Cy-DavePhos,nF,0.0101
67,0.0,67.0,0.0,67.0,e3,CgMe-PPh,nI,0.3782
68,0.0,68.0,0.0,68.0,e7,Cy-vBRIDP,nF,0.5175
69,0.0,69.0,0.0,69.0,e10,Cy-vBRIDP,nE,0.12619999999999998
70,0.0,70.0,0.0,70.0,e1,CgMe-PPh,nG,0.14859999999999998
71,0.0,71.0,0.0,71.0,e1,tBPh-CPhos,nF,0.2316
72,0.0,72.0,0.0,72.0,e1,CX-PICy,nG,0.0678
73,0.0,73.0,0.0,73.0,e5,Cy-BippyPhos,nA,0.7461
74,0.0,74.0,0.0,74.0,e7,Cy-BippyPhos,nD,1.0
75,0.0,75.0,0.0,75.0,e7,Cy-BippyPhos,nB,0.2438
76,0.0,76.0,0.0,76.0,e3,Cy-BippyPhos,nC,0.5107
77,0.0,77.0,0.0,77.0,e1,Cy-BippyPhos,nG,0.11810000000000001
78,0.0,78.0,0.0,78.0,e9,Cy-BippyPhos,nD,0.7172
79,0.0,79.0,0.0,79.0,e10,Cy-BippyPhos,nE,0.10869999999999999
80,0.0,80.0,0.0,80.0,e3,Cy-BippyPhos,nE,0.18760000000000002
81,0.0,81.0,0.0,81.0,e7,Cy-BippyPhos,nF,0.9243000000000001
82,0.0,82.0,0.0,82.0,e4,Cy-BippyPhos,nC,0.4534
83,0.0,83.0,0.0,83.0,e9,Cy-BippyPhos,nI,0.8076000000000001
84,0.0,84.0,0.0,84.0,e9,Cy-BippyPhos,nC,0.3586
85,0.0,85.0,0.0,85.0,e4,Cy-BippyPhos,nG,0.025099999999999997
86,0.0,86.0,0.0,86.0,e1,Cy-BippyPhos,nD,0.1764
87,0.0,87.0,0.0,87.0,e4,Cy-BippyPhos,nD,0.0317
88,0.0,88.0,0.0,88.0,e4,Cy-DavePhos,nE,0.0
89,0.0,89.0,0.0,89.0,e1,P(o-Anis)3,nF,0.0483
90,0.0,90.0,0.0,90.0,e7,Cy-BippyPhos,nE,0.030899999999999997
91,0.0,91.0,0.0,91.0,e1,P(fur)3,nF,0.0004
92,0.0,92.0,0.0,92.0,e1,CgMe-PPh,nC,0.141
93,0.0,93.0,0.0,93.0,e1,MeO-KITPHOS,nA,0.1493
94,0.0,94.0,0.0,94.0,e4,JackiePhos,nI,0.0124
95,0.0,95.0,0.0,95.0,e4,Cy-BippyPhos,nB,0.0052
96,1.0,0.0,0.0,0.0,e10,A-caPhos,nC,0.8073999999999999
97,1.0,1.0,0.0,1.0,e7,BrettPhos,nB,0.0152
98,1.0,2.0,0.0,2.0,e7,CX-FBu,nF,0.0202
99,1.0,3.0,0.0,3.0,e7,CX-PICy,nB,0.2009
