,num_sims,round,experiment,horizon,chosen_arm,reward,cumulative_reward
0,0.0,0.0,0.0,0.0,0.0,0.4172,0.4172
1,0.0,1.0,0.0,1.0,1.0,0.2914,0.7086
2,0.0,2.0,0.0,2.0,2.0,0.0098,0.7184
3,0.0,3.0,0.0,3.0,3.0,0.2564,0.9748000000000001
4,0.0,4.0,0.0,4.0,4.0,0.2468,1.2216
5,0.0,5.0,0.0,5.0,5.0,0.4852,1.7068
6,0.0,6.0,0.0,6.0,6.0,0.0277,1.7345000000000002
7,0.0,7.0,0.0,7.0,7.0,0.7190000000000001,2.4535
8,0.0,8.0,0.0,8.0,8.0,0.2688,2.7223
9,0.0,9.0,0.0,9.0,9.0,0.1204,2.8427000000000002
10,0.0,10.0,0.0,10.0,10.0,0.6847,3.5274
11,0.0,11.0,0.0,11.0,11.0,0.0,3.5274
12,0.0,12.0,0.0,12.0,12.0,0.0815,3.6089
13,0.0,13.0,0.0,13.0,13.0,0.6232,4.2321
14,0.0,14.0,0.0,14.0,14.0,0.018000000000000002,4.2501
15,0.0,15.0,0.0,15.0,15.0,0.4806,4.7307
16,0.0,16.0,0.0,16.0,16.0,0.46740000000000004,5.1981
17,0.0,17.0,0.0,17.0,17.0,0.4569,5.655
18,0.0,18.0,0.0,18.0,18.0,0.9933,6.6483
19,0.0,19.0,0.0,19.0,19.0,0.7283,7.3766
20,0.0,20.0,0.0,20.0,20.0,0.138,7.5146
21,0.0,21.0,0.0,21.0,21.0,0.752,8.2666
22,0.0,22.0,0.0,22.0,22.0,0.7909,9.057500000000001
23,0.0,23.0,0.0,23.0,23.0,0.07139999999999999,9.128900000000002
24,0.0,24.0,0.0,24.0,18.0,0.3722,9.501100000000001
25,0.0,25.0,0.0,25.0,22.0,0.3295,9.8306
26,0.0,26.0,0.0,26.0,21.0,0.3892,10.219800000000001
27,0.0,27.0,0.0,27.0,19.0,0.0363,10.256100000000002
28,0.0,28.0,0.0,28.0,7.0,0.294,10.550100000000002
29,0.0,29.0,0.0,29.0,10.0,0.20600000000000002,10.756100000000002
30,0.0,30.0,0.0,30.0,13.0,0.2561,11.012200000000002
31,0.0,31.0,0.0,31.0,18.0,0.1437,11.155900000000003
32,0.0,32.0,0.0,32.0,5.0,0.6931999999999999,11.849100000000002
33,0.0,33.0,0.0,33.0,15.0,0.1517,12.000800000000002
34,0.0,34.0,0.0,34.0,16.0,0.7173,12.718100000000002
35,0.0,35.0,0.0,35.0,17.0,0.7064,13.424500000000002
36,0.0,36.0,0.0,36.0,16.0,0.9283,14.352800000000002
37,0.0,37.0,0.0,37.0,16.0,0.8711,15.223900000000002
38,0.0,38.0,0.0,38.0,16.0,0.6949,15.918800000000003
39,0.0,39.0,0.0,39.0,16.0,0.9120999999999999,16.830900000000003
40,0.0,40.0,0.0,40.0,16.0,0.12300000000000001,16.953900000000004
41,0.0,41.0,0.0,41.0,5.0,0.8361,17.790000000000003
42,0.0,42.0,0.0,42.0,5.0,0.40509999999999996,18.195100000000004
43,0.0,43.0,0.0,43.0,17.0,0.052300000000000006,18.247400000000003
44,0.0,44.0,0.0,44.0,21.0,0.6154999999999999,18.862900000000003
45,0.0,45.0,0.0,45.0,0.0,0.2608,19.123700000000003
46,0.0,46.0,0.0,46.0,22.0,0.0,19.123700000000003
47,0.0,47.0,0.0,47.0,21.0,0.7209,19.844600000000003
48,0.0,48.0,0.0,48.0,21.0,0.2208,20.065400000000004
49,0.0,49.0,0.0,49.0,16.0,0.3347,20.400100000000005
50,0.0,50.0,0.0,50.0,7.0,0.08650000000000001,20.486600000000006
51,0.0,51.0,0.0,51.0,5.0,0.9020999999999999,21.388700000000007
52,0.0,52.0,0.0,52.0,5.0,0.0771,21.46580000000001
53,0.0,53.0,0.0,53.0,16.0,0.191,21.656800000000008
54,0.0,54.0,0.0,54.0,10.0,0.19440000000000002,21.85120000000001
55,0.0,55.0,0.0,55.0,13.0,0.1018,21.95300000000001
56,0.0,56.0,0.0,56.0,18.0,0.6764,22.62940000000001
57,0.0,57.0,0.0,57.0,18.0,0.019799999999999998,22.64920000000001
58,0.0,58.0,0.0,58.0,1.0,0.15259999999999999,22.80180000000001
59,0.0,59.0,0.0,59.0,5.0,0.0886,22.89040000000001
60,0.0,60.0,0.0,60.0,8.0,0.0639,22.95430000000001
61,0.0,61.0,0.0,61.0,21.0,0.0438,22.99810000000001
62,0.0,62.0,0.0,62.0,3.0,0.0649,23.063000000000013
63,0.0,63.0,0.0,63.0,16.0,0.11380000000000001,23.176800000000014
64,0.0,64.0,0.0,64.0,4.0,0.24050000000000002,23.417300000000015
65,0.0,65.0,0.0,65.0,19.0,0.06309999999999999,23.480400000000014
66,0.0,66.0,0.0,66.0,17.0,0.3493,23.829700000000013
67,0.0,67.0,0.0,67.0,16.0,0.0,23.829700000000013
68,0.0,68.0,0.0,68.0,0.0,0.0023,23.832000000000015
69,0.0,69.0,0.0,69.0,5.0,0.005,23.837000000000014
70,0.0,70.0,0.0,70.0,15.0,0.6736,24.510600000000014
71,0.0,71.0,0.0,71.0,15.0,0.7078,25.218400000000013
72,0.0,72.0,0.0,72.0,15.0,0.6146,25.833000000000013
73,0.0,73.0,0.0,73.0,15.0,0.06280000000000001,25.895800000000012
74,0.0,74.0,0.0,74.0,18.0,0.3797,26.27550000000001
75,0.0,75.0,0.0,75.0,22.0,0.3956,26.671100000000013
76,0.0,76.0,0.0,76.0,21.0,0.127,26.798100000000012
77,0.0,77.0,0.0,77.0,7.0,0.3455,27.143600000000013
78,0.0,78.0,0.0,78.0,15.0,0.0378,27.181400000000014
79,0.0,79.0,0.0,79.0,10.0,0.034,27.215400000000013
80,0.0,80.0,0.0,80.0,17.0,0.1882,27.40360000000001
81,0.0,81.0,0.0,81.0,20.0,0.1325,27.536100000000012
82,0.0,82.0,0.0,82.0,16.0,0.19399999999999998,27.73010000000001
83,0.0,83.0,0.0,83.0,18.0,0.7872,28.51730000000001
84,0.0,84.0,0.0,84.0,18.0,0.2838,28.80110000000001
85,0.0,85.0,0.0,85.0,18.0,0.7956,29.59670000000001
86,0.0,86.0,0.0,86.0,18.0,0.8076000000000001,30.40430000000001
87,0.0,87.0,0.0,87.0,18.0,0.5754,30.97970000000001
