,num_sims,round,experiment,horizon,electrophile_id,ligand_name,nucleophile_id,yield
0,0.0,0.0,0.0,0.0,e9,A-caPhos,nI,0.0018
1,0.0,1.0,0.0,1.0,e9,BrettPhos,nF,0.1743
2,0.0,2.0,0.0,2.0,e7,CX-FBu,nE,0.0
3,0.0,3.0,0.0,3.0,e1,CX-PICy,nC,0.19
4,0.0,4.0,0.0,4.0,e10,Cy-DavePhos,nB,0.39649999999999996
5,0.0,5.0,0.0,5.0,e10,Cy-vBRIDP,nE,0.12619999999999998
6,0.0,6.0,0.0,6.0,e3,Kwong,nF,0.7568
7,0.0,7.0,0.0,7.0,e10,MeO-KITPHOS,nE,0.1075
8,0.0,8.0,0.0,8.0,e2,P(o-Anis)3,nC,0.2586
9,0.0,9.0,0.0,9.0,e1,Et-PhenCar-Phos,nI,0.0717
10,0.0,10.0,0.0,10.0,e7,JackiePhos,nF,0.0219
11,0.0,11.0,0.0,11.0,e1,"P(3,5-CF3-Ph)3",nE,0.034
12,0.0,12.0,0.0,12.0,e7,P(fur)3,nC,0.5141
13,0.0,13.0,0.0,13.0,e4,Ph-PhenCar-Phos,nB,0.0008
14,0.0,14.0,0.0,14.0,e3,PPh2Me,nB,0.0755
15,0.0,15.0,0.0,15.0,e2,PPhtBu2,nG,0.1862
16,0.0,16.0,0.0,16.0,e3,tBPh-CPhos,nG,0.6899
17,0.0,17.0,0.0,17.0,e3,PPhMe2,nE,0.17370000000000002
18,0.0,18.0,0.0,18.0,e4,Cy-BippyPhos,nI,0.019799999999999998
19,0.0,19.0,0.0,19.0,e3,PCy3 HBF4,nG,0.2224
20,0.0,20.0,0.0,20.0,e2,CgMe-PPh,nB,0.2325
21,0.0,21.0,0.0,21.0,e3,PPh3,nF,0.7209
22,0.0,22.0,0.0,22.0,e9,X-Phos,nD,0.7726000000000001
23,0.0,23.0,0.0,23.0,e4,PnBu3 HBF4,nI,0.0
24,0.0,24.0,0.0,24.0,e1,X-Phos,nG,0.059500000000000004
25,0.0,25.0,0.0,25.0,e10,Kwong,nF,0.9098
26,0.0,26.0,0.0,26.0,e9,PPh3,nF,0.7392
27,0.0,27.0,0.0,27.0,e4,tBPh-CPhos,nC,0.3096
28,0.0,28.0,0.0,28.0,e5,P(fur)3,nG,0.45649999999999996
29,0.0,29.0,0.0,29.0,e4,Cy-DavePhos,nG,0.0236
30,0.0,30.0,0.0,30.0,e3,P(o-Anis)3,nG,0.21559999999999999
31,0.0,31.0,0.0,31.0,e4,Kwong,nE,0.0
32,0.0,32.0,0.0,32.0,e9,CgMe-PPh,nC,0.3858
33,0.0,33.0,0.0,33.0,e1,PCy3 HBF4,nE,0.0366
34,0.0,34.0,0.0,34.0,e1,CX-PICy,nA,0.5781000000000001
35,0.0,35.0,0.0,35.0,e5,PPhtBu2,nD,0.8035
36,0.0,36.0,0.0,36.0,e10,BrettPhos,nD,0.9420000000000001
37,0.0,37.0,0.0,37.0,e3,PPhMe2,nB,0.0513
