,num_sims,round,experiment,horizon,chosen_arm,reward,cumulative_reward
0,0.0,0.0,0.0,0.0,0.0,0.0018,0.0018
1,0.0,1.0,0.0,1.0,1.0,0.1743,0.1761
2,0.0,2.0,0.0,2.0,2.0,0.0,0.1761
3,0.0,3.0,0.0,3.0,3.0,0.19,0.3661
4,0.0,4.0,0.0,4.0,4.0,0.39649999999999996,0.7626
5,0.0,5.0,0.0,5.0,5.0,0.12619999999999998,0.8887999999999999
6,0.0,6.0,0.0,6.0,6.0,0.7568,1.6456
7,0.0,7.0,0.0,7.0,7.0,0.1075,1.7530999999999999
8,0.0,8.0,0.0,8.0,8.0,0.2586,2.0117
9,0.0,9.0,0.0,9.0,9.0,0.0717,2.0833999999999997
10,0.0,10.0,0.0,10.0,10.0,0.0219,2.1052999999999997
11,0.0,11.0,0.0,11.0,11.0,0.034,2.1392999999999995
12,0.0,12.0,0.0,12.0,12.0,0.5141,2.6533999999999995
13,0.0,13.0,0.0,13.0,13.0,0.0008,2.6541999999999994
14,0.0,14.0,0.0,14.0,14.0,0.0755,2.7296999999999993
15,0.0,15.0,0.0,15.0,15.0,0.1862,2.9158999999999993
16,0.0,16.0,0.0,16.0,16.0,0.6899,3.6057999999999995
17,0.0,17.0,0.0,17.0,17.0,0.17370000000000002,3.7794999999999996
18,0.0,18.0,0.0,18.0,18.0,0.019799999999999998,3.7992999999999997
19,0.0,19.0,0.0,19.0,19.0,0.2224,4.0217
20,0.0,20.0,0.0,20.0,20.0,0.2325,4.2542
21,0.0,21.0,0.0,21.0,21.0,0.7209,4.9751
22,0.0,22.0,0.0,22.0,22.0,0.7726000000000001,5.7477
23,0.0,23.0,0.0,23.0,23.0,0.0,5.7477
24,0.0,24.0,0.0,24.0,22.0,0.059500000000000004,5.8072
25,0.0,25.0,0.0,25.0,6.0,0.9098,6.717
26,0.0,26.0,0.0,26.0,21.0,0.7392,7.4562
27,0.0,27.0,0.0,27.0,16.0,0.3096,7.7658
28,0.0,28.0,0.0,28.0,12.0,0.45649999999999996,8.222299999999999
29,0.0,29.0,0.0,29.0,4.0,0.0236,8.245899999999999
30,0.0,30.0,0.0,30.0,8.0,0.21559999999999999,8.4615
31,0.0,31.0,0.0,31.0,6.0,0.0,8.4615
32,0.0,32.0,0.0,32.0,20.0,0.3858,8.847299999999999
33,0.0,33.0,0.0,33.0,19.0,0.0366,8.883899999999999
34,0.0,34.0,0.0,34.0,3.0,0.5781000000000001,9.462
35,0.0,35.0,0.0,35.0,15.0,0.8035,10.2655
36,0.0,36.0,0.0,36.0,1.0,0.9420000000000001,11.2075
37,0.0,37.0,0.0,37.0,17.0,0.0513,11.258799999999999
38,0.0,38.0,0.0,38.0,21.0,0.0029,11.2617
39,0.0,39.0,0.0,39.0,5.0,0.637,11.8987
40,0.0,40.0,0.0,40.0,7.0,0.29350000000000004,12.1922
41,0.0,41.0,0.0,41.0,14.0,0.0347,12.2269
42,0.0,42.0,0.0,42.0,9.0,0.20670000000000002,12.4336
43,0.0,43.0,0.0,43.0,11.0,0.8959999999999999,13.3296
44,0.0,44.0,0.0,44.0,10.0,0.26489999999999997,13.5945
45,0.0,45.0,0.0,45.0,18.0,0.9259000000000001,14.5204
46,0.0,46.0,0.0,46.0,0.0,0.1035,14.6239
47,0.0,47.0,0.0,47.0,13.0,0.05,14.673900000000001
48,0.0,48.0,0.0,48.0,2.0,0.0015,14.675400000000002
49,0.0,49.0,0.0,49.0,23.0,0.024,14.6994
50,0.0,50.0,0.0,50.0,1.0,0.0,14.6994
51,0.0,51.0,0.0,51.0,16.0,0.15539999999999998,14.854800000000001
52,0.0,52.0,0.0,52.0,15.0,0.8287,15.6835
53,0.0,53.0,0.0,53.0,12.0,0.010700000000000001,15.6942
54,0.0,54.0,0.0,54.0,18.0,0.7226,16.416800000000002
55,0.0,55.0,0.0,55.0,11.0,0.2702,16.687
56,0.0,56.0,0.0,56.0,22.0,0.3425,17.029500000000002
57,0.0,57.0,0.0,57.0,3.0,0.2903,17.3198
58,0.0,58.0,0.0,58.0,5.0,0.9020999999999999,18.2219
59,0.0,59.0,0.0,59.0,15.0,0.0462,18.2681
60,0.0,60.0,0.0,60.0,20.0,0.0637,18.3318
61,0.0,61.0,0.0,61.0,18.0,0.5107,18.8425
62,0.0,62.0,0.0,62.0,6.0,0.1081,18.9506
63,0.0,63.0,0.0,63.0,5.0,0.031,18.9816
64,0.0,64.0,0.0,64.0,8.0,0.0178,18.9994
65,0.0,65.0,0.0,65.0,21.0,0.35100000000000003,19.3504
66,0.0,66.0,0.0,66.0,4.0,0.0,19.3504
67,0.0,67.0,0.0,67.0,7.0,0.08650000000000001,19.4369
68,0.0,68.0,0.0,68.0,10.0,0.1454,19.5823
69,0.0,69.0,0.0,69.0,11.0,0.7372,20.3195
70,0.0,70.0,0.0,70.0,9.0,0.1383,20.457800000000002
71,0.0,71.0,0.0,71.0,22.0,0.0046,20.462400000000002
72,0.0,72.0,0.0,72.0,18.0,0.6764,21.138800000000003
73,0.0,73.0,0.0,73.0,19.0,0.3735,21.512300000000003
74,0.0,74.0,0.0,74.0,16.0,0.368,21.880300000000002
75,0.0,75.0,0.0,75.0,1.0,0.2039,22.084200000000003
76,0.0,76.0,0.0,76.0,17.0,0.0432,22.1274
77,0.0,77.0,0.0,77.0,3.0,0.299,22.4264
78,0.0,78.0,0.0,78.0,11.0,0.0052,22.4316
79,0.0,79.0,0.0,79.0,12.0,0.3128,22.7444
80,0.0,80.0,0.0,80.0,14.0,0.3398,23.0842
81,0.0,81.0,0.0,81.0,0.0,0.7994,23.883599999999998
82,0.0,82.0,0.0,82.0,15.0,0.0414,23.924999999999997
83,0.0,83.0,0.0,83.0,18.0,0.1295,24.054499999999997
84,0.0,84.0,0.0,84.0,0.0,0.6629,24.717399999999998
85,0.0,85.0,0.0,85.0,21.0,0.0,24.717399999999998
86,0.0,86.0,0.0,86.0,6.0,0.46149999999999997,25.1789
87,0.0,87.0,0.0,87.0,13.0,0.006999999999999999,25.1859
88,0.0,88.0,0.0,88.0,23.0,0.35700000000000004,25.5429
89,0.0,89.0,0.0,89.0,5.0,0.3715,25.9144
90,0.0,90.0,0.0,90.0,2.0,0.0375,25.951900000000002
91,0.0,91.0,0.0,91.0,0.0,0.2614,26.2133
