,num_sims,round,experiment,horizon,electrophile_id,ligand_name,nucleophile_id,yield
0,0.0,0.0,0.0,0.0,e3,A-caPhos,nE,0.0653
1,0.0,1.0,0.0,1.0,e3,BrettPhos,nI,0.0335
2,0.0,2.0,0.0,2.0,e7,CX-FBu,nE,0.0
3,0.0,3.0,0.0,3.0,e1,CX-PICy,nA,0.5781000000000001
4,0.0,4.0,0.0,4.0,e10,Cy-DavePhos,nI,0.8073999999999999
5,0.0,5.0,0.0,5.0,e2,Cy-vBRIDP,nD,0.8855
6,0.0,6.0,0.0,6.0,e5,Kwong,nB,0.2397
7,0.0,7.0,0.0,7.0,e7,MeO-KITPHOS,nI,0.23379999999999998
8,0.0,8.0,0.0,8.0,e3,P(o-Anis)3,nB,0.0639
9,0.0,9.0,0.0,9.0,e5,Et-PhenCar-Phos,nA,0.7315999999999999
10,0.0,10.0,0.0,10.0,e2,JackiePhos,nI,0.6373
11,0.0,11.0,0.0,11.0,e9,"P(3,5-CF3-Ph)3",nB,0.0454
12,0.0,12.0,0.0,12.0,e9,P(fur)3,nI,0.31829999999999997
13,0.0,13.0,0.0,13.0,e4,Ph-PhenCar-Phos,nI,0.0007000000000000001
14,0.0,14.0,0.0,14.0,e9,PPh2Me,nB,0.031200000000000002
15,0.0,15.0,0.0,15.0,e2,PPhtBu2,nE,0.1761
16,0.0,16.0,0.0,16.0,e2,tBPh-CPhos,nC,0.6003000000000001
17,0.0,17.0,0.0,17.0,e9,PPhMe2,nE,0.12269999999999999
18,0.0,18.0,0.0,18.0,e4,Cy-BippyPhos,nC,0.4534
19,0.0,19.0,0.0,19.0,e2,PCy3 HBF4,nI,0.3016
20,0.0,20.0,0.0,20.0,e1,CgMe-PPh,nE,0.0866
21,0.0,21.0,0.0,21.0,e7,PPh3,nD,0.9911
22,0.0,22.0,0.0,22.0,e9,X-Phos,nF,0.8020999999999999
23,0.0,23.0,0.0,23.0,e5,PnBu3 HBF4,nG,0.0197
24,0.0,24.0,0.0,24.0,e7,PPh3,nF,0.5585
25,0.0,25.0,0.0,25.0,e1,Cy-vBRIDP,nE,0.0859
26,0.0,26.0,0.0,26.0,e1,Cy-DavePhos,nE,0.0545
27,0.0,27.0,0.0,27.0,e5,X-Phos,nB,0.258
28,0.0,28.0,0.0,28.0,e7,Et-PhenCar-Phos,nC,0.7737999999999999
