,num_sims,round,experiment,horizon,electrophile_id,ligand_name,nucleophile_id,yield
0,0.0,0.0,0.0,0.0,e1,A-caPhos,nB,0.058600000000000006
1,0.0,1.0,0.0,1.0,e3,BrettPhos,nF,0.0
2,0.0,2.0,0.0,2.0,e1,CX-FBu,nB,0.0087
3,0.0,3.0,0.0,3.0,e9,CX-PICy,nB,0.0649
4,0.0,4.0,0.0,4.0,e5,Cy-DavePhos,nF,0.0101
5,0.0,5.0,0.0,5.0,e2,Cy-vBRIDP,nG,0.23989999999999997
6,0.0,6.0,0.0,6.0,e10,Kwong,nG,0.2469
7,0.0,7.0,0.0,7.0,e10,MeO-KITPHOS,nG,0.4445
8,0.0,8.0,0.0,8.0,e10,P(o-Anis)3,nB,0.066
9,0.0,9.0,0.0,9.0,e10,Et-PhenCar-Phos,nF,0.9459000000000001
10,0.0,10.0,0.0,10.0,e4,JackiePhos,nC,0.23170000000000002
11,0.0,11.0,0.0,11.0,e2,"P(3,5-CF3-Ph)3",nC,0.547
12,0.0,12.0,0.0,12.0,e10,P(fur)3,nE,0.0815
13,0.0,13.0,0.0,13.0,e9,Ph-PhenCar-Phos,nE,0.10529999999999999
14,0.0,14.0,0.0,14.0,e3,PPh2Me,nB,0.0755
15,0.0,15.0,0.0,15.0,e7,PPhtBu2,nD,0.1678
16,0.0,16.0,0.0,16.0,e2,tBPh-CPhos,nD,0.9283
17,0.0,17.0,0.0,17.0,e1,PPhMe2,nF,0.0004
18,0.0,18.0,0.0,18.0,e3,Cy-BippyPhos,nA,0.6756
19,0.0,19.0,0.0,19.0,e9,PCy3 HBF4,nG,0.4389
20,0.0,20.0,0.0,20.0,e2,CgMe-PPh,nF,0.39990000000000003
21,0.0,21.0,0.0,21.0,e10,PPh3,nE,0.022000000000000002
22,0.0,22.0,0.0,22.0,e5,X-Phos,nB,0.258
23,0.0,23.0,0.0,23.0,e1,PnBu3 HBF4,nD,0.048600000000000004
24,0.0,24.0,0.0,24.0,e3,Et-PhenCar-Phos,nI,0.2839
25,0.0,25.0,0.0,25.0,e9,tBPh-CPhos,nG,0.5619
26,0.0,26.0,0.0,26.0,e1,Cy-BippyPhos,nB,0.1637
27,0.0,27.0,0.0,27.0,e10,"P(3,5-CF3-Ph)3",nB,0.2979
28,0.0,28.0,0.0,28.0,e4,MeO-KITPHOS,nG,0.028900000000000002
29,0.0,29.0,0.0,29.0,e2,PCy3 HBF4,nD,0.8036
30,0.0,30.0,0.0,30.0,e10,tBPh-CPhos,nG,0.1598
31,0.0,31.0,0.0,31.0,e5,CgMe-PPh,nA,0.1929
32,0.0,32.0,0.0,32.0,e1,PCy3 HBF4,nA,0.36729999999999996
33,0.0,33.0,0.0,33.0,e5,Et-PhenCar-Phos,nE,0.2082
34,0.0,34.0,0.0,34.0,e4,X-Phos,nF,0.0906
35,0.0,35.0,0.0,35.0,e10,Kwong,nC,0.659
36,0.0,36.0,0.0,36.0,e5,Cy-vBRIDP,nD,0.7361
37,0.0,37.0,0.0,37.0,e4,JackiePhos,nA,0.0
38,0.0,38.0,0.0,38.0,e10,PPhtBu2,nG,0.2566
39,0.0,39.0,0.0,39.0,e2,Cy-vBRIDP,nI,0.669
40,0.0,40.0,0.0,40.0,e7,Kwong,nA,0.0478
41,0.0,41.0,0.0,41.0,e7,Ph-PhenCar-Phos,nF,0.182
42,0.0,42.0,0.0,42.0,e4,"P(3,5-CF3-Ph)3",nF,0.10679999999999999
43,0.0,43.0,0.0,43.0,e1,Cy-BippyPhos,nF,0.0694
44,0.0,44.0,0.0,44.0,e3,P(fur)3,nF,0.4397
45,0.0,45.0,0.0,45.0,e5,PPh2Me,nG,0.0079
46,0.0,46.0,0.0,46.0,e10,P(o-Anis)3,nF,0.004699999999999999
47,0.0,47.0,0.0,47.0,e9,CX-PICy,nI,0.607
48,0.0,48.0,0.0,48.0,e3,A-caPhos,nC,0.40950000000000003
49,0.0,49.0,0.0,49.0,e3,tBPh-CPhos,nI,0.46740000000000004
50,0.0,50.0,0.0,50.0,e10,PnBu3 HBF4,nI,0.2443
51,0.0,51.0,0.0,51.0,e5,Cy-vBRIDP,nA,0.7513
52,0.0,52.0,0.0,52.0,e1,PCy3 HBF4,nB,0.0489
53,0.0,53.0,0.0,53.0,e2,PPh3,nF,0.4718
54,0.0,54.0,0.0,54.0,e9,Cy-DavePhos,nC,0.3711
55,0.0,55.0,0.0,55.0,e5,CX-FBu,nB,0.0487
56,0.0,56.0,0.0,56.0,e4,CX-PICy,nI,0.0319
57,0.0,57.0,0.0,57.0,e5,PPhMe2,nC,0.7045
58,0.0,58.0,0.0,58.0,e10,PPhMe2,nA,0.7149
59,0.0,59.0,0.0,59.0,e1,BrettPhos,nI,0.005
60,0.0,60.0,0.0,60.0,e4,Cy-vBRIDP,nG,0.0217
61,0.0,61.0,0.0,61.0,e4,Et-PhenCar-Phos,nE,0.0
62,0.0,62.0,0.0,62.0,e5,PPhMe2,nF,0.0146
63,0.0,63.0,0.0,63.0,e7,CgMe-PPh,nE,0.0
64,0.0,64.0,0.0,64.0,e10,tBPh-CPhos,nF,0.9416
65,0.0,65.0,0.0,65.0,e9,tBPh-CPhos,nE,0.21660000000000001
66,0.0,66.0,0.0,66.0,e7,P(fur)3,nE,0.0173
67,0.0,67.0,0.0,67.0,e9,PPh3,nC,0.35100000000000003
68,0.0,68.0,0.0,68.0,e3,MeO-KITPHOS,nG,0.29350000000000004
69,0.0,69.0,0.0,69.0,e3,A-caPhos,nA,0.3554
70,0.0,70.0,0.0,70.0,e2,PPhtBu2,nD,0.9206
71,0.0,71.0,0.0,71.0,e1,PPhtBu2,nI,0.0034999999999999996
72,0.0,72.0,0.0,72.0,e10,Cy-DavePhos,nI,0.8073999999999999
