,num_sims,round,experiment,horizon,chosen_arm,reward,cumulative_reward
0,0.0,0.0,0.0,0.0,0.0,0.8621,0.8621
1,0.0,1.0,0.0,1.0,1.0,0.0116,0.8736999999999999
2,0.0,2.0,0.0,2.0,2.0,0.0217,0.8954
3,0.0,3.0,0.0,3.0,3.0,0.3457,1.2410999999999999
4,0.0,4.0,0.0,4.0,4.0,0.023,1.2640999999999998
5,0.0,5.0,0.0,5.0,5.0,0.5926,1.8566999999999998
6,0.0,6.0,0.0,6.0,6.0,0.6363,2.493
7,0.0,7.0,0.0,7.0,7.0,0.1119,2.6048999999999998
8,0.0,8.0,0.0,8.0,8.0,0.0955,2.7003999999999997
9,0.0,9.0,0.0,9.0,9.0,0.7737999999999999,3.4741999999999997
10,0.0,10.0,0.0,10.0,10.0,0.9107,4.3849
11,0.0,11.0,0.0,11.0,11.0,0.1069,4.4918
12,0.0,12.0,0.0,12.0,12.0,0.4868,4.978599999999999
13,0.0,13.0,0.0,13.0,13.0,0.1234,5.101999999999999
14,0.0,14.0,0.0,14.0,14.0,0.0002,5.1022
15,0.0,15.0,0.0,15.0,15.0,0.3299,5.4321
16,0.0,16.0,0.0,16.0,16.0,0.18100000000000002,5.6131
17,0.0,17.0,0.0,17.0,17.0,0.015700000000000002,5.6288
18,0.0,18.0,0.0,18.0,18.0,0.3797,6.0085
19,0.0,19.0,0.0,19.0,19.0,0.7283,6.7368
20,0.0,20.0,0.0,20.0,20.0,0.1549,6.891699999999999
21,0.0,21.0,0.0,21.0,21.0,0.0956,6.987299999999999
22,0.0,22.0,0.0,22.0,22.0,0.7909,7.778199999999999
23,0.0,23.0,0.0,23.0,23.0,0.0625,7.840699999999999
24,0.0,24.0,0.0,24.0,10.0,0.2493,8.09
25,0.0,25.0,0.0,25.0,0.0,0.0154,8.1054
26,0.0,26.0,0.0,26.0,22.0,0.5517,8.6571
27,0.0,27.0,0.0,27.0,9.0,0.8942,9.5513
28,0.0,28.0,0.0,28.0,19.0,0.0579,9.6092
29,0.0,29.0,0.0,29.0,6.0,0.5898,10.199
30,0.0,30.0,0.0,30.0,5.0,0.478,10.677
31,0.0,31.0,0.0,31.0,9.0,0.9168999999999999,11.5939
32,0.0,32.0,0.0,32.0,12.0,0.0154,11.6093
33,0.0,33.0,0.0,33.0,18.0,0.9240999999999999,12.533399999999999
34,0.0,34.0,0.0,34.0,9.0,0.4629,12.996299999999998
35,0.0,35.0,0.0,35.0,3.0,0.2009,13.197199999999999
36,0.0,36.0,0.0,36.0,22.0,0.136,13.333199999999998
37,0.0,37.0,0.0,37.0,15.0,0.0555,13.388699999999998
38,0.0,38.0,0.0,38.0,18.0,0.10869999999999999,13.497399999999999
39,0.0,39.0,0.0,39.0,6.0,0.1408,13.6382
40,0.0,40.0,0.0,40.0,10.0,0.1058,13.744
