,num_sims,round,experiment,horizon,electrophile_id,ligand_name,nucleophile_id,yield
0,0.0,0.0,0.0,0.0,e1,PnBu3 HBF4,nA,0.0506
1,0.0,1.0,0.0,1.0,e4,PnBu3 HBF4,nC,0.0044
2,0.0,2.0,0.0,2.0,e7,PnBu3 HBF4,nI,0.0705
3,0.0,3.0,0.0,3.0,e3,PnBu3 HBF4,nF,0.7504000000000001
4,0.0,4.0,0.0,4.0,e1,Ph-PhenCar-Phos,nD,0.08349999999999999
5,0.0,5.0,0.0,5.0,e10,PPh3,nG,0.1635
6,0.0,6.0,0.0,6.0,e9,PnBu3 HBF4,nI,0.299
7,0.0,7.0,0.0,7.0,e5,PnBu3 HBF4,nG,0.0197
8,0.0,8.0,0.0,8.0,e4,PnBu3 HBF4,nG,0.0046
9,0.0,9.0,0.0,9.0,e4,PnBu3 HBF4,nB,0.0008
10,0.0,10.0,0.0,10.0,e2,PPh3,nB,0.044000000000000004
11,0.0,11.0,0.0,11.0,e1,PnBu3 HBF4,nE,0.0171
12,0.0,12.0,0.0,12.0,e9,PnBu3 HBF4,nG,0.3721
13,0.0,13.0,0.0,13.0,e9,PnBu3 HBF4,nD,0.3239
14,0.0,14.0,0.0,14.0,e9,PnBu3 HBF4,nC,0.3015
15,0.0,15.0,0.0,15.0,e2,PnBu3 HBF4,nB,0.026600000000000002
16,0.0,16.0,0.0,16.0,e7,PnBu3 HBF4,nD,0.07139999999999999
17,0.0,17.0,0.0,17.0,e2,PnBu3 HBF4,nI,0.35700000000000004
18,0.0,18.0,0.0,18.0,e9,PnBu3 HBF4,nE,0.1027
19,0.0,19.0,0.0,19.0,e2,PnBu3 HBF4,nD,0.892
20,0.0,20.0,0.0,20.0,e2,PnBu3 HBF4,nA,0.0
21,0.0,21.0,0.0,21.0,e10,PnBu3 HBF4,nB,0.0108
22,0.0,22.0,0.0,22.0,e3,PnBu3 HBF4,nB,0.0168
23,0.0,23.0,0.0,23.0,e10,PnBu3 HBF4,nF,0.9420000000000001
24,0.0,24.0,0.0,24.0,e1,PnBu3 HBF4,nD,0.048600000000000004
25,0.0,25.0,0.0,25.0,e3,PnBu3 HBF4,nC,0.5104
26,0.0,26.0,0.0,26.0,e3,BrettPhos,nE,0.0152
27,0.0,27.0,0.0,27.0,e5,PnBu3 HBF4,nI,0.3918
28,0.0,28.0,0.0,28.0,e4,PnBu3 HBF4,nF,0.0625
29,0.0,29.0,0.0,29.0,e2,PnBu3 HBF4,nG,0.0475
30,0.0,30.0,0.0,30.0,e5,PnBu3 HBF4,nF,0.10800000000000001
31,0.0,31.0,0.0,31.0,e5,PnBu3 HBF4,nD,0.7733
32,0.0,32.0,0.0,32.0,e7,PnBu3 HBF4,nG,0.012
33,0.0,33.0,0.0,33.0,e3,PnBu3 HBF4,nI,0.3126
34,0.0,34.0,0.0,34.0,e10,PnBu3 HBF4,nD,0.9791
35,0.0,35.0,0.0,35.0,e5,PnBu3 HBF4,nE,0.11900000000000001
36,0.0,36.0,0.0,36.0,e9,PnBu3 HBF4,nF,0.0279
37,0.0,37.0,0.0,37.0,e10,PnBu3 HBF4,nE,0.0662
38,0.0,38.0,0.0,38.0,e4,PnBu3 HBF4,nA,0.0
39,0.0,39.0,0.0,39.0,e3,PnBu3 HBF4,nG,0.2256
40,0.0,40.0,0.0,40.0,e9,PnBu3 HBF4,nA,0.23929999999999998
41,0.0,41.0,0.0,41.0,e5,PnBu3 HBF4,nC,0.726
42,0.0,42.0,0.0,42.0,e7,PnBu3 HBF4,nB,0.024
43,0.0,43.0,0.0,43.0,e4,PnBu3 HBF4,nE,0.0
44,0.0,44.0,0.0,44.0,e9,A-caPhos,nE,0.114
45,0.0,45.0,0.0,45.0,e4,PnBu3 HBF4,nD,0.0149
46,0.0,46.0,0.0,46.0,e7,PnBu3 HBF4,nA,0.1779
47,0.0,47.0,0.0,47.0,e3,PnBu3 HBF4,nD,0.43979999999999997
48,0.0,48.0,0.0,48.0,e7,PnBu3 HBF4,nC,0.0864
49,0.0,49.0,0.0,49.0,e2,PnBu3 HBF4,nE,0.1105
50,0.0,50.0,0.0,50.0,e1,PnBu3 HBF4,nF,0.003
51,0.0,51.0,0.0,51.0,e1,PnBu3 HBF4,nI,0.0406
52,0.0,52.0,0.0,52.0,e10,PnBu3 HBF4,nI,0.2443
53,0.0,53.0,0.0,53.0,e10,PnBu3 HBF4,nC,0.6690999999999999
54,0.0,54.0,0.0,54.0,e5,PnBu3 HBF4,nB,0.0098
55,0.0,55.0,0.0,55.0,e5,PnBu3 HBF4,nA,0.0883
56,0.0,56.0,0.0,56.0,e9,PnBu3 HBF4,nB,0.0478
57,0.0,57.0,0.0,57.0,e1,PnBu3 HBF4,nB,0.011699999999999999
58,0.0,58.0,0.0,58.0,e1,PnBu3 HBF4,nC,0.0484
59,0.0,59.0,0.0,59.0,e10,PnBu3 HBF4,nA,0.1305
60,0.0,60.0,0.0,60.0,e3,PnBu3 HBF4,nA,0.08439999999999999
61,0.0,61.0,0.0,61.0,e1,PnBu3 HBF4,nG,0.0087
62,0.0,62.0,0.0,62.0,e3,PnBu3 HBF4,nE,0.0542
63,0.0,63.0,0.0,63.0,e2,PnBu3 HBF4,nF,0.0906
64,0.0,64.0,0.0,64.0,e7,PnBu3 HBF4,nE,0.0
65,0.0,65.0,0.0,65.0,e1,JackiePhos,nC,0.17170000000000002
66,0.0,66.0,0.0,66.0,e10,PnBu3 HBF4,nG,0.021
67,0.0,67.0,0.0,67.0,e7,PnBu3 HBF4,nF,0.0554
68,0.0,68.0,0.0,68.0,e2,PnBu3 HBF4,nC,0.5975
69,0.0,69.0,0.0,69.0,e9,CX-FBu,nA,0.0203
70,0.0,70.0,0.0,70.0,e4,PnBu3 HBF4,nI,0.0
71,0.0,71.0,0.0,71.0,e9,"P(3,5-CF3-Ph)3",nG,0.3488
72,0.0,72.0,0.0,72.0,e3,"P(3,5-CF3-Ph)3",nC,0.5075999999999999
73,0.0,73.0,0.0,73.0,e1,"P(3,5-CF3-Ph)3",nG,0.0172
74,0.0,74.0,0.0,74.0,e4,"P(3,5-CF3-Ph)3",nI,0.0758
75,0.0,75.0,0.0,75.0,e9,JackiePhos,nF,0.9569
76,0.0,76.0,0.0,76.0,e3,JackiePhos,nF,0.7831
77,0.0,77.0,0.0,77.0,e5,JackiePhos,nF,0.0121
78,0.0,78.0,0.0,78.0,e3,A-caPhos,nC,0.40950000000000003
79,0.0,79.0,0.0,79.0,e7,JackiePhos,nI,0.6012
80,0.0,80.0,0.0,80.0,e9,JackiePhos,nD,0.6556000000000001
