,num_sims,round,experiment,horizon,electrophile_id,ligand_name,nucleophile_id,yield
0,0.0,0.0,0.0,0.0,e5,PPhtBu2,nD,0.8035
1,0.0,1.0,0.0,1.0,e7,PPh3,nC,0.8399
2,0.0,2.0,0.0,2.0,e9,Cy-vBRIDP,nD,0.6829999999999999
3,0.0,3.0,0.0,3.0,e9,Et-PhenCar-Phos,nG,0.4629
4,0.0,4.0,0.0,4.0,e7,"P(3,5-CF3-Ph)3",nC,0.3736
5,0.0,5.0,0.0,5.0,e10,BrettPhos,nA,0.39990000000000003
6,0.0,6.0,0.0,6.0,e1,CX-FBu,nE,0.0034000000000000002
7,0.0,7.0,0.0,7.0,e1,JackiePhos,nA,0.9028
8,0.0,8.0,0.0,8.0,e1,Et-PhenCar-Phos,nG,0.0718
9,0.0,9.0,0.0,9.0,e7,tBPh-CPhos,nF,0.0172
10,0.0,10.0,0.0,10.0,e5,"P(3,5-CF3-Ph)3",nG,0.41479999999999995
11,0.0,11.0,0.0,11.0,e9,A-caPhos,nB,0.0962
12,0.0,12.0,0.0,12.0,e9,PnBu3 HBF4,nD,0.3239
13,0.0,13.0,0.0,13.0,e4,Cy-DavePhos,nB,0.0059
14,0.0,14.0,0.0,14.0,e7,P(o-Anis)3,nE,0.0123
15,0.0,15.0,0.0,15.0,e2,CgMe-PPh,nF,0.39990000000000003
16,0.0,16.0,0.0,16.0,e1,tBPh-CPhos,nC,0.191
17,0.0,17.0,0.0,17.0,e3,Cy-BippyPhos,nC,0.5107
18,0.0,18.0,0.0,18.0,e4,P(fur)3,nG,0.0154
19,0.0,19.0,0.0,19.0,e1,JackiePhos,nE,0.084
20,0.0,20.0,0.0,20.0,e10,PPhtBu2,nG,0.2566
21,0.0,21.0,0.0,21.0,e7,PPh2Me,nD,0.1699
22,0.0,22.0,0.0,22.0,e7,BrettPhos,nA,0.0197
23,0.0,23.0,0.0,23.0,e10,PCy3 HBF4,nB,0.0086
24,0.0,24.0,0.0,24.0,e2,PPhMe2,nI,0.6146
25,0.0,25.0,0.0,25.0,e10,X-Phos,nB,0.3425
26,0.0,26.0,0.0,26.0,e5,MeO-KITPHOS,nI,0.8261
27,0.0,27.0,0.0,27.0,e10,CgMe-PPh,nF,0.9317
28,0.0,28.0,0.0,28.0,e2,Cy-BippyPhos,nB,0.33799999999999997
29,0.0,29.0,0.0,29.0,e4,Cy-vBRIDP,nF,0.0886
30,0.0,30.0,0.0,30.0,e10,Cy-vBRIDP,nF,0.9109
31,0.0,31.0,0.0,31.0,e3,X-Phos,nB,0.2082
32,0.0,32.0,0.0,32.0,e7,PPh2Me,nA,0.2702
33,0.0,33.0,0.0,33.0,e5,PPhMe2,nD,0.7994
34,0.0,34.0,0.0,34.0,e3,PPhtBu2,nE,0.1517
35,0.0,35.0,0.0,35.0,e3,PPhtBu2,nA,0.3385
36,0.0,36.0,0.0,36.0,e1,PPhMe2,nF,0.0004
37,0.0,37.0,0.0,37.0,e4,CX-PICy,nC,0.6359
38,0.0,38.0,0.0,38.0,e9,PnBu3 HBF4,nA,0.23929999999999998
39,0.0,39.0,0.0,39.0,e5,CgMe-PPh,nI,0.9012
40,0.0,40.0,0.0,40.0,e5,CX-FBu,nE,0.0269
41,0.0,41.0,0.0,41.0,e9,Kwong,nI,0.45409999999999995
42,0.0,42.0,0.0,42.0,e5,Kwong,nC,0.6829000000000001
43,0.0,43.0,0.0,43.0,e4,"P(3,5-CF3-Ph)3",nI,0.0758
44,0.0,44.0,0.0,44.0,e10,Kwong,nC,0.659
45,0.0,45.0,0.0,45.0,e9,Et-PhenCar-Phos,nA,0.4843
46,0.0,46.0,0.0,46.0,e5,Cy-DavePhos,nB,0.33299999999999996
47,0.0,47.0,0.0,47.0,e5,CgMe-PPh,nA,0.1929
48,0.0,48.0,0.0,48.0,e2,MeO-KITPHOS,nI,0.6523
49,0.0,49.0,0.0,49.0,e2,Cy-vBRIDP,nD,0.8855
50,0.0,50.0,0.0,50.0,e1,MeO-KITPHOS,nA,0.1493
51,0.0,51.0,0.0,51.0,e1,Ph-PhenCar-Phos,nA,0.1934
52,0.0,52.0,0.0,52.0,e4,PPhtBu2,nI,0.0
53,0.0,53.0,0.0,53.0,e7,PPh3,nF,0.5585
