,num_sims,round,experiment,horizon,chosen_arm,reward,cumulative_reward
0,0.0,0.0,0.0,0.0,15.0,0.8035,0.8035
1,0.0,1.0,0.0,1.0,21.0,0.8399,1.6434
2,0.0,2.0,0.0,2.0,5.0,0.6829999999999999,2.3264
3,0.0,3.0,0.0,3.0,9.0,0.4629,2.7893
4,0.0,4.0,0.0,4.0,11.0,0.3736,3.1629
5,0.0,5.0,0.0,5.0,1.0,0.39990000000000003,3.5628
6,0.0,6.0,0.0,6.0,2.0,0.0034000000000000002,3.5662000000000003
7,0.0,7.0,0.0,7.0,10.0,0.9028,4.469
8,0.0,8.0,0.0,8.0,9.0,0.0718,4.5408
9,0.0,9.0,0.0,9.0,16.0,0.0172,4.558
10,0.0,10.0,0.0,10.0,11.0,0.41479999999999995,4.972799999999999
11,0.0,11.0,0.0,11.0,0.0,0.0962,5.068999999999999
12,0.0,12.0,0.0,12.0,23.0,0.3239,5.392899999999999
13,0.0,13.0,0.0,13.0,4.0,0.0059,5.398799999999999
14,0.0,14.0,0.0,14.0,8.0,0.0123,5.4110999999999985
15,0.0,15.0,0.0,15.0,20.0,0.39990000000000003,5.810999999999998
16,0.0,16.0,0.0,16.0,16.0,0.191,6.001999999999998
17,0.0,17.0,0.0,17.0,18.0,0.5107,6.512699999999998
18,0.0,18.0,0.0,18.0,12.0,0.0154,6.528099999999998
19,0.0,19.0,0.0,19.0,10.0,0.084,6.612099999999997
20,0.0,20.0,0.0,20.0,15.0,0.2566,6.868699999999997
21,0.0,21.0,0.0,21.0,14.0,0.1699,7.038599999999997
22,0.0,22.0,0.0,22.0,1.0,0.0197,7.058299999999997
23,0.0,23.0,0.0,23.0,19.0,0.0086,7.066899999999998
24,0.0,24.0,0.0,24.0,17.0,0.6146,7.681499999999998
25,0.0,25.0,0.0,25.0,22.0,0.3425,8.023999999999997
26,0.0,26.0,0.0,26.0,7.0,0.8261,8.850099999999998
27,0.0,27.0,0.0,27.0,20.0,0.9317,9.781799999999997
28,0.0,28.0,0.0,28.0,18.0,0.33799999999999997,10.119799999999996
29,0.0,29.0,0.0,29.0,5.0,0.0886,10.208399999999996
30,0.0,30.0,0.0,30.0,5.0,0.9109,11.119299999999996
31,0.0,31.0,0.0,31.0,22.0,0.2082,11.327499999999995
32,0.0,32.0,0.0,32.0,14.0,0.2702,11.597699999999996
33,0.0,33.0,0.0,33.0,17.0,0.7994,12.397099999999996
34,0.0,34.0,0.0,34.0,15.0,0.1517,12.548799999999996
35,0.0,35.0,0.0,35.0,15.0,0.3385,12.887299999999996
36,0.0,36.0,0.0,36.0,17.0,0.0004,12.887699999999997
37,0.0,37.0,0.0,37.0,3.0,0.6359,13.523599999999997
38,0.0,38.0,0.0,38.0,23.0,0.23929999999999998,13.762899999999997
39,0.0,39.0,0.0,39.0,20.0,0.9012,14.664099999999996
40,0.0,40.0,0.0,40.0,2.0,0.0269,14.690999999999995
41,0.0,41.0,0.0,41.0,6.0,0.45409999999999995,15.145099999999996
42,0.0,42.0,0.0,42.0,6.0,0.6829000000000001,15.827999999999996
43,0.0,43.0,0.0,43.0,11.0,0.0758,15.903799999999995
