,num_sims,round,experiment,horizon,electrophile_id,ligand_name,nucleophile_id,yield
0,0.0,0.0,0.0,0.0,e7,PnBu3 HBF4,nF,0.0554
1,0.0,1.0,0.0,1.0,e1,tBPh-CPhos,nD,0.5512
2,0.0,2.0,0.0,2.0,e9,PPhtBu2,nF,0.0555
3,0.0,3.0,0.0,3.0,e1,tBPh-CPhos,nI,0.2575
4,0.0,4.0,0.0,4.0,e7,tBPh-CPhos,nC,0.66
5,0.0,5.0,0.0,5.0,e1,X-Phos,nE,0.0406
6,0.0,6.0,0.0,6.0,e7,A-caPhos,nA,0.23870000000000002
7,0.0,7.0,0.0,7.0,e5,tBPh-CPhos,nD,0.7979
8,0.0,8.0,0.0,8.0,e5,tBPh-CPhos,nC,0.7134999999999999
9,0.0,9.0,0.0,9.0,e10,PPh2Me,nI,0.07719999999999999
10,0.0,10.0,0.0,10.0,e2,A-caPhos,nA,0.0
11,0.0,11.0,0.0,11.0,e2,tBPh-CPhos,nI,0.6949
12,0.0,12.0,0.0,12.0,e9,tBPh-CPhos,nD,0.7818
13,0.0,13.0,0.0,13.0,e4,tBPh-CPhos,nC,0.3096
14,0.0,14.0,0.0,14.0,e1,tBPh-CPhos,nF,0.2316
15,0.0,15.0,0.0,15.0,e3,Et-PhenCar-Phos,nI,0.2839
16,0.0,16.0,0.0,16.0,e2,tBPh-CPhos,nB,0.3347
17,0.0,17.0,0.0,17.0,e4,tBPh-CPhos,nI,0.0051
18,0.0,18.0,0.0,18.0,e2,tBPh-CPhos,nF,0.9632999999999999
19,0.0,19.0,0.0,19.0,e9,tBPh-CPhos,nC,0.37560000000000004
20,0.0,20.0,0.0,20.0,e7,tBPh-CPhos,nD,1.0
21,0.0,21.0,0.0,21.0,e3,tBPh-CPhos,nD,0.7068000000000001
22,0.0,22.0,0.0,22.0,e9,tBPh-CPhos,nI,0.8711
23,0.0,23.0,0.0,23.0,e7,tBPh-CPhos,nB,0.3214
24,0.0,24.0,0.0,24.0,e9,JackiePhos,nA,0.4703
25,0.0,25.0,0.0,25.0,e10,P(o-Anis)3,nF,0.004699999999999999
26,0.0,26.0,0.0,26.0,e10,tBPh-CPhos,nE,0.12300000000000001
27,0.0,27.0,0.0,27.0,e9,PPh3,nC,0.35100000000000003
