,num_sims,round,experiment,horizon,electrophile_id,ligand_name,nucleophile_id,yield
0,0.0,0.0,0.0,0.0,e9,BrettPhos,nE,0.011399999999999999
1,0.0,1.0,0.0,1.0,e9,P(o-Anis)3,nG,0.2125
2,0.0,2.0,0.0,2.0,e9,PCy3 HBF4,nI,0.5156000000000001
3,0.0,3.0,0.0,3.0,e3,P(fur)3,nD,0.5796
4,0.0,4.0,0.0,4.0,e1,Cy-vBRIDP,nC,0.0173
5,0.0,5.0,0.0,5.0,e10,PCy3 HBF4,nD,0.5341
6,0.0,6.0,0.0,6.0,e7,X-Phos,nI,0.0722
7,0.0,7.0,0.0,7.0,e5,PPhtBu2,nE,0.23120000000000002
8,0.0,8.0,0.0,8.0,e2,Ph-PhenCar-Phos,nD,0.218
9,0.0,9.0,0.0,9.0,e3,JackiePhos,nI,0.45549999999999996
10,0.0,10.0,0.0,10.0,e1,A-caPhos,nI,0.0292
11,0.0,11.0,0.0,11.0,e9,P(fur)3,nD,0.6665000000000001
12,0.0,12.0,0.0,12.0,e4,MeO-KITPHOS,nF,0.12269999999999999
13,0.0,13.0,0.0,13.0,e7,"P(3,5-CF3-Ph)3",nA,0.1534
14,0.0,14.0,0.0,14.0,e1,Cy-BippyPhos,nB,0.1637
15,0.0,15.0,0.0,15.0,e2,PnBu3 HBF4,nG,0.0475
16,0.0,16.0,0.0,16.0,e5,Ph-PhenCar-Phos,nA,0.0165
17,0.0,17.0,0.0,17.0,e5,P(fur)3,nF,0.68
18,0.0,18.0,0.0,18.0,e10,P(o-Anis)3,nG,0.039
19,0.0,19.0,0.0,19.0,e7,PPh3,nA,0.3892
20,0.0,20.0,0.0,20.0,e2,P(fur)3,nF,0.46490000000000004
21,0.0,21.0,0.0,21.0,e7,CX-PICy,nA,0.415
22,0.0,22.0,0.0,22.0,e10,PPh2Me,nG,0.0005
23,0.0,23.0,0.0,23.0,e10,CX-FBu,nF,0.1391
24,0.0,24.0,0.0,24.0,e7,CgMe-PPh,nC,0.42840000000000006
25,0.0,25.0,0.0,25.0,e9,PPh3,nB,0.0708
26,0.0,26.0,0.0,26.0,e7,Cy-DavePhos,nA,0.41009999999999996
27,0.0,27.0,0.0,27.0,e4,tBPh-CPhos,nB,0.0049
