,num_sims,round,experiment,horizon,electrophile_id,ligand_name,nucleophile_id,yield
0,0.0,0.0,0.0,0.0,e9,Cy-BippyPhos,nA,0.5436
1,0.0,1.0,0.0,1.0,e10,CgMe-PPh,nD,0.9706999999999999
2,0.0,2.0,0.0,2.0,e2,P(fur)3,nC,0.5241
3,0.0,3.0,0.0,3.0,e7,X-Phos,nG,0.037000000000000005
4,0.0,4.0,0.0,4.0,e9,P(o-Anis)3,nB,0.056900000000000006
5,0.0,5.0,0.0,5.0,e7,PPhMe2,nE,0.015300000000000001
6,0.0,6.0,0.0,6.0,e10,tBPh-CPhos,nA,0.7347
7,0.0,7.0,0.0,7.0,e7,PCy3 HBF4,nG,0.0218
8,0.0,8.0,0.0,8.0,e9,A-caPhos,nE,0.114
9,0.0,9.0,0.0,9.0,e5,PPh2Me,nI,0.1832
10,0.0,10.0,0.0,10.0,e5,P(fur)3,nF,0.68
11,0.0,11.0,0.0,11.0,e1,Ph-PhenCar-Phos,nA,0.1934
12,0.0,12.0,0.0,12.0,e7,MeO-KITPHOS,nC,0.2531
13,0.0,13.0,0.0,13.0,e4,JackiePhos,nI,0.0124
14,0.0,14.0,0.0,14.0,e1,CX-FBu,nC,0.0
15,0.0,15.0,0.0,15.0,e5,tBPh-CPhos,nD,0.7979
16,0.0,16.0,0.0,16.0,e7,BrettPhos,nC,0.0
17,0.0,17.0,0.0,17.0,e7,CX-PICy,nD,1.0
18,0.0,18.0,0.0,18.0,e3,tBPh-CPhos,nI,0.46740000000000004
19,0.0,19.0,0.0,19.0,e9,PPh3,nE,0.0956
20,0.0,20.0,0.0,20.0,e4,"P(3,5-CF3-Ph)3",nG,0.0037
21,0.0,21.0,0.0,21.0,e5,Kwong,nA,0.5579999999999999
22,0.0,22.0,0.0,22.0,e10,CgMe-PPh,nC,0.7513
23,0.0,23.0,0.0,23.0,e3,PPhtBu2,nD,0.6736
24,0.0,24.0,0.0,24.0,e3,CX-PICy,nA,0.33520000000000005
25,0.0,25.0,0.0,25.0,e3,Cy-BippyPhos,nA,0.6756
26,0.0,26.0,0.0,26.0,e4,Cy-vBRIDP,nF,0.0886
27,0.0,27.0,0.0,27.0,e5,Cy-DavePhos,nE,0.23870000000000002
28,0.0,28.0,0.0,28.0,e1,Kwong,nE,0.0596
29,0.0,29.0,0.0,29.0,e3,PCy3 HBF4,nC,0.5257000000000001
30,0.0,30.0,0.0,30.0,e10,CgMe-PPh,nE,0.0814
31,0.0,31.0,0.0,31.0,e5,P(fur)3,nG,0.45649999999999996
32,0.0,32.0,0.0,32.0,e4,PPhtBu2,nC,0.015700000000000002
33,0.0,33.0,0.0,33.0,e10,tBPh-CPhos,nD,0.9968
34,0.0,34.0,0.0,34.0,e9,Kwong,nE,0.1643
35,0.0,35.0,0.0,35.0,e2,Cy-vBRIDP,nG,0.23989999999999997
