,num_sims,round,experiment,horizon,electrophile_id,ligand_name,nucleophile_id,yield
0,0.0,0.0,0.0,0.0,e10,A-caPhos,nA,0.3095
1,0.0,1.0,0.0,1.0,e7,BrettPhos,nC,0.0
2,0.0,2.0,0.0,2.0,e9,CX-FBu,nB,0.0044
3,0.0,3.0,0.0,3.0,e4,CX-PICy,nE,0.0
4,0.0,4.0,0.0,4.0,e10,Cy-DavePhos,nE,0.11869999999999999
5,0.0,5.0,0.0,5.0,e9,Cy-vBRIDP,nC,0.35960000000000003
6,0.0,6.0,0.0,6.0,e2,Kwong,nG,0.1564
7,0.0,7.0,0.0,7.0,e5,MeO-KITPHOS,nD,0.7243999999999999
8,0.0,8.0,0.0,8.0,e7,P(o-Anis)3,nF,0.1313
9,0.0,9.0,0.0,9.0,e1,Et-PhenCar-Phos,nB,0.0634
10,0.0,10.0,0.0,10.0,e3,JackiePhos,nD,0.6722
11,0.0,11.0,0.0,11.0,e9,"P(3,5-CF3-Ph)3",nA,0.2666
12,0.0,12.0,0.0,12.0,e10,P(fur)3,nG,0.4868
13,0.0,13.0,0.0,13.0,e3,Ph-PhenCar-Phos,nI,0.2086
14,0.0,14.0,0.0,14.0,e3,PPh2Me,nF,0.5141
15,0.0,15.0,0.0,15.0,e7,PPhtBu2,nE,0.0143
16,0.0,16.0,0.0,16.0,e4,tBPh-CPhos,nC,0.3096
17,0.0,17.0,0.0,17.0,e5,PPhMe2,nB,0.315
18,0.0,18.0,0.0,18.0,e5,Cy-BippyPhos,nA,0.7461
19,0.0,19.0,0.0,19.0,e2,PCy3 HBF4,nE,0.009399999999999999
20,0.0,20.0,0.0,20.0,e9,CgMe-PPh,nG,0.5371
21,0.0,21.0,0.0,21.0,e2,PPh3,nE,0.0553
22,0.0,22.0,0.0,22.0,e7,X-Phos,nE,0.0029
23,0.0,23.0,0.0,23.0,e3,PnBu3 HBF4,nB,0.0168
24,0.0,24.0,0.0,24.0,e1,Cy-BippyPhos,nI,0.1726
25,0.0,25.0,0.0,25.0,e10,MeO-KITPHOS,nA,0.5143
26,0.0,26.0,0.0,26.0,e1,JackiePhos,nC,0.17170000000000002
27,0.0,27.0,0.0,27.0,e4,CgMe-PPh,nF,0.1605
28,0.0,28.0,0.0,28.0,e7,PPh2Me,nI,0.09390000000000001
29,0.0,29.0,0.0,29.0,e9,P(fur)3,nA,0.0004
30,0.0,30.0,0.0,30.0,e5,Cy-vBRIDP,nG,0.3983
31,0.0,31.0,0.0,31.0,e5,PPhMe2,nA,0.7064
32,0.0,32.0,0.0,32.0,e5,tBPh-CPhos,nB,0.30519999999999997
33,0.0,33.0,0.0,33.0,e1,A-caPhos,nE,0.0432
34,0.0,34.0,0.0,34.0,e4,"P(3,5-CF3-Ph)3",nA,0.0
35,0.0,35.0,0.0,35.0,e4,Ph-PhenCar-Phos,nE,0.0
36,0.0,36.0,0.0,36.0,e10,Kwong,nD,0.9167000000000001
37,0.0,37.0,0.0,37.0,e5,P(o-Anis)3,nC,0.2445
38,0.0,38.0,0.0,38.0,e4,Cy-DavePhos,nC,0.332
39,0.0,39.0,0.0,39.0,e2,Et-PhenCar-Phos,nF,0.49579999999999996
40,0.0,40.0,0.0,40.0,e1,PPh3,nD,0.11410000000000001
41,0.0,41.0,0.0,41.0,e9,PnBu3 HBF4,nF,0.0279
42,0.0,42.0,0.0,42.0,e4,PPhtBu2,nC,0.015700000000000002
43,0.0,43.0,0.0,43.0,e10,PCy3 HBF4,nD,0.5341
44,0.0,44.0,0.0,44.0,e4,CX-FBu,nA,0.0
45,0.0,45.0,0.0,45.0,e5,X-Phos,nA,0.6994
46,0.0,46.0,0.0,46.0,e5,BrettPhos,nG,0.0414
47,0.0,47.0,0.0,47.0,e7,CX-PICy,nA,0.415
48,0.0,48.0,0.0,48.0,e9,MeO-KITPHOS,nE,0.1119
49,0.0,49.0,0.0,49.0,e5,Kwong,nF,0.0087
50,0.0,50.0,0.0,50.0,e10,PPhMe2,nF,0.9327
51,0.0,51.0,0.0,51.0,e4,Cy-BippyPhos,nF,0.1295
52,0.0,52.0,0.0,52.0,e2,JackiePhos,nF,0.5571
53,0.0,53.0,0.0,53.0,e1,Cy-vBRIDP,nB,0.0771
54,0.0,54.0,0.0,54.0,e4,X-Phos,nB,0.0046
55,0.0,55.0,0.0,55.0,e1,CgMe-PPh,nA,0.7061
56,0.0,56.0,0.0,56.0,e10,tBPh-CPhos,nG,0.1598
57,0.0,57.0,0.0,57.0,e10,PPh2Me,nI,0.07719999999999999
58,0.0,58.0,0.0,58.0,e1,PPhMe2,nC,0.0
59,0.0,59.0,0.0,59.0,e9,Et-PhenCar-Phos,nA,0.4843
60,0.0,60.0,0.0,60.0,e4,PCy3 HBF4,nC,0.09910000000000001
61,0.0,61.0,0.0,61.0,e7,P(fur)3,nD,0.3128
62,0.0,62.0,0.0,62.0,e9,Cy-DavePhos,nC,0.3711
63,0.0,63.0,0.0,63.0,e1,CX-PICy,nC,0.19
64,0.0,64.0,0.0,64.0,e9,P(o-Anis)3,nC,0.35369999999999996
65,0.0,65.0,0.0,65.0,e1,A-caPhos,nB,0.058600000000000006
66,0.0,66.0,0.0,66.0,e2,"P(3,5-CF3-Ph)3",nE,0.1153
67,0.0,67.0,0.0,67.0,e10,Ph-PhenCar-Phos,nA,0.3872
68,0.0,68.0,0.0,68.0,e2,CgMe-PPh,nD,0.8824
69,0.0,69.0,0.0,69.0,e3,JackiePhos,nC,0.5054
70,0.0,70.0,0.0,70.0,e3,PPh3,nA,0.08380000000000001
71,0.0,71.0,0.0,71.0,e10,MeO-KITPHOS,nF,0.9062
72,0.0,72.0,0.0,72.0,e10,PnBu3 HBF4,nA,0.1305
73,0.0,73.0,0.0,73.0,e4,BrettPhos,nI,0.0125
74,0.0,74.0,0.0,74.0,e5,PPhtBu2,nB,0.2763
75,0.0,75.0,0.0,75.0,e7,CX-FBu,nG,0.0097
76,0.0,76.0,0.0,76.0,e9,Kwong,nC,0.3489
77,0.0,77.0,0.0,77.0,e7,Cy-BippyPhos,nA,0.5512
78,0.0,78.0,0.0,78.0,e2,Et-PhenCar-Phos,nG,0.20670000000000002
79,0.0,79.0,0.0,79.0,e1,CgMe-PPh,nF,0.1659
80,0.0,80.0,0.0,80.0,e4,MeO-KITPHOS,nA,0.0311
81,0.0,81.0,0.0,81.0,e7,Cy-vBRIDP,nI,0.2576
82,0.0,82.0,0.0,82.0,e5,Cy-DavePhos,nD,0.7529
83,0.0,83.0,0.0,83.0,e2,P(fur)3,nA,0.7803
84,0.0,84.0,0.0,84.0,e7,tBPh-CPhos,nB,0.3214
85,0.0,85.0,0.0,85.0,e4,PPhMe2,nG,0.008
86,0.0,86.0,0.0,86.0,e1,JackiePhos,nF,0.2493
87,0.0,87.0,0.0,87.0,e2,P(o-Anis)3,nI,0.2982
88,0.0,88.0,0.0,88.0,e9,X-Phos,nE,0.1517
89,0.0,89.0,0.0,89.0,e4,PPh2Me,nA,0.0
90,0.0,90.0,0.0,90.0,e2,PCy3 HBF4,nG,0.020099999999999996
91,0.0,91.0,0.0,91.0,e3,CX-PICy,nE,0.1494
92,0.0,92.0,0.0,92.0,e2,Ph-PhenCar-Phos,nI,0.3155
93,0.0,93.0,0.0,93.0,e2,Cy-BippyPhos,nA,0.9259000000000001
94,0.0,94.0,0.0,94.0,e4,P(fur)3,nC,0.5131
95,0.0,95.0,0.0,95.0,e1,Cy-DavePhos,nA,0.3147
96,0.0,96.0,0.0,96.0,e9,A-caPhos,nG,0.4111
97,0.0,97.0,0.0,97.0,e1,"P(3,5-CF3-Ph)3",nC,0.016200000000000003
98,0.0,98.0,0.0,98.0,e4,Kwong,nE,0.0
99,0.0,99.0,0.0,99.0,e9,Cy-BippyPhos,nD,0.7172
100,0.0,100.0,0.0,100.0,e5,PPhtBu2,nG,0.3299
101,0.0,101.0,0.0,101.0,e10,CgMe-PPh,nF,0.9317
102,0.0,102.0,0.0,102.0,e9,PPh3,nB,0.0708
103,0.0,103.0,0.0,103.0,e3,Et-PhenCar-Phos,nE,0.1656
104,0.0,104.0,0.0,104.0,e9,MeO-KITPHOS,nF,0.2861
105,0.0,105.0,0.0,105.0,e2,PnBu3 HBF4,nD,0.892
106,0.0,106.0,0.0,106.0,e3,CgMe-PPh,nC,0.5447
107,0.0,107.0,0.0,107.0,e3,tBPh-CPhos,nI,0.46740000000000004
108,0.0,108.0,0.0,108.0,e7,Cy-vBRIDP,nE,0.0165
109,0.0,109.0,0.0,109.0,e9,JackiePhos,nG,0.5607
110,0.0,110.0,0.0,110.0,e3,PnBu3 HBF4,nD,0.43979999999999997
111,0.0,111.0,0.0,111.0,e7,Cy-BippyPhos,nD,1.0
112,0.0,112.0,0.0,112.0,e4,P(o-Anis)3,nD,0.0222
113,0.0,113.0,0.0,113.0,e4,P(fur)3,nD,0.020499999999999997
114,0.0,114.0,0.0,114.0,e7,BrettPhos,nF,0.0269
115,0.0,115.0,0.0,115.0,e3,CX-FBu,nC,0.0436
116,0.0,116.0,0.0,116.0,e9,PPhMe2,nF,0.023399999999999997
117,0.0,117.0,0.0,117.0,e7,Cy-BippyPhos,nI,0.7872
118,0.0,118.0,0.0,118.0,e10,Ph-PhenCar-Phos,nD,0.16399999999999998
119,0.0,119.0,0.0,119.0,e2,X-Phos,nD,0.7909
120,0.0,120.0,0.0,120.0,e7,Cy-DavePhos,nF,0.08259999999999999
121,0.0,121.0,0.0,121.0,e3,A-caPhos,nA,0.3554
122,0.0,122.0,0.0,122.0,e4,CX-PICy,nA,0.0222
123,0.0,123.0,0.0,123.0,e7,CgMe-PPh,nC,0.42840000000000006
124,0.0,124.0,0.0,124.0,e10,Cy-BippyPhos,nE,0.10869999999999999
125,0.0,125.0,0.0,125.0,e5,PPh2Me,nE,0.2182
126,0.0,126.0,0.0,126.0,e4,JackiePhos,nC,0.23170000000000002
127,0.0,127.0,0.0,127.0,e7,PCy3 HBF4,nC,0.4393
128,0.0,128.0,0.0,128.0,e1,X-Phos,nG,0.059500000000000004
129,0.0,129.0,0.0,129.0,e3,PPhtBu2,nA,0.3385
130,0.0,130.0,0.0,130.0,e7,tBPh-CPhos,nG,0.12240000000000001
131,0.0,131.0,0.0,131.0,e10,MeO-KITPHOS,nC,0.6839
132,0.0,132.0,0.0,132.0,e4,PnBu3 HBF4,nG,0.0046
133,0.0,133.0,0.0,133.0,e4,Kwong,nI,0.0
134,0.0,134.0,0.0,134.0,e3,Et-PhenCar-Phos,nD,0.6102000000000001
135,0.0,135.0,0.0,135.0,e7,"P(3,5-CF3-Ph)3",nI,0.4742
136,0.0,136.0,0.0,136.0,e10,CgMe-PPh,nI,0.9721
137,0.0,137.0,0.0,137.0,e1,MeO-KITPHOS,nE,0.027200000000000002
138,0.0,138.0,0.0,138.0,e9,PPh3,nF,0.7392
139,0.0,139.0,0.0,139.0,e5,A-caPhos,nD,0.7994
140,0.0,140.0,0.0,140.0,e10,CgMe-PPh,nB,0.2642
141,0.0,141.0,0.0,141.0,e2,P(fur)3,nE,0.1346
142,0.0,142.0,0.0,142.0,e1,Cy-vBRIDP,nI,0.0557
143,0.0,143.0,0.0,143.0,e1,PCy3 HBF4,nF,0.0296
144,0.0,144.0,0.0,144.0,e10,Ph-PhenCar-Phos,nF,0.1598
145,0.0,145.0,0.0,145.0,e9,Et-PhenCar-Phos,nC,0.3649
146,0.0,146.0,0.0,146.0,e4,PPh3,nC,0.3431
147,0.0,147.0,0.0,147.0,e3,Cy-BippyPhos,nD,0.6755
148,0.0,148.0,0.0,148.0,e4,P(o-Anis)3,nC,0.1711
149,0.0,149.0,0.0,149.0,e1,PPhMe2,nI,0.0022
150,1.0,0.0,0.0,0.0,e9,A-caPhos,nD,0.5747
151,1.0,1.0,0.0,1.0,e4,BrettPhos,nE,0.0
152,1.0,2.0,0.0,2.0,e3,CX-FBu,nC,0.0436
153,1.0,3.0,0.0,3.0,e10,CX-PICy,nB,0.298
154,1.0,4.0,0.0,4.0,e7,Cy-DavePhos,nG,0.2397
155,1.0,5.0,0.0,5.0,e10,Cy-vBRIDP,nG,0.3715
156,1.0,6.0,0.0,6.0,e7,Kwong,nG,0.1081
157,1.0,7.0,0.0,7.0,e5,MeO-KITPHOS,nA,0.7190000000000001
158,1.0,8.0,0.0,8.0,e4,P(o-Anis)3,nB,0.0048
159,1.0,9.0,0.0,9.0,e4,Et-PhenCar-Phos,nD,0.024700000000000003
160,1.0,10.0,0.0,10.0,e10,JackiePhos,nG,0.2228
161,1.0,11.0,0.0,11.0,e4,"P(3,5-CF3-Ph)3",nI,0.0758
162,1.0,12.0,0.0,12.0,e4,P(fur)3,nB,0.004699999999999999
163,1.0,13.0,0.0,13.0,e7,Ph-PhenCar-Phos,nB,0.10619999999999999
164,1.0,14.0,0.0,14.0,e4,PPh2Me,nF,0.0588
165,1.0,15.0,0.0,15.0,e10,PPhtBu2,nG,0.2566
166,1.0,16.0,0.0,16.0,e1,tBPh-CPhos,nF,0.2316
167,1.0,17.0,0.0,17.0,e5,PPhMe2,nI,0.7283
168,1.0,18.0,0.0,18.0,e5,Cy-BippyPhos,nI,0.8695
169,1.0,19.0,0.0,19.0,e9,PCy3 HBF4,nG,0.4389
170,1.0,20.0,0.0,20.0,e3,CgMe-PPh,nG,0.6764
171,1.0,21.0,0.0,21.0,e10,PPh3,nC,0.8177
172,1.0,22.0,0.0,22.0,e5,X-Phos,nD,0.8125
173,1.0,23.0,0.0,23.0,e4,PnBu3 HBF4,nI,0.0
174,1.0,24.0,0.0,24.0,e2,Cy-BippyPhos,nF,0.49420000000000003
175,1.0,25.0,0.0,25.0,e4,PPh3,nG,0.0161
176,1.0,26.0,0.0,26.0,e1,X-Phos,nB,0.1288
177,1.0,27.0,0.0,27.0,e2,PPhMe2,nI,0.6146
178,1.0,28.0,0.0,28.0,e10,MeO-KITPHOS,nB,0.3985
179,1.0,29.0,0.0,29.0,e5,CgMe-PPh,nF,0.5071
180,1.0,30.0,0.0,30.0,e7,A-caPhos,nB,0.15130000000000002
181,1.0,31.0,0.0,31.0,e3,PCy3 HBF4,nC,0.5257000000000001
182,1.0,32.0,0.0,32.0,e10,Cy-vBRIDP,nI,0.8522
183,1.0,33.0,0.0,33.0,e7,CX-PICy,nE,0.0332
184,1.0,34.0,0.0,34.0,e4,PPhtBu2,nC,0.015700000000000002
185,1.0,35.0,0.0,35.0,e9,Cy-DavePhos,nI,0.637
186,1.0,36.0,0.0,36.0,e1,tBPh-CPhos,nE,0.0852
187,1.0,37.0,0.0,37.0,e5,JackiePhos,nF,0.0121
188,1.0,38.0,0.0,38.0,e2,Kwong,nE,0.1297
189,1.0,39.0,0.0,39.0,e5,Ph-PhenCar-Phos,nB,0.0062
190,1.0,40.0,0.0,40.0,e2,"P(3,5-CF3-Ph)3",nB,0.23739999999999997
191,1.0,41.0,0.0,41.0,e5,PPh2Me,nI,0.1832
192,1.0,42.0,0.0,42.0,e5,CX-FBu,nD,0.14980000000000002
193,1.0,43.0,0.0,43.0,e2,Et-PhenCar-Phos,nA,0.9159
194,1.0,44.0,0.0,44.0,e10,P(o-Anis)3,nF,0.004699999999999999
195,1.0,45.0,0.0,45.0,e5,P(fur)3,nB,0.18469999999999998
196,1.0,46.0,0.0,46.0,e10,BrettPhos,nE,0.0509
197,1.0,47.0,0.0,47.0,e10,PnBu3 HBF4,nI,0.2443
198,1.0,48.0,0.0,48.0,e5,Cy-BippyPhos,nA,0.7461
199,1.0,49.0,0.0,49.0,e2,PPhMe2,nA,0.8941
200,1.0,50.0,0.0,50.0,e4,Cy-vBRIDP,nB,0.005
