,num_sims,round,experiment,horizon,electrophile_id,ligand_name,nucleophile_id,yield
0,0.0,0.0,0.0,0.0,e3,A-caPhos,nE,0.0653
1,0.0,1.0,0.0,1.0,e1,BrettPhos,nE,0.0034000000000000002
2,0.0,2.0,0.0,2.0,e9,CX-FBu,nC,0.049
3,0.0,3.0,0.0,3.0,e4,CX-PICy,nG,0.0255
4,0.0,4.0,0.0,4.0,e4,Cy-DavePhos,nI,0.0265
5,0.0,5.0,0.0,5.0,e2,Cy-vBRIDP,nG,0.23989999999999997
6,0.0,6.0,0.0,6.0,e1,Kwong,nG,0.0277
7,0.0,7.0,0.0,7.0,e1,MeO-KITPHOS,nB,0.0279
8,0.0,8.0,0.0,8.0,e2,P(o-Anis)3,nA,0.2832
9,0.0,9.0,0.0,9.0,e4,Et-PhenCar-Phos,nC,0.4901
10,0.0,10.0,0.0,10.0,e10,JackiePhos,nE,0.10779999999999999
11,0.0,11.0,0.0,11.0,e7,"P(3,5-CF3-Ph)3",nF,0.4525
12,0.0,12.0,0.0,12.0,e1,P(fur)3,nG,0.010700000000000001
13,0.0,13.0,0.0,13.0,e9,Ph-PhenCar-Phos,nI,0.5029
14,0.0,14.0,0.0,14.0,e3,PPh2Me,nF,0.5141
15,0.0,15.0,0.0,15.0,e3,PPhtBu2,nD,0.6736
16,0.0,16.0,0.0,16.0,e5,tBPh-CPhos,nA,0.7426999999999999
17,0.0,17.0,0.0,17.0,e9,PPhMe2,nB,0.0432
18,0.0,18.0,0.0,18.0,e9,Cy-BippyPhos,nA,0.5436
19,0.0,19.0,0.0,19.0,e5,PCy3 HBF4,nG,0.0542
20,0.0,20.0,0.0,20.0,e5,CgMe-PPh,nE,0.0279
21,0.0,21.0,0.0,21.0,e2,PPh3,nI,0.5711999999999999
22,0.0,22.0,0.0,22.0,e9,X-Phos,nD,0.7726000000000001
23,0.0,23.0,0.0,23.0,e5,PnBu3 HBF4,nC,0.726
24,0.0,24.0,0.0,24.0,e1,X-Phos,nB,0.1288
25,0.0,25.0,0.0,25.0,e7,tBPh-CPhos,nG,0.12240000000000001
26,0.0,26.0,0.0,26.0,e9,PnBu3 HBF4,nC,0.3015
27,0.0,27.0,0.0,27.0,e3,PPhtBu2,nG,0.423
28,0.0,28.0,0.0,28.0,e1,PPh3,nB,0.1356
29,0.0,29.0,0.0,29.0,e2,Cy-BippyPhos,nI,0.6635
30,0.0,30.0,0.0,30.0,e1,PPh2Me,nA,0.0542
31,0.0,31.0,0.0,31.0,e1,Ph-PhenCar-Phos,nE,0.0335
32,0.0,32.0,0.0,32.0,e5,Et-PhenCar-Phos,nE,0.2082
33,0.0,33.0,0.0,33.0,e5,"P(3,5-CF3-Ph)3",nA,0.6199
34,0.0,34.0,0.0,34.0,e7,Cy-BippyPhos,nF,0.9243000000000001
35,0.0,35.0,0.0,35.0,e10,Cy-BippyPhos,nG,0.2859
36,0.0,36.0,0.0,36.0,e4,P(o-Anis)3,nD,0.0222
37,0.0,37.0,0.0,37.0,e9,PPhtBu2,nC,0.2437
38,0.0,38.0,0.0,38.0,e2,"P(3,5-CF3-Ph)3",nB,0.23739999999999997
39,0.0,39.0,0.0,39.0,e7,Cy-vBRIDP,nB,0.18780000000000002
40,0.0,40.0,0.0,40.0,e4,PnBu3 HBF4,nG,0.0046
41,0.0,41.0,0.0,41.0,e2,X-Phos,nI,0.5517
42,0.0,42.0,0.0,42.0,e1,tBPh-CPhos,nD,0.5512
43,0.0,43.0,0.0,43.0,e10,Cy-BippyPhos,nA,0.7956
44,0.0,44.0,0.0,44.0,e1,JackiePhos,nD,0.5285
45,0.0,45.0,0.0,45.0,e1,Cy-BippyPhos,nF,0.0694
46,0.0,46.0,0.0,46.0,e4,X-Phos,nG,0.0138
47,0.0,47.0,0.0,47.0,e4,A-caPhos,nG,0.0141
48,0.0,48.0,0.0,48.0,e10,PPh3,nB,0.0302
49,0.0,49.0,0.0,49.0,e4,Et-PhenCar-Phos,nA,0.005
50,0.0,50.0,0.0,50.0,e3,PCy3 HBF4,nI,0.3468
51,0.0,51.0,0.0,51.0,e9,tBPh-CPhos,nD,0.7818
52,0.0,52.0,0.0,52.0,e2,tBPh-CPhos,nE,0.1784
53,0.0,53.0,0.0,53.0,e4,CX-FBu,nI,0.0
54,0.0,54.0,0.0,54.0,e4,PPhMe2,nF,0.0319
55,0.0,55.0,0.0,55.0,e10,MeO-KITPHOS,nD,0.9409000000000001
56,0.0,56.0,0.0,56.0,e9,MeO-KITPHOS,nF,0.2861
57,0.0,57.0,0.0,57.0,e10,CgMe-PPh,nF,0.9317
58,0.0,58.0,0.0,58.0,e7,CgMe-PPh,nC,0.42840000000000006
59,0.0,59.0,0.0,59.0,e4,CgMe-PPh,nA,0.085
60,0.0,60.0,0.0,60.0,e9,Kwong,nG,0.46149999999999997
61,0.0,61.0,0.0,61.0,e1,Cy-DavePhos,nF,0.023
62,0.0,62.0,0.0,62.0,e5,CX-PICy,nC,0.7038
63,0.0,63.0,0.0,63.0,e7,CX-PICy,nI,0.4705
64,0.0,64.0,0.0,64.0,e4,JackiePhos,nA,0.0
65,0.0,65.0,0.0,65.0,e2,PPhtBu2,nB,0.335
66,0.0,66.0,0.0,66.0,e5,P(fur)3,nE,0.1533
67,0.0,67.0,0.0,67.0,e1,BrettPhos,nC,0.0594
68,0.0,68.0,0.0,68.0,e10,"P(3,5-CF3-Ph)3",nG,0.4057
69,0.0,69.0,0.0,69.0,e1,MeO-KITPHOS,nC,0.0839
70,0.0,70.0,0.0,70.0,e9,PPh2Me,nE,0.1249
71,0.0,71.0,0.0,71.0,e4,Ph-PhenCar-Phos,nB,0.0008
72,0.0,72.0,0.0,72.0,e5,CX-PICy,nA,0.6829999999999999
73,0.0,73.0,0.0,73.0,e4,CX-PICy,nE,0.0
74,0.0,74.0,0.0,74.0,e10,Kwong,nC,0.659
75,0.0,75.0,0.0,75.0,e5,Kwong,nG,0.2466
76,0.0,76.0,0.0,76.0,e1,Cy-BippyPhos,nA,0.6164999999999999
77,0.0,77.0,0.0,77.0,e4,Cy-vBRIDP,nA,0.0
