,num_sims,round,experiment,horizon,activator_name,base_name,nucleophile_id,solvent_name,yield
0,0.0,0.0,0.0,0.0,PFTU,"2,6-Lutidine",n1,THF,0.0
1,0.0,1.0,0.0,1.0,TCFH,"2,6-Lutidine",n1,DMF,0.09753232261883016
2,0.0,2.0,0.0,2.0,HATU,Diisopropylethylamine,n1,THF,0.0317629624898641
3,0.0,3.0,0.0,3.0,PyBOP,"2,6-Lutidine",n7,THF,0.05651480722013736
4,0.0,4.0,0.0,4.0,BOP-Cl,N-methylmorpholine,n3,MeCN,0.3461853598415319
5,0.0,5.0,0.0,5.0,TFFH,N-methylmorpholine,n10,MeCN,0.033839467379775306
6,0.0,6.0,0.0,6.0,DPPCl,Diisopropylethylamine,n6,DMF,0.03326377321867515
7,0.0,7.0,0.0,7.0,HOTU,1-Methylimidazole,n7,DMF,0.6658570222647663
8,0.0,8.0,0.0,8.0,HOTU,1-Methylimidazole,n2,MeCN,0.610699780730389
9,0.0,9.0,0.0,9.0,HOTU,"2,6-Lutidine",n9,THF,0.1456770298607066
10,0.0,10.0,0.0,10.0,BOP-Cl,N-methylmorpholine,n1,THF,0.3972685392900997
11,0.0,11.0,0.0,11.0,HOTU,1-Methylimidazole,n8,DMF,0.020073025892350695
12,0.0,12.0,0.0,12.0,BOP-Cl,Diisopropylethylamine,n3,DMF,0.016515179042350402
13,0.0,13.0,0.0,13.0,TCFH,"2,6-Lutidine",n3,MeCN,0.05893889378916418
14,0.0,14.0,0.0,14.0,PyBOP,N-methylmorpholine,n7,DMF,0.23880624480129575
15,0.0,15.0,0.0,15.0,TFFH,1-Methylimidazole,n10,THF,0.0
16,0.0,16.0,0.0,16.0,DPPCl,"2,6-Lutidine",n6,MeCN,0.03660548905713878
17,0.0,17.0,0.0,17.0,HATU,N-methylmorpholine,n10,MeCN,0.0
18,0.0,18.0,0.0,18.0,PFTU,1-Methylimidazole,n3,DMF,0.1298371419556423
19,0.0,19.0,0.0,19.0,HOTU,Diisopropylethylamine,n8,THF,0.2540275873057271
20,0.0,20.0,0.0,20.0,PyBOP,1-Methylimidazole,n3,DMF,0.12532078549640377
21,0.0,21.0,0.0,21.0,BOP-Cl,1-Methylimidazole,n4,THF,0.07672320890036773
22,0.0,22.0,0.0,22.0,HOTU,1-Methylimidazole,n4,THF,0.11931835729209724
23,0.0,23.0,0.0,23.0,TCFH,Diisopropylethylamine,n5,THF,0.05069122793779032
24,0.0,24.0,0.0,24.0,PFTU,N-methylmorpholine,n1,THF,0.03430765310123441
25,0.0,25.0,0.0,25.0,DPPCl,"2,6-Lutidine",n4,THF,0.01597438267630297
26,0.0,26.0,0.0,26.0,TFFH,"2,6-Lutidine",n6,MeCN,0.015803692801261513
27,0.0,27.0,0.0,27.0,HATU,"2,6-Lutidine",n1,MeCN,0.000123476544287868
28,0.0,28.0,0.0,28.0,PyBOP,1-Methylimidazole,n7,THF,0.1916653346272363
29,0.0,29.0,0.0,29.0,HOTU,"2,6-Lutidine",n10,DMF,0.0
30,0.0,30.0,0.0,30.0,BOP-Cl,Diisopropylethylamine,n9,DMF,0.13497949855609256
31,0.0,31.0,0.0,31.0,TCFH,1-Methylimidazole,n6,THF,0.048203179071497654
32,0.0,32.0,0.0,32.0,PyBOP,Diisopropylethylamine,n8,THF,0.17282242334510228
33,0.0,33.0,0.0,33.0,PFTU,N-methylmorpholine,n6,THF,0.01766052274562736
34,0.0,34.0,0.0,34.0,BOP-Cl,1-Methylimidazole,n8,THF,0.3408066182759507
35,0.0,35.0,0.0,35.0,HOTU,"2,6-Lutidine",n8,DMF,0.4369250707561696
36,0.0,36.0,0.0,36.0,HOTU,N-methylmorpholine,n8,DMF,0.05029241144267918
37,0.0,37.0,0.0,37.0,BOP-Cl,N-methylmorpholine,n5,MeCN,0.230329299799598
38,0.0,38.0,0.0,38.0,DPPCl,Diisopropylethylamine,n2,DMF,0.40404964649550174
39,0.0,39.0,0.0,39.0,DPPCl,Diisopropylethylamine,n3,MeCN,0.20263540534143287
40,0.0,40.0,0.0,40.0,TFFH,Diisopropylethylamine,n4,THF,0.2021854692242279
41,0.0,41.0,0.0,41.0,HATU,"2,6-Lutidine",n3,DMF,0.11008228662550881
42,0.0,42.0,0.0,42.0,PyBOP,1-Methylimidazole,n10,DMF,0.21652550581383934
43,0.0,43.0,0.0,43.0,BOP-Cl,Diisopropylethylamine,n3,MeCN,0.025650304605850237
44,0.0,44.0,0.0,44.0,DPPCl,Diisopropylethylamine,n2,THF,0.5772290493652793
