,num_sims,round,experiment,horizon,activator_name,base_name,nucleophile_id,solvent_name,yield
0,0.0,0.0,0.0,0.0,PFTU,Diisopropylethylamine,n5,THF,0.0
1,0.0,1.0,0.0,1.0,TCFH,"2,6-Lutidine",n8,MeCN,0.0930474388599168
2,0.0,2.0,0.0,2.0,HATU,Diisopropylethylamine,n3,MeCN,0.31838380442486014
3,0.0,3.0,0.0,3.0,PyBOP,"2,6-Lutidine",n4,DMF,0.350068861673392
4,0.0,4.0,0.0,4.0,BOP-Cl,"2,6-Lutidine",n4,THF,0.15027538281192757
5,0.0,5.0,0.0,5.0,TFFH,Diisopropylethylamine,n1,DMF,0.21528111200447786
6,0.0,6.0,0.0,6.0,DPPCl,Diisopropylethylamine,n1,MeCN,0.29928972735028064
7,0.0,7.0,0.0,7.0,HOTU,N-methylmorpholine,n1,THF,0.0
8,0.0,8.0,0.0,8.0,PyBOP,"2,6-Lutidine",n7,MeCN,0.07173524956865848
9,0.0,9.0,0.0,9.0,HATU,N-methylmorpholine,n6,THF,0.11796462285651328
10,0.0,10.0,0.0,10.0,DPPCl,Diisopropylethylamine,n5,THF,0.31122773400729964
11,0.0,11.0,0.0,11.0,TFFH,1-Methylimidazole,n3,DMF,0.4585537674797822
12,0.0,12.0,0.0,12.0,BOP-Cl,N-methylmorpholine,n1,DMF,0.3628567677526115
13,0.0,13.0,0.0,13.0,TCFH,N-methylmorpholine,n8,DMF,0.18474591588561104
14,0.0,14.0,0.0,14.0,TFFH,N-methylmorpholine,n5,THF,0.0
15,0.0,15.0,0.0,15.0,DPPCl,"2,6-Lutidine",n8,MeCN,0.23958507229734452
16,0.0,16.0,0.0,16.0,PFTU,"2,6-Lutidine",n8,THF,0.2090346472697647
17,0.0,17.0,0.0,17.0,HOTU,N-methylmorpholine,n8,MeCN,0.4573021530267772
18,0.0,18.0,0.0,18.0,BOP-Cl,Diisopropylethylamine,n6,DMF,0.0
19,0.0,19.0,0.0,19.0,HOTU,"2,6-Lutidine",n9,DMF,0.3522479878918014
20,0.0,20.0,0.0,20.0,HATU,Diisopropylethylamine,n10,MeCN,0.3083246732118922
21,0.0,21.0,0.0,21.0,PyBOP,N-methylmorpholine,n5,THF,0.0
22,0.0,22.0,0.0,22.0,DPPCl,"2,6-Lutidine",n9,DMF,0.08900059238186646
23,0.0,23.0,0.0,23.0,HOTU,"2,6-Lutidine",n4,THF,0.10038865027494817
24,0.0,24.0,0.0,24.0,TCFH,"2,6-Lutidine",n9,THF,0.7371334889638141
25,0.0,25.0,0.0,25.0,TCFH,"2,6-Lutidine",n7,DMF,0.39739577573671786
26,0.0,26.0,0.0,26.0,TCFH,"2,6-Lutidine",n7,THF,0.640526367398124
27,0.0,27.0,0.0,27.0,TCFH,1-Methylimidazole,n1,THF,0.236338495393307
28,0.0,28.0,0.0,28.0,HATU,N-methylmorpholine,n8,DMF,0.17377914745726974
29,0.0,29.0,0.0,29.0,PFTU,N-methylmorpholine,n9,DMF,0.0666793137692062
30,0.0,30.0,0.0,30.0,TFFH,1-Methylimidazole,n7,MeCN,0.6427319227634976
31,0.0,31.0,0.0,31.0,TFFH,Diisopropylethylamine,n10,THF,0.18916438735281615
32,0.0,32.0,0.0,32.0,TCFH,N-methylmorpholine,n4,THF,0.27391822828331297
33,0.0,33.0,0.0,33.0,BOP-Cl,Diisopropylethylamine,n9,DMF,0.06660229217274866
34,0.0,34.0,0.0,34.0,TFFH,N-methylmorpholine,n1,THF,0.0
35,0.0,35.0,0.0,35.0,TCFH,"2,6-Lutidine",n8,DMF,0.2107072265151842
36,0.0,36.0,0.0,36.0,DPPCl,N-methylmorpholine,n4,MeCN,0.09260082505258796
37,0.0,37.0,0.0,37.0,HATU,"2,6-Lutidine",n3,MeCN,0.14808157325436302
38,0.0,38.0,0.0,38.0,HOTU,1-Methylimidazole,n6,DMF,0.0
39,0.0,39.0,0.0,39.0,PyBOP,1-Methylimidazole,n2,DMF,0.5566120011411148
40,0.0,40.0,0.0,40.0,PyBOP,N-methylmorpholine,n4,THF,0.042142145651259406
41,0.0,41.0,0.0,41.0,TCFH,N-methylmorpholine,n3,MeCN,0.35164524988197277
42,0.0,42.0,0.0,42.0,TCFH,1-Methylimidazole,n8,DMF,0.09843267325163044
43,0.0,43.0,0.0,43.0,PFTU,"2,6-Lutidine",n5,THF,0.01491556061691698
44,0.0,44.0,0.0,44.0,HATU,"2,6-Lutidine",n9,MeCN,0.40138850547070165
45,0.0,45.0,0.0,45.0,TFFH,1-Methylimidazole,n6,THF,0.0
46,0.0,46.0,0.0,46.0,DPPCl,N-methylmorpholine,n8,MeCN,0.2245370227069958
47,0.0,47.0,0.0,47.0,HATU,"2,6-Lutidine",n8,DMF,0.30371061480436934
48,0.0,48.0,0.0,48.0,PyBOP,1-Methylimidazole,n8,MeCN,0.25616649659567714
49,0.0,49.0,0.0,49.0,BOP-Cl,"2,6-Lutidine",n7,DMF,0.7468916268125877
50,0.0,50.0,0.0,50.0,BOP-Cl,1-Methylimidazole,n10,MeCN,0.041223720141801624
51,0.0,51.0,0.0,51.0,TCFH,1-Methylimidazole,n6,DMF,0.0
52,0.0,52.0,0.0,52.0,BOP-Cl,N-methylmorpholine,n5,MeCN,0.2352620848249543
53,0.0,53.0,0.0,53.0,HATU,1-Methylimidazole,n4,MeCN,0.03949449756546484
54,0.0,54.0,0.0,54.0,HOTU,Diisopropylethylamine,n8,DMF,0.3029126053848762
55,0.0,55.0,0.0,55.0,PyBOP,1-Methylimidazole,n9,MeCN,0.15771312543106009
56,0.0,56.0,0.0,56.0,DPPCl,Diisopropylethylamine,n8,DMF,0.0989051148392537
57,0.0,57.0,0.0,57.0,HOTU,N-methylmorpholine,n7,MeCN,0.4478551091326492
58,0.0,58.0,0.0,58.0,HOTU,1-Methylimidazole,n1,DMF,0.21001575520798305
59,0.0,59.0,0.0,59.0,BOP-Cl,1-Methylimidazole,n5,DMF,0.35662687216539196
60,0.0,60.0,0.0,60.0,BOP-Cl,Diisopropylethylamine,n4,MeCN,0.15261367299991715
61,0.0,61.0,0.0,61.0,TCFH,"2,6-Lutidine",n8,THF,0.3177036958205914
