,num_sims,round,experiment,horizon,activator_name,base_name,nucleophile_id,solvent_name,yield
0,0.0,0.0,0.0,0.0,PFTU,Diisopropylethylamine,n8,MeCN,0.23944774434232982
1,0.0,1.0,0.0,1.0,TCFH,1-Methylimidazole,n4,MeCN,0.0
2,0.0,2.0,0.0,2.0,HATU,"2,6-Lutidine",n7,THF,0.06114289961588151
3,0.0,3.0,0.0,3.0,PyBOP,1-Methylimidazole,n5,MeCN,0.12506065997339402
4,0.0,4.0,0.0,4.0,BOP-Cl,N-methylmorpholine,n10,DMF,0.31800611952542285
5,0.0,5.0,0.0,5.0,TFFH,1-Methylimidazole,n6,DMF,0.07826673374384487
6,0.0,6.0,0.0,6.0,DPPCl,Diisopropylethylamine,n9,THF,0.1370475401392327
7,0.0,7.0,0.0,7.0,HOTU,1-Methylimidazole,n8,MeCN,0.12388247804213057
8,0.0,8.0,0.0,8.0,BOP-Cl,"2,6-Lutidine",n7,THF,0.0
9,0.0,9.0,0.0,9.0,PFTU,1-Methylimidazole,n6,THF,0.002858608451678879
10,0.0,10.0,0.0,10.0,DPPCl,Diisopropylethylamine,n3,DMF,0.19237477602684144
11,0.0,11.0,0.0,11.0,PyBOP,1-Methylimidazole,n6,DMF,0.22459010399443233
12,0.0,12.0,0.0,12.0,HOTU,1-Methylimidazole,n2,THF,0.4410508038344497
13,0.0,13.0,0.0,13.0,TFFH,"2,6-Lutidine",n9,THF,0.16771754750020024
14,0.0,14.0,0.0,14.0,HATU,"2,6-Lutidine",n2,MeCN,0.7236703978770197
15,0.0,15.0,0.0,15.0,TCFH,N-methylmorpholine,n6,THF,0.0766334705336081
16,0.0,16.0,0.0,16.0,HATU,Diisopropylethylamine,n1,DMF,0.1656307552320488
17,0.0,17.0,0.0,17.0,HOTU,N-methylmorpholine,n5,MeCN,0.11533761676746272
18,0.0,18.0,0.0,18.0,PyBOP,1-Methylimidazole,n7,DMF,0.27979422998214515
19,0.0,19.0,0.0,19.0,DPPCl,Diisopropylethylamine,n4,DMF,0.0206337541478017
20,0.0,20.0,0.0,20.0,BOP-Cl,Diisopropylethylamine,n4,DMF,0.0
21,0.0,21.0,0.0,21.0,TFFH,1-Methylimidazole,n9,MeCN,0.5396395039110845
22,0.0,22.0,0.0,22.0,PFTU,Diisopropylethylamine,n3,DMF,0.1369825643388808
23,0.0,23.0,0.0,23.0,HATU,1-Methylimidazole,n8,DMF,0.20584383201305861
24,0.0,24.0,0.0,24.0,TCFH,Diisopropylethylamine,n5,DMF,0.11959474932936898
25,0.0,25.0,0.0,25.0,TFFH,N-methylmorpholine,n6,MeCN,0.13548217890407577
26,0.0,26.0,0.0,26.0,HOTU,"2,6-Lutidine",n4,MeCN,0.12980887699241067
27,0.0,27.0,0.0,27.0,PyBOP,"2,6-Lutidine",n1,THF,0.05696293260850334
28,0.0,28.0,0.0,28.0,HATU,"2,6-Lutidine",n8,MeCN,0.26727365674660486
29,0.0,29.0,0.0,29.0,PFTU,N-methylmorpholine,n5,THF,0.0
30,0.0,30.0,0.0,30.0,DPPCl,1-Methylimidazole,n7,THF,0.528994261355651
31,0.0,31.0,0.0,31.0,BOP-Cl,Diisopropylethylamine,n9,DMF,0.06660229217274866
32,0.0,32.0,0.0,32.0,TFFH,"2,6-Lutidine",n6,MeCN,0.0
33,0.0,33.0,0.0,33.0,TCFH,Diisopropylethylamine,n1,MeCN,0.055820590489851885
34,0.0,34.0,0.0,34.0,DPPCl,N-methylmorpholine,n7,THF,0.45661860173922436
35,0.0,35.0,0.0,35.0,HOTU,N-methylmorpholine,n2,MeCN,0.6415126605240132
36,0.0,36.0,0.0,36.0,HOTU,"2,6-Lutidine",n9,THF,0.15961076329720134
37,0.0,37.0,0.0,37.0,HATU,Diisopropylethylamine,n6,MeCN,0.14626881783373236
38,0.0,38.0,0.0,38.0,PyBOP,1-Methylimidazole,n2,THF,0.5930123040989156
39,0.0,39.0,0.0,39.0,DPPCl,"2,6-Lutidine",n2,THF,0.5064850022994652
40,0.0,40.0,0.0,40.0,PyBOP,N-methylmorpholine,n9,MeCN,0.056484563299236415
41,0.0,41.0,0.0,41.0,DPPCl,Diisopropylethylamine,n6,MeCN,0.0
42,0.0,42.0,0.0,42.0,BOP-Cl,N-methylmorpholine,n1,DMF,0.3628567677526115
43,0.0,43.0,0.0,43.0,PFTU,1-Methylimidazole,n10,DMF,0.12364928192121198
44,0.0,44.0,0.0,44.0,HOTU,N-methylmorpholine,n3,DMF,0.2908331151793469
45,0.0,45.0,0.0,45.0,TFFH,Diisopropylethylamine,n1,MeCN,0.1510381477286157
46,0.0,46.0,0.0,46.0,HATU,Diisopropylethylamine,n7,MeCN,0.3746667969555425
47,0.0,47.0,0.0,47.0,TCFH,"2,6-Lutidine",n7,MeCN,0.2129057638025988
48,0.0,48.0,0.0,48.0,BOP-Cl,N-methylmorpholine,n1,THF,0.3505563668212525
49,0.0,49.0,0.0,49.0,PyBOP,"2,6-Lutidine",n6,DMF,0.0
50,0.0,50.0,0.0,50.0,HATU,N-methylmorpholine,n7,DMF,0.6257180907935707
51,0.0,51.0,0.0,51.0,HATU,Diisopropylethylamine,n6,THF,0.0073944663165102
52,0.0,52.0,0.0,52.0,HOTU,Diisopropylethylamine,n1,DMF,0.0739714121023839
53,0.0,53.0,0.0,53.0,DPPCl,N-methylmorpholine,n1,MeCN,0.46655973523908206
