,num_sims,round,experiment,horizon,chosen_arm,reward,cumulative_reward
0,0.0,0.0,0.0,0.0,0.0,0.23944774434232982,0.23944774434232982
1,0.0,1.0,0.0,1.0,1.0,0.0,0.23944774434232982
2,0.0,2.0,0.0,2.0,2.0,0.06114289961588151,0.30059064395821133
3,0.0,3.0,0.0,3.0,3.0,0.12506065997339402,0.42565130393160533
4,0.0,4.0,0.0,4.0,4.0,0.31800611952542285,0.7436574234570281
5,0.0,5.0,0.0,5.0,5.0,0.07826673374384487,0.821924157200873
6,0.0,6.0,0.0,6.0,6.0,0.1370475401392327,0.9589716973401057
7,0.0,7.0,0.0,7.0,7.0,0.12388247804213057,1.0828541753822363
8,0.0,8.0,0.0,8.0,4.0,0.0,1.0828541753822363
9,0.0,9.0,0.0,9.0,0.0,0.002858608451678879,1.0857127838339151
10,0.0,10.0,0.0,10.0,6.0,0.19237477602684144,1.2780875598607566
11,0.0,11.0,0.0,11.0,3.0,0.22459010399443233,1.5026776638551889
12,0.0,12.0,0.0,12.0,7.0,0.4410508038344497,1.9437284676896387
13,0.0,13.0,0.0,13.0,5.0,0.16771754750020024,2.111446015189839
14,0.0,14.0,0.0,14.0,2.0,0.7236703978770197,2.8351164130668587
15,0.0,15.0,0.0,15.0,1.0,0.0766334705336081,2.911749883600467
16,0.0,16.0,0.0,16.0,2.0,0.1656307552320488,3.0773806388325156
17,0.0,17.0,0.0,17.0,7.0,0.11533761676746272,3.1927182555999782
18,0.0,18.0,0.0,18.0,3.0,0.27979422998214515,3.4725124855821234
19,0.0,19.0,0.0,19.0,6.0,0.0206337541478017,3.493146239729925
20,0.0,20.0,0.0,20.0,4.0,0.0,3.493146239729925
21,0.0,21.0,0.0,21.0,5.0,0.5396395039110845,4.03278574364101
22,0.0,22.0,0.0,22.0,0.0,0.1369825643388808,4.169768307979891
23,0.0,23.0,0.0,23.0,2.0,0.20584383201305861,4.375612139992949
24,0.0,24.0,0.0,24.0,1.0,0.11959474932936898,4.4952068893223185
25,0.0,25.0,0.0,25.0,5.0,0.13548217890407577,4.630689068226395
26,0.0,26.0,0.0,26.0,7.0,0.12980887699241067,4.760497945218805
27,0.0,27.0,0.0,27.0,3.0,0.05696293260850334,4.817460877827309
28,0.0,28.0,0.0,28.0,2.0,0.26727365674660486,5.084734534573914
29,0.0,29.0,0.0,29.0,0.0,0.0,5.084734534573914
30,0.0,30.0,0.0,30.0,6.0,0.528994261355651,5.613728795929565
31,0.0,31.0,0.0,31.0,4.0,0.06660229217274866,5.680331088102314
32,0.0,32.0,0.0,32.0,5.0,0.0,5.680331088102314
33,0.0,33.0,0.0,33.0,1.0,0.055820590489851885,5.736151678592165
34,0.0,34.0,0.0,34.0,6.0,0.45661860173922436,6.1927702803313895
35,0.0,35.0,0.0,35.0,7.0,0.6415126605240132,6.834282940855402
36,0.0,36.0,0.0,36.0,7.0,0.15961076329720134,6.993893704152604
37,0.0,37.0,0.0,37.0,2.0,0.14626881783373236,7.140162521986336
38,0.0,38.0,0.0,38.0,3.0,0.5930123040989156,7.733174826085252
39,0.0,39.0,0.0,39.0,6.0,0.5064850022994652,8.239659828384717
40,0.0,40.0,0.0,40.0,3.0,0.056484563299236415,8.296144391683953
41,0.0,41.0,0.0,41.0,6.0,0.0,8.296144391683953
