,num_sims,round,experiment,horizon,activator_name,base_name,nucleophile_id,solvent_name,yield
0,0.0,0.0,0.0,0.0,PFTU,"2,6-Lutidine",n1,MeCN,0.003
1,0.0,1.0,0.0,1.0,PFTU,N-methylmorpholine,n3,THF,0.0576
2,0.0,2.0,0.0,2.0,PFTU,Diisopropylethylamine,n1,MeCN,0.0341
3,0.0,3.0,0.0,3.0,PFTU,1-Methylimidazole,n3,DMF,0.1204
4,0.0,4.0,0.0,4.0,PFTU,"2,6-Lutidine",n7,MeCN,0.0024
5,0.0,5.0,0.0,5.0,PFTU,N-methylmorpholine,n7,DMF,0.1517
6,0.0,6.0,0.0,6.0,PFTU,"2,6-Lutidine",n3,DMF,0.0264
7,0.0,7.0,0.0,7.0,PFTU,Diisopropylethylamine,n9,DMF,0.146
8,0.0,8.0,0.0,8.0,PFTU,N-methylmorpholine,n1,DMF,0.0013
9,0.0,9.0,0.0,9.0,PFTU,Diisopropylethylamine,n5,MeCN,0.043
10,0.0,10.0,0.0,10.0,PFTU,1-Methylimidazole,n10,MeCN,0.0645
11,0.0,11.0,0.0,11.0,DPPCl,"2,6-Lutidine",n4,MeCN,0.0679
12,0.0,12.0,0.0,12.0,DPPCl,1-Methylimidazole,n3,THF,0.2311
13,0.0,13.0,0.0,13.0,DPPCl,"2,6-Lutidine",n9,DMF,0.1997
14,0.0,14.0,0.0,14.0,DPPCl,N-methylmorpholine,n10,THF,0.0092
15,0.0,15.0,0.0,15.0,PFTU,"2,6-Lutidine",n5,DMF,0.013300000000000001
16,0.0,16.0,0.0,16.0,DPPCl,1-Methylimidazole,n5,DMF,0.1161
17,0.0,17.0,0.0,17.0,PFTU,"2,6-Lutidine",n6,THF,0.0097
18,0.0,18.0,0.0,18.0,PFTU,Diisopropylethylamine,n1,THF,0.0018
19,0.0,19.0,0.0,19.0,DPPCl,1-Methylimidazole,n6,MeCN,0.0236
20,0.0,20.0,0.0,20.0,DPPCl,Diisopropylethylamine,n6,THF,0.0213
21,0.0,21.0,0.0,21.0,DPPCl,"2,6-Lutidine",n4,THF,0.0679
22,0.0,22.0,0.0,22.0,DPPCl,1-Methylimidazole,n8,THF,0.37929999999999997
23,0.0,23.0,0.0,23.0,DPPCl,1-Methylimidazole,n4,THF,0.0739
24,0.0,24.0,0.0,24.0,DPPCl,N-methylmorpholine,n7,MeCN,0.6969
25,0.0,25.0,0.0,25.0,DPPCl,"2,6-Lutidine",n9,THF,0.1549
26,0.0,26.0,0.0,26.0,TFFH,N-methylmorpholine,n1,MeCN,0.0858
27,0.0,27.0,0.0,27.0,DPPCl,N-methylmorpholine,n6,MeCN,0.0225
28,0.0,28.0,0.0,28.0,DPPCl,Diisopropylethylamine,n8,MeCN,0.1521
29,0.0,29.0,0.0,29.0,DPPCl,Diisopropylethylamine,n3,DMF,0.2576
30,0.0,30.0,0.0,30.0,DPPCl,"2,6-Lutidine",n10,MeCN,0.1092
31,0.0,31.0,0.0,31.0,DPPCl,"2,6-Lutidine",n1,THF,0.14550000000000002
32,0.0,32.0,0.0,32.0,PyBOP,"2,6-Lutidine",n5,MeCN,0.0055000000000000005
33,0.0,33.0,0.0,33.0,DPPCl,"2,6-Lutidine",n3,THF,0.2827
34,0.0,34.0,0.0,34.0,DPPCl,1-Methylimidazole,n4,MeCN,0.0392
35,0.0,35.0,0.0,35.0,DPPCl,Diisopropylethylamine,n5,DMF,0.4092
36,0.0,36.0,0.0,36.0,DPPCl,N-methylmorpholine,n7,DMF,0.6772
