,num_sims,round,experiment,horizon,activator_name,base_name,nucleophile_id,solvent_name,yield
0,0.0,0.0,0.0,0.0,PyBOP,Diisopropylethylamine,n6,DMF,0.03731821638206154
1,0.0,1.0,0.0,1.0,HATU,Diisopropylethylamine,n4,MeCN,0.10385678312118603
2,0.0,2.0,0.0,2.0,DPPCl,Diisopropylethylamine,n9,DMF,0.983466030299596
3,0.0,3.0,0.0,3.0,DPPCl,Diisopropylethylamine,n10,DMF,0.033182226439766926
4,0.0,4.0,0.0,4.0,TCFH,"2,6-Lutidine",n7,DMF,0.3868453249766183
5,0.0,5.0,0.0,5.0,DPPCl,1-Methylimidazole,n4,THF,0.09189034681463917
6,0.0,6.0,0.0,6.0,TFFH,N-methylmorpholine,n7,DMF,0.10568090231605448
7,0.0,7.0,0.0,7.0,HOTU,1-Methylimidazole,n1,THF,0.09525380840251152
8,0.0,8.0,0.0,8.0,PyBOP,N-methylmorpholine,n8,THF,0.1550292940834675
9,0.0,9.0,0.0,9.0,HATU,"2,6-Lutidine",n3,MeCN,0.0885844372906848
10,0.0,10.0,0.0,10.0,TCFH,Diisopropylethylamine,n2,MeCN,0.1846934783391361
11,0.0,11.0,0.0,11.0,BOP-Cl,Diisopropylethylamine,n8,DMF,0.05076213120276299
12,0.0,12.0,0.0,12.0,BOP-Cl,"2,6-Lutidine",n6,MeCN,0.16031516257734935
13,0.0,13.0,0.0,13.0,DPPCl,"2,6-Lutidine",n6,MeCN,0.03660548905713878
14,0.0,14.0,0.0,14.0,HOTU,1-Methylimidazole,n3,DMF,0.37901658069253225
15,0.0,15.0,0.0,15.0,PyBOP,Diisopropylethylamine,n1,MeCN,0.08737835168140556
16,0.0,16.0,0.0,16.0,HOTU,N-methylmorpholine,n10,MeCN,0.0
17,0.0,17.0,0.0,17.0,PFTU,1-Methylimidazole,n5,DMF,0.08289071338299049
18,0.0,18.0,0.0,18.0,TFFH,Diisopropylethylamine,n8,DMF,0.17956222091658686
19,0.0,19.0,0.0,19.0,TCFH,Diisopropylethylamine,n4,DMF,0.02130442339091303
20,0.0,20.0,0.0,20.0,DPPCl,1-Methylimidazole,n4,DMF,0.04851000197380429
21,0.0,21.0,0.0,21.0,TFFH,Diisopropylethylamine,n8,MeCN,0.1259389309049126
22,0.0,22.0,0.0,22.0,BOP-Cl,"2,6-Lutidine",n10,THF,0.12232357465313455
23,0.0,23.0,0.0,23.0,TCFH,"2,6-Lutidine",n10,MeCN,0.014935332914927133
