,num_sims,round,experiment,horizon,chosen_arm,reward,cumulative_reward
0,0.0,0.0,0.0,0.0,6.0,0.006579043857509739,0.006579043857509739
1,0.0,1.0,0.0,1.0,4.0,0.21390453225199577,0.2204835761095055
2,0.0,2.0,0.0,2.0,5.0,0.0,0.2204835761095055
3,0.0,3.0,0.0,3.0,0.0,0.0,0.2204835761095055
4,0.0,4.0,0.0,4.0,5.0,0.14114073941943014,0.36162431552893565
5,0.0,5.0,0.0,5.0,0.0,0.004710344155143206,0.36633465968407886
6,0.0,6.0,0.0,6.0,2.0,0.007089377192769797,0.37342403687684866
7,0.0,7.0,0.0,7.0,1.0,0.007313625673825387,0.38073766255067404
8,0.0,8.0,0.0,8.0,3.0,0.2725461369992084,0.6532837995498824
9,0.0,9.0,0.0,9.0,2.0,0.09130736048422923,0.7445911600341116
10,0.0,10.0,0.0,10.0,7.0,0.0,0.7445911600341116
11,0.0,11.0,0.0,11.0,4.0,0.08354856445081904,0.8281397244849307
12,0.0,12.0,0.0,12.0,1.0,0.13138210979134832,0.959521834276279
13,0.0,13.0,0.0,13.0,7.0,0.0872189265303558,1.0467407608066348
14,0.0,14.0,0.0,14.0,5.0,0.07038180225573791,1.1171225630623727
15,0.0,15.0,0.0,15.0,3.0,0.32833248931487286,1.4454550523772456
16,0.0,16.0,0.0,16.0,3.0,0.06192319190802671,1.5073782442852723
17,0.0,17.0,0.0,17.0,7.0,0.0014720870915043871,1.5088503313767767
18,0.0,18.0,0.0,18.0,3.0,0.227978647300032,1.7368289786768087
19,0.0,19.0,0.0,19.0,6.0,0.13235383269454015,1.869182811371349
20,0.0,20.0,0.0,20.0,7.0,0.027030367448419426,1.8962131788197683
21,0.0,21.0,0.0,21.0,6.0,0.15878335664705076,2.054996535466819
22,0.0,22.0,0.0,22.0,6.0,0.44012940677173523,2.495125942238554
23,0.0,23.0,0.0,23.0,0.0,0.2054991966077203,2.7006251388462745
24,0.0,24.0,0.0,24.0,6.0,0.20900585579424422,2.9096309946405188
25,0.0,25.0,0.0,25.0,4.0,0.08654139578512768,2.9961723904256465
26,0.0,26.0,0.0,26.0,3.0,0.08105609263147107,3.0772284830571177
27,0.0,27.0,0.0,27.0,6.0,0.21626856140959622,3.2934970444667138
28,0.0,28.0,0.0,28.0,5.0,0.08094084615724881,3.3744378906239625
29,0.0,29.0,0.0,29.0,3.0,0.05404662443856267,3.428484515062525
30,0.0,30.0,0.0,30.0,2.0,0.14291802177756344,3.571402536840089
31,0.0,31.0,0.0,31.0,0.0,0.13538024205623,3.7067827788963186
32,0.0,32.0,0.0,32.0,3.0,0.009155310379581684,3.7159380892759004
33,0.0,33.0,0.0,33.0,0.0,0.10951820916516397,3.8254562984410643
34,0.0,34.0,0.0,34.0,6.0,0.26266353986402996,4.0881198383050945
35,0.0,35.0,0.0,35.0,4.0,0.07183886226308403,4.159958700568178
36,0.0,36.0,0.0,36.0,7.0,0.04097224704357117,4.20093094761175
37,0.0,37.0,0.0,37.0,6.0,0.0761429024127621,4.277073850024512
38,0.0,38.0,0.0,38.0,2.0,0.0,4.277073850024512
39,0.0,39.0,0.0,39.0,1.0,0.3167132014693527,4.593787051493864
40,0.0,40.0,0.0,40.0,1.0,0.4172099748934157,5.01099702638728
41,0.0,41.0,0.0,41.0,1.0,0.27030047603662344,5.281297502423903
42,0.0,42.0,0.0,42.0,6.0,0.07759583881044355,5.358893341234347
43,0.0,43.0,0.0,43.0,1.0,0.0,5.358893341234347
44,0.0,44.0,0.0,44.0,4.0,0.612490018850804,5.9713833600851505
45,0.0,45.0,0.0,45.0,1.0,0.41355142827365454,6.384934788358805
