,num_sims,round,experiment,horizon,activator_name,base_name,nucleophile_id,solvent_name,yield
0,0.0,0.0,0.0,0.0,DPPCl,1-Methylimidazole,n3,THF,0.25951852137526776
1,0.0,1.0,0.0,1.0,TFFH,Diisopropylethylamine,n10,THF,0.151428811936161
2,0.0,2.0,0.0,2.0,PFTU,Diisopropylethylamine,n4,DMF,0.05948241412339101
3,0.0,3.0,0.0,3.0,HOTU,N-methylmorpholine,n1,THF,0.003490490411019786
4,0.0,4.0,0.0,4.0,PyBOP,"2,6-Lutidine",n10,THF,0.045282409830566105
5,0.0,5.0,0.0,5.0,TCFH,"2,6-Lutidine",n4,MeCN,0.07715396706727896
6,0.0,6.0,0.0,6.0,BOP-Cl,Diisopropylethylamine,n3,THF,0.12255690339903705
7,0.0,7.0,0.0,7.0,HATU,"2,6-Lutidine",n3,MeCN,0.0885844372906848
8,0.0,8.0,0.0,8.0,PFTU,"2,6-Lutidine",n5,MeCN,0.024636907644643716
9,0.0,9.0,0.0,9.0,PFTU,1-Methylimidazole,n2,THF,0.5966478977280026
10,0.0,10.0,0.0,10.0,DPPCl,"2,6-Lutidine",n5,MeCN,0.21186463692668908
11,0.0,11.0,0.0,11.0,TCFH,N-methylmorpholine,n1,DMF,0.10842381571983528
12,0.0,12.0,0.0,12.0,DPPCl,Diisopropylethylamine,n7,DMF,0.252310111421501
13,0.0,13.0,0.0,13.0,TCFH,"2,6-Lutidine",n1,MeCN,0.09620719994824302
14,0.0,14.0,0.0,14.0,PFTU,N-methylmorpholine,n1,DMF,0.014517306045883744
15,0.0,15.0,0.0,15.0,TFFH,1-Methylimidazole,n4,MeCN,0.0840888293356962
16,0.0,16.0,0.0,16.0,PyBOP,Diisopropylethylamine,n1,THF,0.012292384882053996
17,0.0,17.0,0.0,17.0,DPPCl,"2,6-Lutidine",n10,DMF,0.0
18,0.0,18.0,0.0,18.0,TFFH,"2,6-Lutidine",n2,THF,0.1920397438965883
19,0.0,19.0,0.0,19.0,BOP-Cl,1-Methylimidazole,n7,THF,0.7470610808493174
20,0.0,20.0,0.0,20.0,BOP-Cl,"2,6-Lutidine",n9,MeCN,0.070307964621712
21,0.0,21.0,0.0,21.0,HATU,N-methylmorpholine,n1,MeCN,0.0238231690521513
22,0.0,22.0,0.0,22.0,HATU,"2,6-Lutidine",n9,DMF,0.36549517072991405
23,0.0,23.0,0.0,23.0,BOP-Cl,N-methylmorpholine,n10,DMF,0.15038725250495183
24,0.0,24.0,0.0,24.0,BOP-Cl,Diisopropylethylamine,n5,MeCN,0.2948136652321371
25,0.0,25.0,0.0,25.0,HOTU,N-methylmorpholine,n8,MeCN,0.35921850425298424
26,0.0,26.0,0.0,26.0,HOTU,N-methylmorpholine,n9,THF,0.28952305543918555
27,0.0,27.0,0.0,27.0,PyBOP,Diisopropylethylamine,n9,THF,0.2604382090251389
28,0.0,28.0,0.0,28.0,DPPCl,"2,6-Lutidine",n8,THF,0.3459014367459324
29,0.0,29.0,0.0,29.0,HATU,"2,6-Lutidine",n8,DMF,0.27552586540848867
30,0.0,30.0,0.0,30.0,BOP-Cl,"2,6-Lutidine",n5,MeCN,0.2964199416286355
31,0.0,31.0,0.0,31.0,HOTU,"2,6-Lutidine",n8,MeCN,0.27989082859669717
32,0.0,32.0,0.0,32.0,HOTU,N-methylmorpholine,n5,MeCN,0.09826350408592145
33,0.0,33.0,0.0,33.0,PFTU,Diisopropylethylamine,n2,THF,0.2779324867378106
