,num_sims,round,experiment,horizon,activator_name,base_name,nucleophile_id,solvent_name,yield
0,0.0,0.0,0.0,0.0,TCFH,N-methylmorpholine_batch4,n5,DMF,0.03979710879857965
1,0.0,1.0,0.0,1.0,DPPCl,N-methylmorpholine_batch1,n10,MeCN,0.004622722951280354
2,0.0,2.0,0.0,2.0,PyBOP,1-Methylimidazole_batch4,n8,MeCN,0.2001898933492243
3,0.0,3.0,0.0,3.0,HATU,1-Methylimidazole_batch4,n7,MeCN,0.49968372793763693
4,0.0,4.0,0.0,4.0,BOP-Cl,"2,6-Lutidine_batch2",n1,THF,0.01622276759626199
5,0.0,5.0,0.0,5.0,HOTU,"2,6-Lutidine_batch3",n7,MeCN,0.2540849589031652
6,0.0,6.0,0.0,6.0,TFFH,Diisopropylethylamine_batch3,n7,THF,0.160599518715233
7,0.0,7.0,0.0,7.0,PFTU,"2,6-Lutidine_batch5",n4,MeCN,0.04153069897465562
8,0.0,8.0,0.0,8.0,HATU,Diisopropylethylamine_batch2,n10,THF,0.04045051991056292
9,0.0,9.0,0.0,9.0,HOTU,"2,6-Lutidine_batch1",n5,THF,0.0
10,0.0,10.0,0.0,10.0,PyBOP,"2,6-Lutidine_batch3",n6,DMF,0.0
11,0.0,11.0,0.0,11.0,TFFH,"2,6-Lutidine_batch4",n8,DMF,0.018753753393378602
12,0.0,12.0,0.0,12.0,PFTU,Diisopropylethylamine_batch4,n7,DMF,0.4752969811606842
13,0.0,13.0,0.0,13.0,TCFH,N-methylmorpholine_batch4,n9,THF,0.27077805531966453
14,0.0,14.0,0.0,14.0,BOP-Cl,"2,6-Lutidine_batch1",n2,MeCN,0.5833699629447446
15,0.0,15.0,0.0,15.0,DPPCl,1-Methylimidazole_batch4,n5,THF,0.08497973653233551
16,0.0,16.0,0.0,16.0,BOP-Cl,"2,6-Lutidine_batch2",n2,DMF,0.2669877325882256
17,0.0,17.0,0.0,17.0,HATU,Diisopropylethylamine_batch5,n7,DMF,0.4258446790971957
