,num_sims,round,experiment,horizon,activator_name,base_name,nucleophile_id,solvent_name,yield
0,0.0,0.0,0.0,0.0,PFTU,N-methylmorpholine,n7,THF,0.0219
1,0.0,1.0,0.0,1.0,TCFH,N-methylmorpholine,n3,MeCN,0.3367
2,0.0,2.0,0.0,2.0,HATU,"2,6-Lutidine",n4,DMF,0.25420000000000004
3,0.0,3.0,0.0,3.0,PyBOP,"2,6-Lutidine",n2,DMF,0.2961
4,0.0,4.0,0.0,4.0,BOP-Cl,1-Methylimidazole,n9,THF,0.33240000000000003
5,0.0,5.0,0.0,5.0,TFFH,"2,6-Lutidine",n3,THF,0.0106
6,0.0,6.0,0.0,6.0,DPPCl,Diisopropylethylamine,n3,DMF,0.2576
7,0.0,7.0,0.0,7.0,HOTU,1-Methylimidazole,n7,THF,0.1547
8,0.0,8.0,0.0,8.0,TCFH,Diisopropylethylamine,n10,THF,0.41950000000000004
9,0.0,9.0,0.0,9.0,BOP-Cl,N-methylmorpholine,n2,DMF,0.0721
10,0.0,10.0,0.0,10.0,PyBOP,Diisopropylethylamine,n10,DMF,0.0998
11,0.0,11.0,0.0,11.0,DPPCl,Diisopropylethylamine,n4,DMF,0.0509
12,0.0,12.0,0.0,12.0,HATU,Diisopropylethylamine,n3,THF,0.1416
13,0.0,13.0,0.0,13.0,HOTU,"2,6-Lutidine",n7,THF,0.1818
14,0.0,14.0,0.0,14.0,PFTU,Diisopropylethylamine,n10,DMF,0.24789999999999998
15,0.0,15.0,0.0,15.0,TFFH,N-methylmorpholine,n9,THF,0.1808
16,0.0,16.0,0.0,16.0,TCFH,1-Methylimidazole,n10,DMF,0.037200000000000004
17,0.0,17.0,0.0,17.0,BOP-Cl,N-methylmorpholine,n4,THF,0.109
18,0.0,18.0,0.0,18.0,PyBOP,Diisopropylethylamine,n1,DMF,0.0932
19,0.0,19.0,0.0,19.0,HATU,1-Methylimidazole,n1,THF,0.0262
20,0.0,20.0,0.0,20.0,HOTU,N-methylmorpholine,n4,THF,0.08689999999999999
21,0.0,21.0,0.0,21.0,DPPCl,1-Methylimidazole,n5,MeCN,0.2585
22,0.0,22.0,0.0,22.0,PFTU,N-methylmorpholine,n4,THF,0.0159
23,0.0,23.0,0.0,23.0,TFFH,"2,6-Lutidine",n10,MeCN,0.0101
24,0.0,24.0,0.0,24.0,TCFH,1-Methylimidazole,n5,DMF,0.1656
25,0.0,25.0,0.0,25.0,DPPCl,1-Methylimidazole,n10,MeCN,0.1348
26,0.0,26.0,0.0,26.0,BOP-Cl,"2,6-Lutidine",n3,MeCN,0.1158
27,0.0,27.0,0.0,27.0,PyBOP,N-methylmorpholine,n7,DMF,0.2006
28,0.0,28.0,0.0,28.0,HOTU,1-Methylimidazole,n4,MeCN,0.0843
29,0.0,29.0,0.0,29.0,HATU,Diisopropylethylamine,n10,DMF,0.0518
30,0.0,30.0,0.0,30.0,PFTU,Diisopropylethylamine,n2,THF,0.2711
31,0.0,31.0,0.0,31.0,TFFH,"2,6-Lutidine",n10,THF,0.12480000000000001
32,0.0,32.0,0.0,32.0,TCFH,1-Methylimidazole,n9,THF,0.5948
33,0.0,33.0,0.0,33.0,DPPCl,Diisopropylethylamine,n6,THF,0.0213
34,0.0,34.0,0.0,34.0,PyBOP,N-methylmorpholine,n6,MeCN,0.039
35,0.0,35.0,0.0,35.0,TCFH,1-Methylimidazole,n8,DMF,0.1559
36,0.0,36.0,0.0,36.0,BOP-Cl,1-Methylimidazole,n10,THF,0.29760000000000003
37,0.0,37.0,0.0,37.0,PFTU,N-methylmorpholine,n7,DMF,0.1517
38,0.0,38.0,0.0,38.0,HOTU,Diisopropylethylamine,n6,MeCN,0.039900000000000005
39,0.0,39.0,0.0,39.0,HATU,N-methylmorpholine,n7,THF,0.0435
40,0.0,40.0,0.0,40.0,TFFH,N-methylmorpholine,n6,DMF,0.0197
41,0.0,41.0,0.0,41.0,BOP-Cl,Diisopropylethylamine,n9,THF,0.37229999999999996
42,0.0,42.0,0.0,42.0,TCFH,"2,6-Lutidine",n8,THF,0.4799
43,0.0,43.0,0.0,43.0,PyBOP,N-methylmorpholine,n10,THF,0.038599999999999995
44,0.0,44.0,0.0,44.0,DPPCl,1-Methylimidazole,n1,THF,0.2065
45,0.0,45.0,0.0,45.0,PFTU,"2,6-Lutidine",n8,MeCN,0.0033
46,0.0,46.0,0.0,46.0,TCFH,N-methylmorpholine,n10,DMF,0.1164
47,0.0,47.0,0.0,47.0,HOTU,1-Methylimidazole,n5,THF,0.0426
48,0.0,48.0,0.0,48.0,BOP-Cl,1-Methylimidazole,n4,MeCN,0.0692
49,0.0,49.0,0.0,49.0,HATU,N-methylmorpholine,n3,DMF,0.2559
50,0.0,50.0,0.0,50.0,TFFH,N-methylmorpholine,n10,THF,0.17579999999999998
51,0.0,51.0,0.0,51.0,DPPCl,1-Methylimidazole,n4,DMF,0.0548
52,0.0,52.0,0.0,52.0,TCFH,"2,6-Lutidine",n7,THF,0.7541
53,0.0,53.0,0.0,53.0,HATU,"2,6-Lutidine",n7,MeCN,0.2569
54,0.0,54.0,0.0,54.0,TCFH,N-methylmorpholine,n5,THF,0.26649999999999996
55,0.0,55.0,0.0,55.0,PyBOP,"2,6-Lutidine",n7,DMF,0.1503
56,0.0,56.0,0.0,56.0,PFTU,"2,6-Lutidine",n6,DMF,0.0048
57,0.0,57.0,0.0,57.0,BOP-Cl,Diisopropylethylamine,n10,DMF,0.0625
58,0.0,58.0,0.0,58.0,HOTU,Diisopropylethylamine,n6,THF,0.1069
59,0.0,59.0,0.0,59.0,TFFH,Diisopropylethylamine,n5,MeCN,0.34619999999999995
60,0.0,60.0,0.0,60.0,TCFH,Diisopropylethylamine,n2,MeCN,0.183
61,0.0,61.0,0.0,61.0,HATU,Diisopropylethylamine,n9,DMF,0.38789999999999997
62,0.0,62.0,0.0,62.0,DPPCl,N-methylmorpholine,n10,MeCN,0.0097
63,0.0,63.0,0.0,63.0,PyBOP,Diisopropylethylamine,n7,DMF,0.3357
64,0.0,64.0,0.0,64.0,TFFH,N-methylmorpholine,n4,DMF,0.053399999999999996
65,0.0,65.0,0.0,65.0,BOP-Cl,N-methylmorpholine,n9,MeCN,0.371
66,0.0,66.0,0.0,66.0,HATU,"2,6-Lutidine",n7,DMF,0.4732
67,0.0,67.0,0.0,67.0,PFTU,1-Methylimidazole,n1,MeCN,0.0046
68,0.0,68.0,0.0,68.0,HOTU,"2,6-Lutidine",n2,THF,0.5861
69,0.0,69.0,0.0,69.0,TCFH,N-methylmorpholine,n1,THF,0.4876
70,0.0,70.0,0.0,70.0,HOTU,N-methylmorpholine,n8,DMF,0.0556
71,0.0,71.0,0.0,71.0,PyBOP,1-Methylimidazole,n4,THF,0.1954
72,0.0,72.0,0.0,72.0,HATU,1-Methylimidazole,n4,DMF,0.1304
73,0.0,73.0,0.0,73.0,TCFH,N-methylmorpholine,n5,MeCN,0.1148
74,0.0,74.0,0.0,74.0,BOP-Cl,1-Methylimidazole,n9,DMF,0.5365
75,0.0,75.0,0.0,75.0,DPPCl,1-Methylimidazole,n3,DMF,0.3062
76,0.0,76.0,0.0,76.0,BOP-Cl,N-methylmorpholine,n9,THF,0.1957
77,0.0,77.0,0.0,77.0,TFFH,N-methylmorpholine,n8,MeCN,0.0694
78,0.0,78.0,0.0,78.0,PyBOP,"2,6-Lutidine",n4,DMF,0.1759
79,0.0,79.0,0.0,79.0,HATU,1-Methylimidazole,n4,THF,0.2138
80,0.0,80.0,0.0,80.0,TCFH,Diisopropylethylamine,n3,THF,0.054000000000000006
81,0.0,81.0,0.0,81.0,PFTU,Diisopropylethylamine,n8,DMF,0.2115
82,0.0,82.0,0.0,82.0,HOTU,1-Methylimidazole,n8,THF,0.3071
83,0.0,83.0,0.0,83.0,DPPCl,N-methylmorpholine,n6,THF,0.0146
84,0.0,84.0,0.0,84.0,BOP-Cl,N-methylmorpholine,n5,DMF,0.2688
85,0.0,85.0,0.0,85.0,HOTU,"2,6-Lutidine",n2,MeCN,0.5637
86,0.0,86.0,0.0,86.0,PyBOP,Diisopropylethylamine,n7,MeCN,0.2994
87,0.0,87.0,0.0,87.0,TFFH,"2,6-Lutidine",n9,DMF,0.22329999999999997
88,0.0,88.0,0.0,88.0,HATU,Diisopropylethylamine,n6,MeCN,0.0348
89,0.0,89.0,0.0,89.0,HOTU,Diisopropylethylamine,n1,DMF,0.0504
90,0.0,90.0,0.0,90.0,PFTU,1-Methylimidazole,n4,THF,0.045599999999999995
91,0.0,91.0,0.0,91.0,BOP-Cl,1-Methylimidazole,n4,THF,0.063
92,0.0,92.0,0.0,92.0,TCFH,N-methylmorpholine,n7,MeCN,0.7494
93,0.0,93.0,0.0,93.0,TCFH,N-methylmorpholine,n8,DMF,0.20920000000000002
94,0.0,94.0,0.0,94.0,DPPCl,1-Methylimidazole,n3,MeCN,0.522
95,0.0,95.0,0.0,95.0,PyBOP,Diisopropylethylamine,n9,THF,0.2933
96,0.0,96.0,0.0,96.0,DPPCl,N-methylmorpholine,n3,DMF,0.5028
97,0.0,97.0,0.0,97.0,TFFH,1-Methylimidazole,n1,DMF,0.1151
98,0.0,98.0,0.0,98.0,TCFH,"2,6-Lutidine",n6,MeCN,0.0159
99,0.0,99.0,0.0,99.0,DPPCl,Diisopropylethylamine,n5,MeCN,0.3774
100,0.0,100.0,0.0,100.0,HATU,N-methylmorpholine,n10,DMF,0.1957
101,0.0,101.0,0.0,101.0,HOTU,Diisopropylethylamine,n2,THF,0.40880000000000005
102,0.0,102.0,0.0,102.0,BOP-Cl,1-Methylimidazole,n1,THF,0.4202
103,0.0,103.0,0.0,103.0,PyBOP,"2,6-Lutidine",n6,THF,0.0106
104,0.0,104.0,0.0,104.0,PFTU,1-Methylimidazole,n7,THF,0.0398
105,0.0,105.0,0.0,105.0,DPPCl,1-Methylimidazole,n6,THF,0.034
106,0.0,106.0,0.0,106.0,HOTU,"2,6-Lutidine",n8,THF,0.3147
107,0.0,107.0,0.0,107.0,BOP-Cl,N-methylmorpholine,n4,MeCN,0.1693
108,0.0,108.0,0.0,108.0,TCFH,1-Methylimidazole,n4,MeCN,0.0904
109,0.0,109.0,0.0,109.0,TFFH,1-Methylimidazole,n5,THF,0.07690000000000001
110,0.0,110.0,0.0,110.0,HATU,1-Methylimidazole,n6,MeCN,0.049699999999999994
111,0.0,111.0,0.0,111.0,HOTU,"2,6-Lutidine",n9,THF,0.1405
112,0.0,112.0,0.0,112.0,BOP-Cl,"2,6-Lutidine",n7,DMF,0.8142
113,0.0,113.0,0.0,113.0,BOP-Cl,N-methylmorpholine,n2,MeCN,0.5366
114,0.0,114.0,0.0,114.0,BOP-Cl,Diisopropylethylamine,n5,MeCN,0.26489999999999997
115,0.0,115.0,0.0,115.0,PyBOP,1-Methylimidazole,n10,DMF,0.2613
