,num_sims,round,experiment,horizon,electrophile_id,ligand_name,nucleophile_id,yield
0,0.0,0.0,0.0,0.0,e7,A-caPhos,nA,0.22387111117310493
1,0.0,1.0,0.0,1.0,e1,BrettPhos,nB,0.023933086062199235
2,0.0,2.0,0.0,2.0,e9,CX-FBu,nE,0.04355822240680955
3,0.0,3.0,0.0,3.0,e5,CX-PICy,nC,0.7219644854632059
4,0.0,4.0,0.0,4.0,e2,Cy-DavePhos,nA,0.890605834039087
5,0.0,5.0,0.0,5.0,e2,Cy-vBRIDP,nB,0.3426954282220505
6,0.0,6.0,0.0,6.0,e10,Kwong,nF,0.8938930828018169
7,0.0,7.0,0.0,7.0,e5,MeO-KITPHOS,nG,0.5037716636607265
8,0.0,8.0,0.0,8.0,e10,P(o-Anis)3,nB,0.07857661737600978
9,0.0,9.0,0.0,9.0,e9,Et-PhenCar-Phos,nD,0.6763905107050712
10,0.0,10.0,0.0,10.0,e4,JackiePhos,nA,0.01378290721008047
11,0.0,11.0,0.0,11.0,e10,"P(3,5-CF3-Ph)3",nB,0.3248401714816362
12,0.0,12.0,0.0,12.0,e1,P(fur)3,nD,0.027849023497232013
13,0.0,13.0,0.0,13.0,e2,Ph-PhenCar-Phos,nE,0.002935248313701339
14,0.0,14.0,0.0,14.0,e5,PPh2Me,nF,0.0
15,0.0,15.0,0.0,15.0,e2,PPhtBu2,nC,0.5884787341556109
16,0.0,16.0,0.0,16.0,e5,tBPh-CPhos,nF,0.021215482774025726
17,0.0,17.0,0.0,17.0,e2,PPhMe2,nD,0.9665760108651322
18,0.0,18.0,0.0,18.0,e1,Cy-BippyPhos,nI,0.2211067826223972
19,0.0,19.0,0.0,19.0,e7,PCy3 HBF4,nG,0.0
20,0.0,20.0,0.0,20.0,e9,CgMe-PPh,nA,0.4265411652763391
21,0.0,21.0,0.0,21.0,e1,PPh3,nF,0.033638963742203404
22,0.0,22.0,0.0,22.0,e9,X-Phos,nI,0.48640092936162965
23,0.0,23.0,0.0,23.0,e5,PnBu3 HBF4,nB,0.017097729724094155
24,0.0,24.0,0.0,24.0,e1,PPhMe2,nE,0.005912635036959193
25,0.0,25.0,0.0,25.0,e5,Kwong,nB,0.19563904085240036
26,0.0,26.0,0.0,26.0,e5,Cy-DavePhos,nF,0.03313108332432727
27,0.0,27.0,0.0,27.0,e10,CX-PICy,nF,0.8753267029656862
28,0.0,28.0,0.0,28.0,e9,Et-PhenCar-Phos,nE,0.09970326563233488
29,0.0,29.0,0.0,29.0,e9,PPhtBu2,nA,0.22969981648958007
30,0.0,30.0,0.0,30.0,e7,CX-PICy,nE,0.02553348260378032
31,0.0,31.0,0.0,31.0,e5,MeO-KITPHOS,nI,0.7966198404456795
32,0.0,32.0,0.0,32.0,e10,X-Phos,nB,0.3561245065772018
33,0.0,33.0,0.0,33.0,e4,CgMe-PPh,nC,0.07729202271014396
34,0.0,34.0,0.0,34.0,e10,MeO-KITPHOS,nA,0.5040049303765105
35,0.0,35.0,0.0,35.0,e9,Cy-vBRIDP,nC,0.3462977628869725
36,0.0,36.0,0.0,36.0,e9,"P(3,5-CF3-Ph)3",nI,0.5060174107510581
37,0.0,37.0,0.0,37.0,e9,Kwong,nB,0.11088834300612632
38,0.0,38.0,0.0,38.0,e4,A-caPhos,nA,0.066015799846542
39,0.0,39.0,0.0,39.0,e1,Cy-BippyPhos,nC,0.12530079881726516
40,0.0,40.0,0.0,40.0,e3,PPhMe2,nF,0.8232012369865152
41,0.0,41.0,0.0,41.0,e9,MeO-KITPHOS,nG,0.30072675877618354
42,0.0,42.0,0.0,42.0,e10,PPhMe2,nF,0.9662268038122928
43,0.0,43.0,0.0,43.0,e9,PPhMe2,nI,0.047646357359235086
44,0.0,44.0,0.0,44.0,e7,Cy-DavePhos,nE,0.07737987898288086
45,0.0,45.0,0.0,45.0,e5,X-Phos,nI,0.6595060362188809
46,0.0,46.0,0.0,46.0,e2,"P(3,5-CF3-Ph)3",nA,0.7596387385382168
47,0.0,47.0,0.0,47.0,e5,CX-PICy,nA,0.6723589540000653
48,0.0,48.0,0.0,48.0,e10,PPhtBu2,nG,0.2854037571220982
49,0.0,49.0,0.0,49.0,e7,"P(3,5-CF3-Ph)3",nD,0.7248719169293781
50,0.0,50.0,0.0,50.0,e10,Et-PhenCar-Phos,nG,0.4986371729738086
51,0.0,51.0,0.0,51.0,e3,"P(3,5-CF3-Ph)3",nF,0.739492776362512
52,0.0,52.0,0.0,52.0,e9,P(o-Anis)3,nF,0.19110058556975276
53,0.0,53.0,0.0,53.0,e1,X-Phos,nE,0.024633332147110165
