,num_sims,round,experiment,horizon,electrophile_id,ligand_name,nucleophile_id,yield
0,0.0,0.0,0.0,0.0,e3,A-caPhos,nG,0.0
1,0.0,1.0,0.0,1.0,e1,BrettPhos,nA,0.0
2,0.0,2.0,0.0,2.0,e9,CX-FBu,nA,0.026568437497950775
3,0.0,3.0,0.0,3.0,e1,CX-PICy,nI,0.16332586594833928
4,0.0,4.0,0.0,4.0,e4,Cy-DavePhos,nI,0.09721557254928792
5,0.0,5.0,0.0,5.0,e10,Cy-vBRIDP,nE,0.10818426656909862
6,0.0,6.0,0.0,6.0,e5,Kwong,nI,0.605127225193205
7,0.0,7.0,0.0,7.0,e10,MeO-KITPHOS,nC,0.6485009952102284
8,0.0,8.0,0.0,8.0,e2,P(o-Anis)3,nG,0.12131880345908684
9,0.0,9.0,0.0,9.0,e1,Et-PhenCar-Phos,nC,0.13162928317129613
10,0.0,10.0,0.0,10.0,e10,JackiePhos,nB,0.3412973722922598
11,0.0,11.0,0.0,11.0,e3,"P(3,5-CF3-Ph)3",nF,0.739492776362512
12,0.0,12.0,0.0,12.0,e3,P(fur)3,nB,0.048815786923134194
13,0.0,13.0,0.0,13.0,e5,Ph-PhenCar-Phos,nA,0.0
14,0.0,14.0,0.0,14.0,e9,PPh2Me,nI,0.5231142463877392
15,0.0,15.0,0.0,15.0,e9,PPhtBu2,nI,0.6362211015918549
16,0.0,16.0,0.0,16.0,e9,tBPh-CPhos,nA,0.5070576131604569
17,0.0,17.0,0.0,17.0,e2,PPhMe2,nE,0.206575885338896
18,0.0,18.0,0.0,18.0,e2,Cy-BippyPhos,nD,0.899766462439471
19,0.0,19.0,0.0,19.0,e5,PCy3 HBF4,nD,0.4635875867274559
20,0.0,20.0,0.0,20.0,e5,CgMe-PPh,nF,0.4710660416220753
21,0.0,21.0,0.0,21.0,e9,PPh3,nB,0.08611579146274333
22,0.0,22.0,0.0,22.0,e1,X-Phos,nC,0.27431091804894675
23,0.0,23.0,0.0,23.0,e4,PnBu3 HBF4,nA,0.01706005824707267
24,0.0,24.0,0.0,24.0,e5,Cy-BippyPhos,nC,0.7310324837389857
25,0.0,25.0,0.0,25.0,e10,"P(3,5-CF3-Ph)3",nG,0.420516226306976
26,0.0,26.0,0.0,26.0,e7,MeO-KITPHOS,nF,0.14909057955854127
27,0.0,27.0,0.0,27.0,e1,PPhtBu2,nI,0.0
28,0.0,28.0,0.0,28.0,e4,Kwong,nG,0.0
29,0.0,29.0,0.0,29.0,e3,PPh2Me,nA,0.009003872028159892
30,0.0,30.0,0.0,30.0,e7,tBPh-CPhos,nC,0.6575510344081796
31,0.0,31.0,0.0,31.0,e10,CgMe-PPh,nA,0.1556727410455523
32,0.0,32.0,0.0,32.0,e3,PCy3 HBF4,nE,0.06067622810866836
33,0.0,33.0,0.0,33.0,e1,JackiePhos,nI,0.23164589492729465
34,0.0,34.0,0.0,34.0,e9,X-Phos,nA,0.4653132921969271
35,0.0,35.0,0.0,35.0,e9,Cy-BippyPhos,nE,0.1706050823301135
36,0.0,36.0,0.0,36.0,e1,PPhMe2,nG,0.015753918769731767
37,0.0,37.0,0.0,37.0,e2,CX-PICy,nD,0.844934148288056
38,0.0,38.0,0.0,38.0,e4,Et-PhenCar-Phos,nI,0.02371214570587278
39,0.0,39.0,0.0,39.0,e9,P(o-Anis)3,nE,0.015334735124532104
40,0.0,40.0,0.0,40.0,e4,Cy-vBRIDP,nC,0.20302461670836117
41,0.0,41.0,0.0,41.0,e7,Cy-DavePhos,nC,0.43870094090204687
42,0.0,42.0,0.0,42.0,e10,PPh3,nB,0.027379747986006113
43,0.0,43.0,0.0,43.0,e5,P(fur)3,nC,0.706763204366684
44,0.0,44.0,0.0,44.0,e4,CX-FBu,nC,0.0047669076631712696
45,0.0,45.0,0.0,45.0,e10,PnBu3 HBF4,nI,0.26729288053977013
46,0.0,46.0,0.0,46.0,e2,A-caPhos,nE,0.03960375441695721
47,0.0,47.0,0.0,47.0,e10,BrettPhos,nI,0.1572445220332629
48,0.0,48.0,0.0,48.0,e7,Ph-PhenCar-Phos,nE,0.014969722878949149
49,0.0,49.0,0.0,49.0,e2,tBPh-CPhos,nG,0.21498121859438568
50,0.0,50.0,0.0,50.0,e10,"P(3,5-CF3-Ph)3",nD,0.9480127354628836
51,0.0,51.0,0.0,51.0,e5,CX-PICy,nG,0.35909736921031543
52,0.0,52.0,0.0,52.0,e5,"P(3,5-CF3-Ph)3",nB,0.24568271742359823
53,0.0,53.0,0.0,53.0,e2,MeO-KITPHOS,nA,0.6953968715197815
54,0.0,54.0,0.0,54.0,e5,P(fur)3,nD,0.7206680265827334
55,0.0,55.0,0.0,55.0,e1,X-Phos,nA,0.8789499411781446
56,0.0,56.0,0.0,56.0,e4,Cy-BippyPhos,nE,0.0
57,0.0,57.0,0.0,57.0,e2,PPhtBu2,nE,0.2141985283033928
58,0.0,58.0,0.0,58.0,e9,CgMe-PPh,nI,0.9133569283838853
59,0.0,59.0,0.0,59.0,e1,Kwong,nB,0.06453691607178057
60,0.0,60.0,0.0,60.0,e3,JackiePhos,nG,0.6578858211575712
61,0.0,61.0,0.0,61.0,e10,X-Phos,nE,0.0935959226806929
62,0.0,62.0,0.0,62.0,e5,Cy-DavePhos,nD,0.7566333942731113
63,0.0,63.0,0.0,63.0,e1,PPh2Me,nG,0.046182417331377484
64,0.0,64.0,0.0,64.0,e1,PCy3 HBF4,nC,0.12548596697694442
65,0.0,65.0,0.0,65.0,e9,CgMe-PPh,nB,0.16201116259216772
66,0.0,66.0,0.0,66.0,e2,MeO-KITPHOS,nF,0.6735229847545438
67,0.0,67.0,0.0,67.0,e2,P(fur)3,nC,0.531364471158177
68,0.0,68.0,0.0,68.0,e5,tBPh-CPhos,nI,0.8432755599410124
69,0.0,69.0,0.0,69.0,e4,CX-PICy,nI,0.049131110362350565
70,0.0,70.0,0.0,70.0,e9,"P(3,5-CF3-Ph)3",nG,0.3475054757161358
71,0.0,71.0,0.0,71.0,e7,Cy-DavePhos,nG,0.22461200392146816
72,0.0,72.0,0.0,72.0,e2,Cy-vBRIDP,nG,0.27869962157058037
73,0.0,73.0,0.0,73.0,e4,JackiePhos,nE,0.0
74,0.0,74.0,0.0,74.0,e1,PnBu3 HBF4,nE,0.0
75,0.0,75.0,0.0,75.0,e9,tBPh-CPhos,nI,0.8988852901963119
76,0.0,76.0,0.0,76.0,e3,MeO-KITPHOS,nB,0.16832752828316924
77,0.0,77.0,0.0,77.0,e4,PPhMe2,nD,0.03789710444075946
78,0.0,78.0,0.0,78.0,e3,tBPh-CPhos,nA,0.5729071695707448
79,0.0,79.0,0.0,79.0,e1,P(fur)3,nF,0.0
80,0.0,80.0,0.0,80.0,e10,BrettPhos,nA,0.3672528507287323
