,num_sims,round,experiment,horizon,electrophile_id,ligand_name,nucleophile_id,yield
0,0.0,0.0,0.0,0.0,e9,A-caPhos,nD,0.5903907562753792
1,0.0,1.0,0.0,1.0,e9,BrettPhos,nI,0.032611559012961096
2,0.0,2.0,0.0,2.0,e1,CX-FBu,nD,0.04874487002483518
3,0.0,3.0,0.0,3.0,e4,CX-PICy,nE,0.044118367259479443
4,0.0,4.0,0.0,4.0,e2,Cy-DavePhos,nD,0.8600984767103315
5,0.0,5.0,0.0,5.0,e7,Cy-vBRIDP,nD,0.5488733534623731
6,0.0,6.0,0.0,6.0,e1,Kwong,nA,0.11345641456119931
7,0.0,7.0,0.0,7.0,e3,MeO-KITPHOS,nD,0.4375043123935729
8,0.0,8.0,0.0,8.0,e2,P(o-Anis)3,nA,0.25800548866225337
9,0.0,9.0,0.0,9.0,e2,Et-PhenCar-Phos,nD,0.9214853157259724
10,0.0,10.0,0.0,10.0,e4,JackiePhos,nG,0.011497397001572884
11,0.0,11.0,0.0,11.0,e5,"P(3,5-CF3-Ph)3",nA,0.6652219449652172
12,0.0,12.0,0.0,12.0,e3,P(fur)3,nE,0.09598414323281666
13,0.0,13.0,0.0,13.0,e5,Ph-PhenCar-Phos,nI,0.37255339391005377
14,0.0,14.0,0.0,14.0,e10,PPh2Me,nA,0.7312605481380088
15,0.0,15.0,0.0,15.0,e5,PPhtBu2,nE,0.26560222932504995
16,0.0,16.0,0.0,16.0,e10,tBPh-CPhos,nI,0.7208013397621875
17,0.0,17.0,0.0,17.0,e10,PPhMe2,nG,0.29388406090139285
18,0.0,18.0,0.0,18.0,e9,Cy-BippyPhos,nI,0.7811843865330459
19,0.0,19.0,0.0,19.0,e5,PCy3 HBF4,nI,0.34482654450171224
20,0.0,20.0,0.0,20.0,e5,CgMe-PPh,nG,0.5263762443562906
21,0.0,21.0,0.0,21.0,e4,PPh3,nA,0.08894444044781374
22,0.0,22.0,0.0,22.0,e7,X-Phos,nD,0.3829370574937559
23,0.0,23.0,0.0,23.0,e10,PnBu3 HBF4,nD,1.0
24,0.0,24.0,0.0,24.0,e2,PnBu3 HBF4,nG,0.05240835785700971
25,0.0,25.0,0.0,25.0,e2,Et-PhenCar-Phos,nA,0.9619512654546682
26,0.0,26.0,0.0,26.0,e5,Cy-DavePhos,nG,0.4296099762008142
27,0.0,27.0,0.0,27.0,e9,Cy-BippyPhos,nD,0.7312870661515999
28,0.0,28.0,0.0,28.0,e10,Et-PhenCar-Phos,nF,0.9128845279878604
29,0.0,29.0,0.0,29.0,e2,PPh2Me,nG,0.0
30,0.0,30.0,0.0,30.0,e5,tBPh-CPhos,nG,0.3364545940088557
31,0.0,31.0,0.0,31.0,e1,Et-PhenCar-Phos,nI,0.05407119647865783
32,0.0,32.0,0.0,32.0,e9,"P(3,5-CF3-Ph)3",nE,0.0796317150343979
33,0.0,33.0,0.0,33.0,e3,A-caPhos,nE,0.07288605180469757
34,0.0,34.0,0.0,34.0,e7,Cy-BippyPhos,nA,0.5454537179950174
35,0.0,35.0,0.0,35.0,e7,Cy-vBRIDP,nB,0.18834091750393028
36,0.0,36.0,0.0,36.0,e7,CgMe-PPh,nC,0.4527219927063775
37,0.0,37.0,0.0,37.0,e3,Cy-DavePhos,nA,0.4587692631158191
38,0.0,38.0,0.0,38.0,e5,MeO-KITPHOS,nA,0.677313943864531
39,0.0,39.0,0.0,39.0,e3,Cy-BippyPhos,nG,0.6656541362855952
40,0.0,40.0,0.0,40.0,e1,Et-PhenCar-Phos,nD,0.07952442668374339
41,0.0,41.0,0.0,41.0,e1,MeO-KITPHOS,nE,0.04671760971453625
42,0.0,42.0,0.0,42.0,e5,X-Phos,nG,0.36700316278880124
43,0.0,43.0,0.0,43.0,e4,Cy-BippyPhos,nA,0.014200695922544622
44,0.0,44.0,0.0,44.0,e3,Ph-PhenCar-Phos,nE,0.000513778510005651
45,0.0,45.0,0.0,45.0,e10,tBPh-CPhos,nC,0.7154205799800839
46,0.0,46.0,0.0,46.0,e7,PnBu3 HBF4,nC,0.08381330857807825
47,0.0,47.0,0.0,47.0,e5,PCy3 HBF4,nD,0.4635875867274559
48,0.0,48.0,0.0,48.0,e7,tBPh-CPhos,nB,0.313551181342256
49,0.0,49.0,0.0,49.0,e2,Cy-DavePhos,nB,0.3895783251678055
50,0.0,50.0,0.0,50.0,e5,CgMe-PPh,nD,0.8391860239024482
51,0.0,51.0,0.0,51.0,e7,CgMe-PPh,nI,0.6142759277683246
52,0.0,52.0,0.0,52.0,e5,CgMe-PPh,nB,0.24129886485371901
53,0.0,53.0,0.0,53.0,e10,PPhMe2,nI,0.5272307031167799
54,0.0,54.0,0.0,54.0,e3,PPhtBu2,nA,0.3650613273843325
55,0.0,55.0,0.0,55.0,e1,P(o-Anis)3,nE,0.0726200206341357
56,0.0,56.0,0.0,56.0,e3,Et-PhenCar-Phos,nF,0.7168147526183698
57,0.0,57.0,0.0,57.0,e7,Et-PhenCar-Phos,nD,1.0
58,0.0,58.0,0.0,58.0,e2,Et-PhenCar-Phos,nB,0.30781579365006
59,0.0,59.0,0.0,59.0,e2,PPhMe2,nD,0.9665760108651322
60,0.0,60.0,0.0,60.0,e1,PPhMe2,nD,0.0
61,0.0,61.0,0.0,61.0,e7,PCy3 HBF4,nE,0.012884298674100353
62,0.0,62.0,0.0,62.0,e9,Cy-DavePhos,nC,0.37373314589550694
63,0.0,63.0,0.0,63.0,e1,Et-PhenCar-Phos,nB,0.04532172338475905
64,0.0,64.0,0.0,64.0,e3,tBPh-CPhos,nA,0.5729071695707448
65,0.0,65.0,0.0,65.0,e7,Cy-BippyPhos,nC,0.8232211000009824
66,0.0,66.0,0.0,66.0,e1,Cy-BippyPhos,nA,0.6371489847313551
67,0.0,67.0,0.0,67.0,e5,Cy-BippyPhos,nG,0.45451502639332875
68,0.0,68.0,0.0,68.0,e3,X-Phos,nA,0.5260046217897938
69,0.0,69.0,0.0,69.0,e9,"P(3,5-CF3-Ph)3",nF,0.3243416897405247
70,0.0,70.0,0.0,70.0,e10,Cy-vBRIDP,nI,0.8380507759186263
71,0.0,71.0,0.0,71.0,e10,Cy-vBRIDP,nF,0.8737297326167234
72,0.0,72.0,0.0,72.0,e9,Cy-vBRIDP,nC,0.3462977628869725
73,0.0,73.0,0.0,73.0,e4,Cy-vBRIDP,nB,0.0
74,0.0,74.0,0.0,74.0,e7,CgMe-PPh,nE,0.023295783669163114
75,0.0,75.0,0.0,75.0,e5,PPh2Me,nE,0.26506344108851254
76,0.0,76.0,0.0,76.0,e2,tBPh-CPhos,nB,0.3113430630612205
77,0.0,77.0,0.0,77.0,e1,Cy-BippyPhos,nC,0.12530079881726516
78,0.0,78.0,0.0,78.0,e1,X-Phos,nD,0.11103234490926704
79,0.0,79.0,0.0,79.0,e9,Cy-DavePhos,nD,0.7064770155795914
80,0.0,80.0,0.0,80.0,e9,Cy-DavePhos,nF,0.869939977523386
81,0.0,81.0,0.0,81.0,e3,Cy-DavePhos,nE,0.1655425072853271
82,0.0,82.0,0.0,82.0,e2,A-caPhos,nF,0.09240764466838348
83,0.0,83.0,0.0,83.0,e1,Et-PhenCar-Phos,nE,0.038240826794146296
84,0.0,84.0,0.0,84.0,e2,PPhtBu2,nI,0.6066938793729448
85,0.0,85.0,0.0,85.0,e5,PPhtBu2,nA,0.6662908668048635
86,0.0,86.0,0.0,86.0,e7,PPhtBu2,nA,0.22643925135847556
87,0.0,87.0,0.0,87.0,e5,PPhMe2,nG,0.32039585377097946
88,0.0,88.0,0.0,88.0,e3,Cy-DavePhos,nC,0.37215812981068086
89,0.0,89.0,0.0,89.0,e9,tBPh-CPhos,nE,0.2128966624664455
90,0.0,90.0,0.0,90.0,e2,MeO-KITPHOS,nA,0.6953968715197815
91,0.0,91.0,0.0,91.0,e3,MeO-KITPHOS,nB,0.16832752828316924
92,0.0,92.0,0.0,92.0,e5,Cy-BippyPhos,nA,0.7454640568896914
93,0.0,93.0,0.0,93.0,e10,Cy-BippyPhos,nF,0.9551634913355087
94,0.0,94.0,0.0,94.0,e5,Cy-BippyPhos,nI,0.8909978993536253
95,0.0,95.0,0.0,95.0,e9,Cy-BippyPhos,nE,0.1706050823301135
96,1.0,0.0,0.0,0.0,e3,A-caPhos,nI,0.251402716237195
97,1.0,1.0,0.0,1.0,e2,BrettPhos,nB,0.018712271806066737
98,1.0,2.0,0.0,2.0,e4,CX-FBu,nF,0.0037689635802445258
99,1.0,3.0,0.0,3.0,e9,CX-PICy,nC,0.3368172083334284
100,1.0,4.0,0.0,4.0,e1,Cy-DavePhos,nC,0.07922994530801464
101,1.0,5.0,0.0,5.0,e5,Cy-vBRIDP,nG,0.40071151817911255
102,1.0,6.0,0.0,6.0,e1,Kwong,nG,0.02109424691555194
103,1.0,7.0,0.0,7.0,e1,MeO-KITPHOS,nA,0.198940849951651
104,1.0,8.0,0.0,8.0,e1,P(o-Anis)3,nC,0.2646743135782516
105,1.0,9.0,0.0,9.0,e9,Et-PhenCar-Phos,nD,0.6763905107050712
106,1.0,10.0,0.0,10.0,e2,JackiePhos,nD,0.8885726039005069
107,1.0,11.0,0.0,11.0,e10,"P(3,5-CF3-Ph)3",nG,0.420516226306976
108,1.0,12.0,0.0,12.0,e5,P(fur)3,nG,0.4460254587435207
109,1.0,13.0,0.0,13.0,e3,Ph-PhenCar-Phos,nC,0.4884283173094792
110,1.0,14.0,0.0,14.0,e5,PPh2Me,nC,0.7002906735204408
111,1.0,15.0,0.0,15.0,e3,PPhtBu2,nA,0.3650613273843325
112,1.0,16.0,0.0,16.0,e10,tBPh-CPhos,nI,0.7208013397621875
113,1.0,17.0,0.0,17.0,e10,PPhMe2,nC,0.711717873982058
114,1.0,18.0,0.0,18.0,e9,Cy-BippyPhos,nF,0.9242970629259212
115,1.0,19.0,0.0,19.0,e5,PCy3 HBF4,nE,0.04434804632877687
116,1.0,20.0,0.0,20.0,e7,CgMe-PPh,nG,0.20467687014770913
117,1.0,21.0,0.0,21.0,e5,PPh3,nA,0.2549508068127627
118,1.0,22.0,0.0,22.0,e9,X-Phos,nF,0.7946437444937127
119,1.0,23.0,0.0,23.0,e2,PnBu3 HBF4,nB,0.04474124971849085
120,1.0,24.0,0.0,24.0,e1,Cy-BippyPhos,nB,0.16085798150695332
121,1.0,25.0,0.0,25.0,e9,JackiePhos,nA,0.4878435591523317
122,1.0,26.0,0.0,26.0,e4,X-Phos,nF,0.075113393769907
123,1.0,27.0,0.0,27.0,e5,tBPh-CPhos,nD,0.8244748174600138
124,1.0,28.0,0.0,28.0,e4,PPhMe2,nA,0.0
125,1.0,29.0,0.0,29.0,e5,PPh2Me,nB,0.24852294716245807
126,1.0,30.0,0.0,30.0,e10,Et-PhenCar-Phos,nC,0.7283750489168687
127,1.0,31.0,0.0,31.0,e5,tBPh-CPhos,nE,0.21985955173112223
128,1.0,32.0,0.0,32.0,e7,Et-PhenCar-Phos,nA,0.46105828561415296
129,1.0,33.0,0.0,33.0,e9,JackiePhos,nG,0.542757589383612
130,1.0,34.0,0.0,34.0,e4,Ph-PhenCar-Phos,nA,0.0
131,1.0,35.0,0.0,35.0,e3,P(fur)3,nF,0.44484850798719355
132,1.0,36.0,0.0,36.0,e10,"P(3,5-CF3-Ph)3",nC,0.6167370746739574
133,1.0,37.0,0.0,37.0,e7,Cy-vBRIDP,nE,0.0285055968883504
134,1.0,38.0,0.0,38.0,e2,JackiePhos,nF,0.547298687249777
135,1.0,39.0,0.0,39.0,e7,Cy-BippyPhos,nD,1.0
136,1.0,40.0,0.0,40.0,e9,Cy-BippyPhos,nI,0.7811843865330459
