,num_sims,round,experiment,horizon,chosen_arm,reward,cumulative_reward
0,0.0,0.0,0.0,0.0,0.0,0.03960375441695721,0.03960375441695721
1,0.0,1.0,0.0,1.0,1.0,0.06659152732740367,0.10619528174436088
2,0.0,2.0,0.0,2.0,2.0,0.0047669076631712696,0.11096218940753215
3,0.0,3.0,0.0,3.0,3.0,0.04719868390618946,0.1581608733137216
4,0.0,4.0,0.0,4.0,4.0,0.14325304895448931,0.30141392226821095
5,0.0,5.0,0.0,5.0,5.0,0.6820459911323365,0.9834599134005475
6,0.0,6.0,0.0,6.0,6.0,0.6707851203385027,1.6542450337390502
7,0.0,7.0,0.0,7.0,7.0,0.012124358784725389,1.6663693925237755
8,0.0,8.0,0.0,8.0,8.0,0.1800745926353478,1.8464439851591232
9,0.0,9.0,0.0,9.0,9.0,0.2910836416236313,2.1375276267827545
10,0.0,10.0,0.0,10.0,10.0,0.8885726039005069,3.0261002306832614
11,0.0,11.0,0.0,11.0,11.0,0.8478546310824894,3.8739548617657507
12,0.0,12.0,0.0,12.0,12.0,0.28711297797323754,4.161067839738989
13,0.0,13.0,0.0,13.0,13.0,0.000513778510005651,4.161581618248994
14,0.0,14.0,0.0,14.0,14.0,0.2867303573574186,4.448311975606413
15,0.0,15.0,0.0,15.0,15.0,0.7431815841843207,5.191493559790733
16,0.0,16.0,0.0,16.0,16.0,0.6694190600721208,5.860912619862854
17,0.0,17.0,0.0,17.0,17.0,0.0,5.860912619862854
18,0.0,18.0,0.0,18.0,18.0,0.014200695922544622,5.8751133157853985
19,0.0,19.0,0.0,19.0,19.0,0.07881380061232132,5.95392711639772
20,0.0,20.0,0.0,20.0,20.0,0.47486974841558166,6.428796864813302
21,0.0,21.0,0.0,21.0,21.0,0.2549508068127627,6.683747671626064
22,0.0,22.0,0.0,22.0,22.0,0.05873515318530329,6.7424828248113675
23,0.0,23.0,0.0,23.0,23.0,0.061021062497356005,6.8035038873087235
24,0.0,24.0,0.0,24.0,10.0,0.6733815385706186,7.476885425879342
25,0.0,25.0,0.0,25.0,11.0,0.3248401714816362,7.801725597360978
26,0.0,26.0,0.0,26.0,15.0,0.3392981528661412,8.141023750227118
27,0.0,27.0,0.0,27.0,5.0,0.1653784441959319,8.30640219442305
28,0.0,28.0,0.0,28.0,6.0,0.11345641456119931,8.41985860898425
29,0.0,29.0,0.0,29.0,16.0,0.20431204836192307,8.624170657346172
30,0.0,30.0,0.0,30.0,20.0,0.7692361366046242,9.393406793950795
31,0.0,31.0,0.0,31.0,10.0,0.5634096118513189,9.956816405802114
32,0.0,32.0,0.0,32.0,9.0,0.9214853157259724,10.878301721528086
33,0.0,33.0,0.0,33.0,20.0,0.7463019251283864,11.624603646656473
34,0.0,34.0,0.0,34.0,12.0,0.09598414323281666,11.72058778988929
35,0.0,35.0,0.0,35.0,14.0,0.03975950169843254,11.760347291587722
36,0.0,36.0,0.0,36.0,9.0,0.07748698744311458,11.837834279030837
37,0.0,37.0,0.0,37.0,21.0,0.00995882546000144,11.847793104490838
38,0.0,38.0,0.0,38.0,11.0,0.01373661617423656,11.861529720665075
39,0.0,39.0,0.0,39.0,10.0,0.07879071157202047,11.940320432237096
40,0.0,40.0,0.0,40.0,15.0,0.3650613273843325,12.305381759621428
