,num_sims,round,experiment,horizon,electrophile_id,ligand_name,nucleophile_id,yield
0,0.0,0.0,0.0,0.0,e4,CX-FBu,nB,0.003611186330700581
1,0.0,1.0,0.0,1.0,e9,PPhtBu2,nD,0.2526686520906297
2,0.0,2.0,0.0,2.0,e5,BrettPhos,nD,0.6392781029757402
3,0.0,3.0,0.0,3.0,e3,PnBu3 HBF4,nA,0.08612679775706653
4,0.0,4.0,0.0,4.0,e10,PPh2Me,nF,0.9442102793927251
5,0.0,5.0,0.0,5.0,e9,CX-PICy,nE,0.11110502362494325
6,0.0,6.0,0.0,6.0,e4,Cy-vBRIDP,nD,0.0814370688803937
7,0.0,7.0,0.0,7.0,e9,A-caPhos,nE,0.1264609747923346
8,0.0,8.0,0.0,8.0,e9,MeO-KITPHOS,nC,0.35851761793533216
9,0.0,9.0,0.0,9.0,e3,P(o-Anis)3,nA,0.1800745926353478
10,0.0,10.0,0.0,10.0,e9,BrettPhos,nF,0.16808056792906734
11,0.0,11.0,0.0,11.0,e2,PCy3 HBF4,nE,0.0
12,0.0,12.0,0.0,12.0,e1,PPh3,nF,0.033638963742203404
13,0.0,13.0,0.0,13.0,e3,tBPh-CPhos,nG,0.6694190600721208
14,0.0,14.0,0.0,14.0,e4,Cy-BippyPhos,nE,0.0
15,0.0,15.0,0.0,15.0,e10,PPhMe2,nC,0.711717873982058
16,0.0,16.0,0.0,16.0,e3,JackiePhos,nB,0.1608694107669877
17,0.0,17.0,0.0,17.0,e5,Ph-PhenCar-Phos,nF,0.09156197264058712
18,0.0,18.0,0.0,18.0,e5,PPh2Me,nC,0.7002906735204408
19,0.0,19.0,0.0,19.0,e2,Et-PhenCar-Phos,nD,0.9214853157259724
20,0.0,20.0,0.0,20.0,e3,CgMe-PPh,nC,0.5573433814229866
21,0.0,21.0,0.0,21.0,e9,X-Phos,nC,0.3631647018503177
22,0.0,22.0,0.0,22.0,e2,Cy-DavePhos,nA,0.890605834039087
23,0.0,23.0,0.0,23.0,e2,PPhMe2,nF,0.6752763886691495
24,0.0,24.0,0.0,24.0,e5,X-Phos,nE,0.10922716180611192
25,0.0,25.0,0.0,25.0,e3,Cy-DavePhos,nF,0.8181899294726043
26,0.0,26.0,0.0,26.0,e9,"P(3,5-CF3-Ph)3",nA,0.28248248720696867
27,0.0,27.0,0.0,27.0,e10,Et-PhenCar-Phos,nI,0.8978098811886851
28,0.0,28.0,0.0,28.0,e9,PPh2Me,nE,0.1405880999819467
29,0.0,29.0,0.0,29.0,e5,PPhMe2,nC,0.6973280420518365
30,0.0,30.0,0.0,30.0,e2,Cy-DavePhos,nF,0.8384971848128893
31,0.0,31.0,0.0,31.0,e5,MeO-KITPHOS,nE,0.20090081346750718
32,0.0,32.0,0.0,32.0,e4,Kwong,nB,0.0
33,0.0,33.0,0.0,33.0,e3,Et-PhenCar-Phos,nG,0.7493850028763238
34,0.0,34.0,0.0,34.0,e7,Cy-vBRIDP,nA,0.4856539808134513
35,0.0,35.0,0.0,35.0,e3,Cy-BippyPhos,nG,0.6656541362855952
36,0.0,36.0,0.0,36.0,e3,tBPh-CPhos,nA,0.5729071695707448
37,0.0,37.0,0.0,37.0,e7,P(fur)3,nF,0.003960698397596189
38,0.0,38.0,0.0,38.0,e1,Cy-DavePhos,nC,0.07922994530801464
39,0.0,39.0,0.0,39.0,e1,CX-PICy,nF,0.035498905100854815
40,0.0,40.0,0.0,40.0,e7,CX-FBu,nE,0.001217827266805761
41,0.0,41.0,0.0,41.0,e4,P(fur)3,nC,0.5121985356201784
42,0.0,42.0,0.0,42.0,e3,Kwong,nG,0.6379955567259125
43,0.0,43.0,0.0,43.0,e5,Cy-vBRIDP,nA,0.7556883724207524
44,0.0,44.0,0.0,44.0,e1,PPhMe2,nC,0.04178685204173926
45,0.0,45.0,0.0,45.0,e2,JackiePhos,nG,0.226362632584802
46,0.0,46.0,0.0,46.0,e2,tBPh-CPhos,nG,0.21498121859438568
47,0.0,47.0,0.0,47.0,e7,"P(3,5-CF3-Ph)3",nA,0.10610513723257087
48,0.0,48.0,0.0,48.0,e1,Cy-DavePhos,nD,0.0801309667245095
49,0.0,49.0,0.0,49.0,e3,BrettPhos,nE,0.012327416789753938
50,0.0,50.0,0.0,50.0,e1,Et-PhenCar-Phos,nA,0.5211070217161989
51,0.0,51.0,0.0,51.0,e7,Cy-BippyPhos,nF,0.8908823040179712
52,0.0,52.0,0.0,52.0,e2,CgMe-PPh,nC,0.6339599379342666
53,0.0,53.0,0.0,53.0,e9,P(o-Anis)3,nI,0.23316176458179774
54,0.0,54.0,0.0,54.0,e7,PPh3,nF,0.578123168434268
55,0.0,55.0,0.0,55.0,e1,PPhtBu2,nI,0.0
56,0.0,56.0,0.0,56.0,e5,Cy-BippyPhos,nB,0.35550155976803
57,0.0,57.0,0.0,57.0,e5,CgMe-PPh,nE,0.0
58,0.0,58.0,0.0,58.0,e7,P(o-Anis)3,nG,0.04483783011499854
59,0.0,59.0,0.0,59.0,e5,Et-PhenCar-Phos,nF,0.9721268742833418
60,0.0,60.0,0.0,60.0,e9,A-caPhos,nF,0.3473256083599624
61,0.0,61.0,0.0,61.0,e2,JackiePhos,nF,0.547298687249777
62,0.0,62.0,0.0,62.0,e2,PPh3,nB,0.06113101017244386
63,0.0,63.0,0.0,63.0,e10,Et-PhenCar-Phos,nC,0.7283750489168687
64,0.0,64.0,0.0,64.0,e9,PPhMe2,nI,0.047646357359235086
65,0.0,65.0,0.0,65.0,e9,Et-PhenCar-Phos,nF,0.7233050105292524
66,0.0,66.0,0.0,66.0,e9,MeO-KITPHOS,nF,0.2069173517749973
67,0.0,67.0,0.0,67.0,e3,P(fur)3,nC,0.46239361820179303
68,0.0,68.0,0.0,68.0,e3,tBPh-CPhos,nE,0.18973560206253479
69,0.0,69.0,0.0,69.0,e5,A-caPhos,nF,0.19177908780741595
70,0.0,70.0,0.0,70.0,e2,Et-PhenCar-Phos,nF,0.516942514891109
71,0.0,71.0,0.0,71.0,e4,PPh2Me,nC,0.0
72,0.0,72.0,0.0,72.0,e1,PCy3 HBF4,nG,0.011446303846680505
73,0.0,73.0,0.0,73.0,e4,PnBu3 HBF4,nD,0.037089716289498115
74,0.0,74.0,0.0,74.0,e1,Ph-PhenCar-Phos,nF,0.03399207920306404
75,0.0,75.0,0.0,75.0,e3,Et-PhenCar-Phos,nD,0.6274812834141975
76,0.0,76.0,0.0,76.0,e5,P(o-Anis)3,nB,0.08805288524342034
77,0.0,77.0,0.0,77.0,e1,Cy-DavePhos,nI,0.007578802183845745
78,0.0,78.0,0.0,78.0,e3,Et-PhenCar-Phos,nA,0.6402198562439387
79,0.0,79.0,0.0,79.0,e1,Et-PhenCar-Phos,nE,0.038240826794146296
80,0.0,80.0,0.0,80.0,e9,Cy-BippyPhos,nF,0.9242970629259212
81,0.0,81.0,0.0,81.0,e9,CX-FBu,nF,0.005339162336147423
82,0.0,82.0,0.0,82.0,e10,Cy-vBRIDP,nA,0.6642431458921436
83,0.0,83.0,0.0,83.0,e3,Et-PhenCar-Phos,nB,0.2232542389845771
84,0.0,84.0,0.0,84.0,e4,Cy-vBRIDP,nI,0.08512605466614513
85,0.0,85.0,0.0,85.0,e9,Et-PhenCar-Phos,nA,0.4931113401041398
86,0.0,86.0,0.0,86.0,e4,PPhMe2,nA,0.0
87,0.0,87.0,0.0,87.0,e9,Et-PhenCar-Phos,nD,0.6763905107050712
88,0.0,88.0,0.0,88.0,e1,PPh2Me,nC,0.03975950169843254
89,0.0,89.0,0.0,89.0,e9,PnBu3 HBF4,nI,0.364306479041637
90,0.0,90.0,0.0,90.0,e7,CX-PICy,nC,0.5896946040296001
91,0.0,91.0,0.0,91.0,e1,Et-PhenCar-Phos,nG,0.07748698744311458
92,0.0,92.0,0.0,92.0,e4,Et-PhenCar-Phos,nF,0.10620274724550914
93,0.0,93.0,0.0,93.0,e1,CgMe-PPh,nI,0.33119462408139744
94,0.0,94.0,0.0,94.0,e7,Et-PhenCar-Phos,nE,0.05718031328307803
95,0.0,95.0,0.0,95.0,e9,X-Phos,nE,0.11576466040964467
96,0.0,96.0,0.0,96.0,e2,Et-PhenCar-Phos,nB,0.30781579365006
97,0.0,97.0,0.0,97.0,e10,P(fur)3,nA,0.6938329241091595
98,0.0,98.0,0.0,98.0,e2,Cy-vBRIDP,nD,0.9350385282324228
99,0.0,99.0,0.0,99.0,e3,Cy-BippyPhos,nF,0.818115739608698
100,0.0,100.0,0.0,100.0,e5,Kwong,nA,0.5502353247445788
101,0.0,101.0,0.0,101.0,e7,Cy-BippyPhos,nG,0.3885701449233445
102,0.0,102.0,0.0,102.0,e5,PPhtBu2,nA,0.6662908668048635
103,0.0,103.0,0.0,103.0,e10,CgMe-PPh,nB,0.26208153455778976
104,0.0,104.0,0.0,104.0,e9,PCy3 HBF4,nA,0.39949447947915445
