,num_sims,round,experiment,horizon,electrophile_id,ligand_name,nucleophile_id,yield
0,0.0,0.0,0.0,0.0,e1,A-caPhos,nB,0.032845277452679046
1,0.0,1.0,0.0,1.0,e3,BrettPhos,nA,0.14218929019809526
2,0.0,2.0,0.0,2.0,e10,CX-FBu,nE,0.0
3,0.0,3.0,0.0,3.0,e3,CX-PICy,nF,0.7995186870947941
4,0.0,4.0,0.0,4.0,e10,Cy-DavePhos,nB,0.5831319074822904
5,0.0,5.0,0.0,5.0,e9,Cy-vBRIDP,nD,0.491893920360841
6,0.0,6.0,0.0,6.0,e10,Kwong,nD,0.8032170682278241
7,0.0,7.0,0.0,7.0,e3,MeO-KITPHOS,nA,0.17210535713127523
8,0.0,8.0,0.0,8.0,e9,P(o-Anis)3,nF,0.2548147434586678
9,0.0,9.0,0.0,9.0,e1,Et-PhenCar-Phos,nB,0.0798067765517771
10,0.0,10.0,0.0,10.0,e1,JackiePhos,nC,0.162867456895473
11,0.0,11.0,0.0,11.0,e10,"P(3,5-CF3-Ph)3",nF,0.9750620314912187
12,0.0,12.0,0.0,12.0,e4,P(fur)3,nI,0.0852795524128852
13,0.0,13.0,0.0,13.0,e4,Ph-PhenCar-Phos,nF,0.18305733280212855
14,0.0,14.0,0.0,14.0,e1,PPh2Me,nI,0.18155578929141378
15,0.0,15.0,0.0,15.0,e3,PPhtBu2,nF,0.7636016336486159
16,0.0,16.0,0.0,16.0,e7,tBPh-CPhos,nA,0.3707903683390629
17,0.0,17.0,0.0,17.0,e1,PPhMe2,nB,0.16079810310182843
18,0.0,18.0,0.0,18.0,e9,Cy-BippyPhos,nD,0.8289926107960972
19,0.0,19.0,0.0,19.0,e9,PCy3 HBF4,nB,0.0
20,0.0,20.0,0.0,20.0,e4,CgMe-PPh,nB,0.07626326628770327
21,0.0,21.0,0.0,21.0,e4,PPh3,nD,0.07512516841005525
22,0.0,22.0,0.0,22.0,e2,X-Phos,nC,0.39323722919288706
23,0.0,23.0,0.0,23.0,e4,PnBu3 HBF4,nE,0.2862671058576744
24,0.0,24.0,0.0,24.0,e2,"P(3,5-CF3-Ph)3",nA,0.7088987081979176
25,0.0,25.0,0.0,25.0,e9,Cy-BippyPhos,nC,0.20106702675347107
26,0.0,26.0,0.0,26.0,e5,Kwong,nB,0.40846681029463316
27,0.0,27.0,0.0,27.0,e7,CX-PICy,nG,0.2602517871840423
28,0.0,28.0,0.0,28.0,e4,PPhtBu2,nA,0.0
29,0.0,29.0,0.0,29.0,e9,Cy-DavePhos,nD,0.5161353717770478
30,0.0,30.0,0.0,30.0,e2,Cy-vBRIDP,nC,0.7220010272198807
31,0.0,31.0,0.0,31.0,e4,"P(3,5-CF3-Ph)3",nG,0.0
32,0.0,32.0,0.0,32.0,e1,X-Phos,nD,0.010040800720080654
33,0.0,33.0,0.0,33.0,e10,tBPh-CPhos,nG,0.12554854135609067
34,0.0,34.0,0.0,34.0,e2,PnBu3 HBF4,nI,0.15569695025685704
35,0.0,35.0,0.0,35.0,e10,P(o-Anis)3,nE,0.25182363787969925
36,0.0,36.0,0.0,36.0,e9,Ph-PhenCar-Phos,nC,0.2607573476083413
37,0.0,37.0,0.0,37.0,e1,PPh2Me,nG,0.047114383927959275
38,0.0,38.0,0.0,38.0,e5,MeO-KITPHOS,nB,0.5645960444786262
39,0.0,39.0,0.0,39.0,e5,Cy-vBRIDP,nD,0.7666342680662837
40,0.0,40.0,0.0,40.0,e7,Kwong,nB,0.0
41,0.0,41.0,0.0,41.0,e7,JackiePhos,nC,1.0
42,0.0,42.0,0.0,42.0,e9,PPhMe2,nB,0.1520682492632157
43,0.0,43.0,0.0,43.0,e9,BrettPhos,nI,0.11883835950515892
44,0.0,44.0,0.0,44.0,e2,JackiePhos,nE,0.11839937239930906
45,0.0,45.0,0.0,45.0,e4,Cy-DavePhos,nG,0.0
46,0.0,46.0,0.0,46.0,e1,CX-PICy,nF,0.07778082447285195
