,num_sims,round,experiment,horizon,electrophile_id,ligand_name,nucleophile_id,yield
0,0.0,0.0,0.0,0.0,e2,A-caPhos,nE,0.04573345606917378
1,0.0,1.0,0.0,1.0,e7,BrettPhos,nI,0.0
2,0.0,2.0,0.0,2.0,e7,CX-FBu,nE,0.0
3,0.0,3.0,0.0,3.0,e2,CX-PICy,nF,0.40029355481133877
4,0.0,4.0,0.0,4.0,e9,Cy-DavePhos,nI,0.7197231017736467
5,0.0,5.0,0.0,5.0,e10,Cy-vBRIDP,nI,0.9903924819513853
6,0.0,6.0,0.0,6.0,e7,Kwong,nE,0.3004436621491143
7,0.0,7.0,0.0,7.0,e10,MeO-KITPHOS,nA,0.8603422255081941
8,0.0,8.0,0.0,8.0,e10,P(o-Anis)3,nF,0.18809596034883463
9,0.0,9.0,0.0,9.0,e7,Et-PhenCar-Phos,nB,0.3670599824989625
10,0.0,10.0,0.0,10.0,e7,JackiePhos,nI,0.5748081719485153
11,0.0,11.0,0.0,11.0,e3,"P(3,5-CF3-Ph)3",nD,0.7625763423557723
12,0.0,12.0,0.0,12.0,e10,P(fur)3,nI,0.8810939663161242
13,0.0,13.0,0.0,13.0,e2,Ph-PhenCar-Phos,nA,0.0619865337642341
14,0.0,14.0,0.0,14.0,e1,PPh2Me,nI,0.18155578929141378
15,0.0,15.0,0.0,15.0,e4,PPhtBu2,nC,0.021272165388497157
16,0.0,16.0,0.0,16.0,e4,tBPh-CPhos,nG,0.1669996322235227
17,0.0,17.0,0.0,17.0,e10,PPhMe2,nA,0.8302625091956105
18,0.0,18.0,0.0,18.0,e4,Cy-BippyPhos,nC,0.43788798217355007
19,0.0,19.0,0.0,19.0,e2,PCy3 HBF4,nG,0.12190270152772134
20,0.0,20.0,0.0,20.0,e5,CgMe-PPh,nD,0.8888965540483517
21,0.0,21.0,0.0,21.0,e5,PPh3,nB,0.24535793210491177
22,0.0,22.0,0.0,22.0,e3,X-Phos,nE,0.14451726097922116
23,0.0,23.0,0.0,23.0,e2,PnBu3 HBF4,nE,0.34332439034444845
24,0.0,24.0,0.0,24.0,e5,Cy-vBRIDP,nE,0.00107738871581553
25,0.0,25.0,0.0,25.0,e3,CgMe-PPh,nG,0.6663385348641719
26,0.0,26.0,0.0,26.0,e4,P(fur)3,nD,0.0
27,0.0,27.0,0.0,27.0,e9,MeO-KITPHOS,nE,0.03587804060517529
28,0.0,28.0,0.0,28.0,e9,PPhMe2,nB,0.1520682492632157
29,0.0,29.0,0.0,29.0,e7,"P(3,5-CF3-Ph)3",nF,0.5958672316872995
30,0.0,30.0,0.0,30.0,e5,Cy-DavePhos,nA,0.7269675168028885
31,0.0,31.0,0.0,31.0,e9,CgMe-PPh,nA,0.5398290394493608
32,0.0,32.0,0.0,32.0,e7,JackiePhos,nE,0.0
33,0.0,33.0,0.0,33.0,e10,Cy-DavePhos,nE,0.2209523237984759
34,0.0,34.0,0.0,34.0,e9,"P(3,5-CF3-Ph)3",nG,0.4119537290615955
35,0.0,35.0,0.0,35.0,e4,CgMe-PPh,nF,0.16841032748944143
36,0.0,36.0,0.0,36.0,e1,Cy-BippyPhos,nI,0.2816328504437201
37,0.0,37.0,0.0,37.0,e1,CX-PICy,nC,0.17934152066257114
38,0.0,38.0,0.0,38.0,e9,Et-PhenCar-Phos,nE,0.07715593080320798
39,0.0,39.0,0.0,39.0,e9,PnBu3 HBF4,nD,0.06995072063273451
40,0.0,40.0,0.0,40.0,e9,"P(3,5-CF3-Ph)3",nE,0.1128108975748512
41,0.0,41.0,0.0,41.0,e3,Cy-vBRIDP,nE,0.10421031262068943
42,0.0,42.0,0.0,42.0,e9,PPhMe2,nD,0.0
43,0.0,43.0,0.0,43.0,e4,Cy-DavePhos,nI,0.0
44,0.0,44.0,0.0,44.0,e9,Kwong,nG,0.3668996413821846
45,0.0,45.0,0.0,45.0,e2,MeO-KITPHOS,nF,0.7286654944704835
46,0.0,46.0,0.0,46.0,e1,MeO-KITPHOS,nG,0.0
47,0.0,47.0,0.0,47.0,e2,P(fur)3,nF,0.376851651620009
48,0.0,48.0,0.0,48.0,e7,CgMe-PPh,nG,0.2461191149075148
49,0.0,49.0,0.0,49.0,e4,PPh3,nE,0.0
50,0.0,50.0,0.0,50.0,e10,Cy-BippyPhos,nC,0.5464778022052096
51,0.0,51.0,0.0,51.0,e7,P(o-Anis)3,nB,0.22988289389762565
52,0.0,52.0,0.0,52.0,e7,PPh2Me,nE,0.10388835939468556
53,0.0,53.0,0.0,53.0,e10,Cy-BippyPhos,nB,0.3575400390159307
54,0.0,54.0,0.0,54.0,e1,"P(3,5-CF3-Ph)3",nG,0.08241706154550696
55,0.0,55.0,0.0,55.0,e1,P(fur)3,nE,0.0
56,0.0,56.0,0.0,56.0,e9,CgMe-PPh,nE,0.0392422237973447
57,0.0,57.0,0.0,57.0,e9,Kwong,nC,0.1693699137086714
58,0.0,58.0,0.0,58.0,e1,tBPh-CPhos,nE,0.36887632166627526
59,0.0,59.0,0.0,59.0,e9,X-Phos,nI,0.6124482098258639
60,0.0,60.0,0.0,60.0,e2,X-Phos,nC,0.39323722919288706
61,0.0,61.0,0.0,61.0,e10,X-Phos,nE,0.05412354337110802
62,0.0,62.0,0.0,62.0,e10,CX-PICy,nG,0.43803177674519306
63,0.0,63.0,0.0,63.0,e3,PCy3 HBF4,nC,0.383522917505383
64,0.0,64.0,0.0,64.0,e1,JackiePhos,nA,0.98156441510455
65,0.0,65.0,0.0,65.0,e5,JackiePhos,nI,0.8609549803448551
66,0.0,66.0,0.0,66.0,e10,JackiePhos,nD,1.0
67,0.0,67.0,0.0,67.0,e7,JackiePhos,nD,1.0
68,0.0,68.0,0.0,68.0,e3,JackiePhos,nE,0.21604691721124147
