,num_sims,round,experiment,horizon,electrophile_id,ligand_name,nucleophile_id,yield
0,0.0,0.0,0.0,0.0,e9,A-caPhos,nI,0.26124461173295327
1,0.0,1.0,0.0,1.0,e7,BrettPhos,nE,0.0
2,0.0,2.0,0.0,2.0,e3,CX-FBu,nG,0.07196270373866119
3,0.0,3.0,0.0,3.0,e2,CX-PICy,nF,0.40029355481133877
4,0.0,4.0,0.0,4.0,e3,Cy-DavePhos,nE,0.050962880508280024
5,0.0,5.0,0.0,5.0,e7,Cy-vBRIDP,nB,0.07813606081991244
6,0.0,6.0,0.0,6.0,e7,Kwong,nC,0.4270738518299831
7,0.0,7.0,0.0,7.0,e9,MeO-KITPHOS,nC,0.5376987932106998
8,0.0,8.0,0.0,8.0,e5,P(o-Anis)3,nE,0.0
9,0.0,9.0,0.0,9.0,e4,Et-PhenCar-Phos,nB,0.0
10,0.0,10.0,0.0,10.0,e7,JackiePhos,nB,0.0
11,0.0,11.0,0.0,11.0,e9,"P(3,5-CF3-Ph)3",nF,0.34125768165371584
12,0.0,12.0,0.0,12.0,e2,P(fur)3,nI,0.9689832268548132
13,0.0,13.0,0.0,13.0,e5,Ph-PhenCar-Phos,nB,0.0
14,0.0,14.0,0.0,14.0,e9,PPh2Me,nD,0.23088284368727932
15,0.0,15.0,0.0,15.0,e1,PPhtBu2,nA,0.30711414599681897
16,0.0,16.0,0.0,16.0,e5,tBPh-CPhos,nC,0.5758353221095449
17,0.0,17.0,0.0,17.0,e5,PPhMe2,nD,0.9339742541555246
18,0.0,18.0,0.0,18.0,e9,Cy-BippyPhos,nE,0.19202837012684784
19,0.0,19.0,0.0,19.0,e5,PCy3 HBF4,nB,0.0
20,0.0,20.0,0.0,20.0,e3,CgMe-PPh,nF,0.7928098738359004
21,0.0,21.0,0.0,21.0,e3,PPh3,nA,0.10142186970759261
22,0.0,22.0,0.0,22.0,e5,X-Phos,nF,0.611489888413868
23,0.0,23.0,0.0,23.0,e10,PnBu3 HBF4,nG,0.0
24,0.0,24.0,0.0,24.0,e5,P(fur)3,nC,0.48544341215575154
25,0.0,25.0,0.0,25.0,e5,PPhMe2,nC,0.7687405658515487
26,0.0,26.0,0.0,26.0,e5,CgMe-PPh,nD,0.8888965540483517
27,0.0,27.0,0.0,27.0,e2,X-Phos,nC,0.39323722919288706
28,0.0,28.0,0.0,28.0,e1,tBPh-CPhos,nE,0.36887632166627526
29,0.0,29.0,0.0,29.0,e10,MeO-KITPHOS,nE,0.01533575837115187
30,0.0,30.0,0.0,30.0,e3,Kwong,nG,0.721681892367115
31,0.0,31.0,0.0,31.0,e3,CX-PICy,nA,0.3869931504725174
32,0.0,32.0,0.0,32.0,e4,"P(3,5-CF3-Ph)3",nG,0.0
33,0.0,33.0,0.0,33.0,e9,PPhtBu2,nA,0.0
34,0.0,34.0,0.0,34.0,e1,A-caPhos,nA,0.17025385416015304
35,0.0,35.0,0.0,35.0,e7,PPh2Me,nA,0.19677166378861002
36,0.0,36.0,0.0,36.0,e3,Cy-BippyPhos,nC,0.5680517904397702
37,0.0,37.0,0.0,37.0,e2,PPh3,nI,0.613269297896079
38,0.0,38.0,0.0,38.0,e2,Cy-vBRIDP,nB,0.2201643655884807
39,0.0,39.0,0.0,39.0,e7,CX-FBu,nA,0.0
40,0.0,40.0,0.0,40.0,e10,PPhMe2,nC,0.7488554176596699
