,num_sims,round,experiment,horizon,electrophile_id,ligand_name,nucleophile_id,yield
0,0.0,0.0,0.0,0.0,e9,A-caPhos,nB,0.07668673584394498
1,0.0,1.0,0.0,1.0,e2,BrettPhos,nI,0.2484487570494737
2,0.0,2.0,0.0,2.0,e4,CX-FBu,nE,0.205821905468444
3,0.0,3.0,0.0,3.0,e9,CX-PICy,nG,0.24091631294670343
4,0.0,4.0,0.0,4.0,e10,Cy-DavePhos,nF,0.6589744995234813
5,0.0,5.0,0.0,5.0,e2,Cy-vBRIDP,nC,0.7220010272198807
6,0.0,6.0,0.0,6.0,e4,Kwong,nA,0.1447953624600828
7,0.0,7.0,0.0,7.0,e1,MeO-KITPHOS,nD,0.15935430806858267
8,0.0,8.0,0.0,8.0,e2,P(o-Anis)3,nD,0.4808560061550138
9,0.0,9.0,0.0,9.0,e4,Et-PhenCar-Phos,nI,0.41738936227928236
10,0.0,10.0,0.0,10.0,e10,JackiePhos,nB,0.40553874050736505
11,0.0,11.0,0.0,11.0,e10,"P(3,5-CF3-Ph)3",nB,0.3149340426661867
12,0.0,12.0,0.0,12.0,e1,P(fur)3,nI,0.0
13,0.0,13.0,0.0,13.0,e3,Ph-PhenCar-Phos,nI,0.19310876874308885
14,0.0,14.0,0.0,14.0,e1,PPh2Me,nI,0.18155578929141378
15,0.0,15.0,0.0,15.0,e10,PPhtBu2,nF,0.9400299675586272
16,0.0,16.0,0.0,16.0,e10,tBPh-CPhos,nC,0.6257379343095539
17,0.0,17.0,0.0,17.0,e5,PPhMe2,nA,0.727207671242917
18,0.0,18.0,0.0,18.0,e9,Cy-BippyPhos,nE,0.19202837012684784
19,0.0,19.0,0.0,19.0,e1,PCy3 HBF4,nF,0.19319036626655245
20,0.0,20.0,0.0,20.0,e3,CgMe-PPh,nC,0.40320121736633996
21,0.0,21.0,0.0,21.0,e7,PPh3,nF,0.4179425588528541
22,0.0,22.0,0.0,22.0,e4,X-Phos,nI,0.0
23,0.0,23.0,0.0,23.0,e5,PnBu3 HBF4,nF,0.027330447312594045
24,0.0,24.0,0.0,24.0,e4,PPhtBu2,nB,0.0
25,0.0,25.0,0.0,25.0,e7,PPhMe2,nB,0.09958020835225874
26,0.0,26.0,0.0,26.0,e1,Cy-vBRIDP,nE,0.27658529052049896
27,0.0,27.0,0.0,27.0,e10,Cy-DavePhos,nD,0.8003127549346787
28,0.0,28.0,0.0,28.0,e10,tBPh-CPhos,nE,0.354417119610534
29,0.0,29.0,0.0,29.0,e3,P(o-Anis)3,nI,0.11139944378211147
30,0.0,30.0,0.0,30.0,e1,Cy-DavePhos,nB,0.14499768746217068
31,0.0,31.0,0.0,31.0,e5,PPh3,nB,0.24535793210491177
32,0.0,32.0,0.0,32.0,e7,Et-PhenCar-Phos,nI,0.48249219138359495
33,0.0,33.0,0.0,33.0,e4,JackiePhos,nD,0.3571802284467102
34,0.0,34.0,0.0,34.0,e10,CgMe-PPh,nB,0.39982210673945195
35,0.0,35.0,0.0,35.0,e2,"P(3,5-CF3-Ph)3",nG,0.3030635891646724
