,num_sims,round,experiment,horizon,chosen_arm,reward,cumulative_reward
0,0.0,0.0,0.0,0.0,0.0,0.07668673584394498,0.07668673584394498
1,0.0,1.0,0.0,1.0,1.0,0.2484487570494737,0.3251354928934187
2,0.0,2.0,0.0,2.0,2.0,0.205821905468444,0.5309573983618627
3,0.0,3.0,0.0,3.0,3.0,0.24091631294670343,0.7718737113085662
4,0.0,4.0,0.0,4.0,4.0,0.6589744995234813,1.4308482108320475
5,0.0,5.0,0.0,5.0,5.0,0.7220010272198807,2.152849238051928
6,0.0,6.0,0.0,6.0,6.0,0.1447953624600828,2.297644600512011
7,0.0,7.0,0.0,7.0,7.0,0.15935430806858267,2.4569989085805934
8,0.0,8.0,0.0,8.0,8.0,0.4808560061550138,2.937854914735607
9,0.0,9.0,0.0,9.0,9.0,0.41738936227928236,3.355244277014889
10,0.0,10.0,0.0,10.0,10.0,0.40553874050736505,3.7607830175222543
11,0.0,11.0,0.0,11.0,11.0,0.3149340426661867,4.075717060188441
12,0.0,12.0,0.0,12.0,12.0,0.0,4.075717060188441
13,0.0,13.0,0.0,13.0,13.0,0.19310876874308885,4.26882582893153
14,0.0,14.0,0.0,14.0,14.0,0.18155578929141378,4.450381618222944
15,0.0,15.0,0.0,15.0,15.0,0.9400299675586272,5.390411585781571
16,0.0,16.0,0.0,16.0,16.0,0.6257379343095539,6.016149520091125
17,0.0,17.0,0.0,17.0,17.0,0.727207671242917,6.743357191334042
18,0.0,18.0,0.0,18.0,18.0,0.19202837012684784,6.93538556146089
19,0.0,19.0,0.0,19.0,19.0,0.19319036626655245,7.128575927727443
20,0.0,20.0,0.0,20.0,20.0,0.40320121736633996,7.531777145093783
21,0.0,21.0,0.0,21.0,21.0,0.4179425588528541,7.949719703946637
22,0.0,22.0,0.0,22.0,22.0,0.0,7.949719703946637
23,0.0,23.0,0.0,23.0,23.0,0.027330447312594045,7.977050151259231
24,0.0,24.0,0.0,24.0,15.0,0.0,7.977050151259231
25,0.0,25.0,0.0,25.0,17.0,0.09958020835225874,8.07663035961149
